M,S,tau_label,tau,shared,hetero,beta,n_datasets,R1_reject,R1_reject_lo,R1_reject_hi,R1_reject_prime,R1_reject_prime_lo,R1_reject_prime_hi,R2_reject,R2_reject_lo,R2_reject_hi,R2_reject_prime,R2_reject_prime_lo,R2_reject_prime_hi,R4_reject,R4_reject_lo,R4_reject_hi,R4_reject_prime,R4_reject_prime_lo,R4_reject_prime_hi,sd_est,R2_se_over_sd,R4_se_over_sd,R4_floor_share
2,19,0,0.0,True,False,0.0,10000,0.5833,0.573606952259631,0.5929290736118145,0.4245,0.41484335578607123,0.4342146279679008,0.1287,0.12227900571210885,0.1354061514779556,0.0042,0.0031088769681385277,0.005671895816224385,0.0434,0.03957871168152834,0.047571955630573516,0.0005,0.00021358842616382576,0.0011700259461420934,0.007480674940001821,0.27318321481138313,0.9621515163125389,0.0047
2,19,0,0.0,True,False,0.05,10000,1.0,0.9996160016293234,1.0,0.9999,0.9994337311025987,0.9999823473263989,0.8041,0.7962049046538964,0.8117615475370581,0.028,0.024943385248869215,0.03141910921304949,0.998,0.9969126493353494,0.9987048882874566,0.8955,0.8893516683187573,0.9013445889700374,0.007423706581531373,0.26860988988597095,0.9702076048995971,0.0048
2,19,0,0.0,True,True,0.0,10000,0.354,0.34468496849287567,0.3634271590313618,0.2139,0.20597368354863482,0.22204604031906633,0.0537,0.049450660112119696,0.05829209683354622,0.0017,0.0010617073611205116,0.0027209854150957837,0.0183,0.015851953288404896,0.021117990741904933,0.0002,5.484892732085777e-05,0.0007289958440074673,0.010091243716980797,0.5025523877546397,0.9204111919002065,0.3084
2,19,0,0.0,True,True,0.05,10000,0.9907,0.9886212075003762,0.9924019364986418,0.9451,0.940462165214665,0.9493959994357588,0.4035,0.39392325966346114,0.4131508520220794,0.0124,0.0104106360968032,0.014763839114280615,0.7852,0.777042034890885,0.7931389324384811,0.4145,0.4048791513961763,0.42418651232520926,0.00986094123481419,0.5132513661338337,0.9337090470524622,0.3075
2,19,0,0.0,False,False,0.0,10000,0.3124,0.3033896135469946,0.32155446264168314,0.1996,0.19188203806520374,0.20754866815589876,0.0527,0.0484900114917122,0.05725351345069507,0.0013,0.0007599118725796528,0.0022230881023331834,0.0263,0.023340779696836927,0.029623020359542077,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0057505286454924585,0.6472316544426525,1.0622529630980277,0.5791
2,19,0,0.0,False,False,0.05,10000,0.9999,0.9994337311025987,0.9999823473263989,0.9928,0.9909432250635823,0.9942783061422789,0.516,0.506200933743386,0.5257867783087523,0.0151,0.01288922549293397,0.01768317612694819,0.7655,0.7570949257885037,0.7737011710766669,0.6383,0.6288310702559862,0.6476627157946847,0.005738492443326363,0.6543231657564901,1.073121335311057,0.5707
2,19,0,0.0,False,True,0.0,10000,0.2633,0.25475992377657564,0.2720218610521026,0.1613,0.15422137782418782,0.1686387426721085,0.0401,0.036427958323164145,0.04412524337818417,0.0018,0.0011389279915130562,0.0028436879850291027,0.0117,0.00977199841537232,0.014003014393430442,0.0,0.0,0.00038399837067659573,0.008930067260883877,0.6689691783510997,1.073740821261079,0.6188
2,19,0,0.0,False,True,0.05,10000,0.9817,0.978882009258095,0.9841480467115951,0.911,0.9052601419062624,0.9164242114330415,0.3465,0.33723396646170517,0.35588392103809235,0.0108,0.008953722899766215,0.013021981106103765,0.7119,0.7029437184333482,0.720693543057159,0.6038,0.5941755797373022,0.6133447022009454,0.008951436729875237,0.6595477935664796,1.0715595527968664,0.6203
2,19,half_limit,0.01899110076791385,True,False,0.0,10000,0.3244,0.3152933682277805,0.3336414920000011,0.2052,0.1973986436185906,0.2132277618207603,0.0528,0.0485860568347076,0.05735739130802554,0.0022,0.0014533495777926421,0.003328959200052976,0.0968,0.09115854854813316,0.10275110773798043,0.0143,0.012152533263456854,0.01682048275381839,0.015323993834799427,0.6023082354295368,0.7519906696051453,0.0008
2,19,half_limit,0.01899110076791385,True,False,0.05,10000,0.8915,0.8852532805357817,0.8974460487399784,0.722,0.7131351234328451,0.7306943812905744,0.223,0.21494872721945743,0.2312640078778974,0.0067,0.00527963331754198,0.00849921947496755,0.5084,0.4986002184806799,0.5181933303466926,0.2628,0.2542653864039992,0.27151678242304966,0.015377452428943911,0.5986466060615195,0.7504801268125199,0.001
2,19,half_limit,0.01899110076791385,True,True,0.0,10000,0.3209,0.31182072077588824,0.33011682744048804,0.2051,0.19730011215076365,0.2131263700882614,0.0537,0.049450660112119696,0.05829209683354622,0.0012,0.0006866043187699607,0.002096472455817011,0.0823,0.0770726451510133,0.08784814708784992,0.0113,0.009407908789373,0.013567411218126303,0.016758239994432402,0.6226451558083576,0.7547781414059718,0.1638
2,19,half_limit,0.01899110076791385,True,True,0.05,10000,0.8529,0.8458221955721125,0.8597067783778639,0.6674,0.6581030034396053,0.6765684339058923,0.2028,0.19503409446917092,0.21079415416235925,0.0052,0.003967852921628256,0.006812151865993303,0.4419,0.4321907193933202,0.4516539012173524,0.2136,0.20567790164540736,0.22174205262131622,0.016792399224519864,0.6153919618327599,0.74122876270998,0.1703
2,19,half_limit,0.01899110076791385,False,False,0.0,10000,0.3061,0.2971429640977668,0.3152059504703814,0.1961,0.18843537583401457,0.20399801837568263,0.0515,0.047337812436656745,0.05600663410184015,0.0011,0.0006143506542303221,0.0019688029200307855,0.1181,0.11192084041404782,0.12457245754147495,0.0369,0.03337941008580056,0.0407762492051201,0.014513246858621218,0.6785390216742962,0.6922799864227454,0.257
2,19,half_limit,0.01899110076791385,False,False,0.05,10000,0.8807,0.8742002991198212,0.8869073245207457,0.6978,0.6887250736810756,0.7067230165634847,0.2116,0.20370618632706797,0.2197153039331383,0.0063,0.004927565458326495,0.008051594532879576,0.3623,0.35293367893807903,0.37177207421320524,0.2794,0.2706915460190086,0.2882778740621338,0.014651458182901575,0.6654090370988086,0.6771331350724772,0.2615
2,19,half_limit,0.01899110076791385,False,True,0.0,10000,0.2968,0.28792535868688074,0.3058306982509622,0.1875,0.17997054515339747,0.1952694538282754,0.0483,0.04426852864460951,0.05267837548345972,0.0017,0.0010617073611205116,0.0027209854150957837,0.091,0.08551891489532287,0.09679519577189058,0.0151,0.01288922549293397,0.01768317612694819,0.016191677285645165,0.6622240766990691,0.7069447847292132,0.3812
2,19,half_limit,0.01899110076791385,False,True,0.05,10000,0.8469,0.8397093747844673,0.8538242071459572,0.6481,0.6386846921308169,0.6574015675517886,0.1879,0.18036412561359147,0.1956755661693849,0.005,0.0037949010708382257,0.006585257316131604,0.4277,0.4180327595951026,0.4374227665692972,0.3195,0.3104318266106805,0.3287067968011337,0.01615239736236918,0.6788616751816279,0.7153020438656055,0.3768
2,19,limit,0.0379822015358277,True,False,0.0,10000,0.299,0.2901054708028949,0.30804889654211703,0.1949,0.18725388266169696,0.2027804331440899,0.0487,0.04465192097456977,0.05309467595480291,0.0014,0.000834162028874972,0.002348761146363729,0.1161,0.10996824920146811,0.12252658474753736,0.038,0.0344265516422164,0.04192826285228877,0.027635974399875366,0.6688286994201791,0.7123625048021553,0.0008
2,19,limit,0.0379822015358277,True,False,0.05,10000,0.6013,0.5916662776960329,0.6108559242340679,0.4221,0.4124515753960904,0.4318082515500609,0.1216,0.11533926873125769,0.12815134123567035,0.003,0.0021022876940520996,0.004279406686400436,0.2625,0.25396867086894964,0.2712137283571217,0.1286,0.12218121620068507,0.13530401778905346,0.028243731789443737,0.6484376004994139,0.6902508664156661,0.0006
2,19,limit,0.0379822015358277,True,True,0.0,10000,0.3044,0.29545769901768226,0.3134925211449263,0.203,0.19523112374213095,0.21099697129005093,0.0545,0.05021948667736563,0.059122655870907204,0.0009,0.00047357706058500574,0.0017097301130243718,0.1109,0.10489433287458351,0.117204494657477,0.033,0.02967419810234849,0.03668445637586344,0.028596823544914073,0.6578188873384018,0.7004253663639389,0.0944
2,19,limit,0.0379822015358277,True,True,0.05,10000,0.5994,0.5897593825702471,0.6089642785536625,0.4176,0.40796761864529163,0.4272956642861958,0.1189,0.11270204066831718,0.12539064288981253,0.0033,0.002350823409618217,0.004630640571811913,0.2439,0.235582649376801,0.2524140345886595,0.1101,0.10411410323792485,0.11638533869152877,0.028870812549959976,0.6430544109858511,0.6846063990345204,0.0918
2,19,limit,0.0379822015358277,False,False,0.0,10000,0.2956,0.28673631128471455,0.3046206672492179,0.1882,0.1806593195836008,0.19598014180035314,0.0497,0.04561074273117131,0.05413508620146002,0.0019,0.0012167441596287053,0.002965795017239319,0.1072,0.10128663398903236,0.11341503513097119,0.0594,0.0549341876459215,0.0642041917183187,0.02724102353142625,0.6887659819838334,0.6920153225859658,0.1389
2,19,limit,0.0379822015358277,False,False,0.05,10000,0.5971,0.5874512368240985,0.6066741906923161,0.4155,0.4058753882080229,0.4251895075166214,0.1175,0.11133500132024066,0.1239587574333269,0.0031,0.002184864524503692,0.004396753056274708,0.1908,0.18321797492838304,0.19861948966404336,0.1332,0.1266808633190313,0.1400008378856971,0.02742699674529231,0.6834182868634788,0.6840455182788281,0.1427
2,19,limit,0.0379822015358277,False,True,0.0,10000,0.3054,0.2964490138718265,0.3145004382940408,0.1956,0.18794307328013804,0.20349070492792987,0.0515,0.047337812436656745,0.05600663410184015,0.0013,0.0007599118725796528,0.0022230881023331834,0.123,0.11670712450661373,0.12958241026487644,0.051,0.046857920608897666,0.055486909927969896,0.028401408125160062,0.6618465147093132,0.6691003912668474,0.2257
2,19,limit,0.0379822015358277,False,True,0.05,10000,0.5941,0.5844409417829098,0.6036867897237287,0.4109,0.4012930383317735,0.420575390177881,0.1126,0.1065526554837536,0.11894486645384662,0.0032,0.0022677138537914978,0.004513826927312767,0.2351,0.22689124570918134,0.2435121966276031,0.1639,0.15677381815940675,0.17128430554536203,0.02825535112145154,0.6703136537743974,0.6768719035578112,0.229
2,19,p8_sma0.03,0.042426406871192854,True,False,0.0,10000,0.3122,0.3031912770399693,0.32135295274805675,0.1996,0.19188203806520374,0.20754866815589876,0.053,0.048778160614320124,0.05756513392906473,0.0008,0.0004054337198968799,0.0015779502533866333,0.1225,0.11621857330244231,0.1290713454674185,0.0418,0.03805024400211621,0.0459016521047718,0.0310482384326003,0.6624666904440003,0.6986306082172827,0.0001
2,19,p8_sma0.03,0.042426406871192854,True,False,0.05,10000,0.5681,0.5583671797452616,0.5777805196766523,0.3974,0.3878498786306096,0.40702891783505313,0.1103,0.10430915111284114,0.11659013721726419,0.0026,0.0017749883701664527,0.0038070132089826243,0.2422,0.23390324952645192,0.2506947400334689,0.1161,0.10996824920146811,0.12252658474753736,0.030878151673368503,0.65378438040288,0.6882514670844261,0.0008
2,19,p8_sma0.03,0.042426406871192854,True,True,0.0,10000,0.3059,0.2969446901015281,0.31500437806596854,0.1969,0.18922310056693792,0.2048096792453662,0.048,0.043981036388118365,0.05236609813897327,0.0012,0.0006866043187699607,0.002096472455817011,0.1102,0.10421162637865607,0.1164877387511234,0.0347,0.031287811116641966,0.03846953776710967,0.03203786865257449,0.6542723152155414,0.6869011212799964,0.08
2,19,p8_sma0.03,0.042426406871192854,True,True,0.05,10000,0.5498,0.5400316396266874,0.5595301141355932,0.3755,0.36605835009348997,0.3850372655008084,0.1008,0.09505169363372346,0.10685489066542472,0.0034,0.002434181816300086,0.004747205365455908,0.2132,0.20528353573195196,0.22133672573346813,0.0982,0.0925208132697518,0.10418776782092391,0.03168936927040073,0.6633879280751287,0.6959226120492876,0.0833
2,19,p8_sma0.03,0.042426406871192854,False,False,0.0,10000,0.2963,0.28742991326744477,0.30532652766876883,0.1943,0.1866631785557905,0.20217159804804113,0.0533,0.04906634884357678,0.057876715300785676,0.0015,0.0009092618255931228,0.002473584549971443,0.1102,0.10421162637865607,0.1164877387511234,0.0665,0.061781234037715294,0.07155169254966132,0.03058521748702986,0.6772694765305258,0.6775357393612308,0.1254
2,19,p8_sma0.03,0.042426406871192854,False,False,0.05,10000,0.561,0.551251799319895,0.5707013528788826,0.3882,0.37869297039243865,0.3977928916432445,0.1038,0.097973443800082,0.10993083650884214,0.0026,0.0017749883701664527,0.0038070132089826243,0.1678,0.1606036978921098,0.17525143062536772,0.1157,0.1095778019806356,0.12211733916706641,0.03057202458396434,0.6630399858399737,0.6646528722026787,0.1262
2,19,p8_sma0.03,0.042426406871192854,False,True,0.0,10000,0.2985,0.2896099690333195,0.3075447823100631,0.1957,0.1880415322239604,0.20359216918443337,0.0497,0.04561074273117131,0.05413508620146002,0.0015,0.0009092618255931228,0.002473584549971443,0.123,0.11670712450661373,0.12958241026487644,0.0592,0.05474156957770626,0.06399696338588222,0.03107809565721404,0.6824004873238375,0.6852596032102557,0.2104
2,19,p8_sma0.03,0.042426406871192854,False,True,0.05,10000,0.5576,0.547845149936818,0.5673106134508801,0.384,0.3745138305772251,0.3935752570447718,0.1101,0.10411410323792485,0.11638533869152877,0.0031,0.002184864524503692,0.004396753056274708,0.2117,0.20380476529196104,0.21981664816857108,0.1503,0.1434301119298219,0.15743845653062927,0.031237671612003963,0.6731191241118728,0.673314097419894,0.2088
2,47,0,0.0,True,False,0.0,10000,0.5635,0.553756984007668,0.5731942481992561,0.41,0.4003965932498634,0.4196725264568583,0.1196,0.11338566667914492,0.12610647928126584,0.003,0.0021022876940520996,0.004279406686400436,0.0456,0.04168275313833824,0.04986622458093264,0.001,0.0005432859864972464,0.0018399443874379962,0.004648576068161875,0.2793703708047722,0.985111495006289,0.0001
2,47,0,0.0,True,False,0.05,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.96,0.955979308348857,0.9636674131501204,0.0491,0.045035391683213966,0.053510898047462174,0.9999,0.9994337311025987,0.9999823473263989,0.9727,0.969320060383026,0.9757169075573363,0.004699711700220573,0.26951912182061344,0.9755654377347789,0.0
2,47,0,0.0,True,True,0.0,10000,0.3531,0.34379071453296967,0.362522104188335,0.2119,0.20400192537572429,0.22001933448545954,0.0503,0.04618626511967923,0.05475910301490729,0.0013,0.0007599118725796528,0.0022230881023331834,0.0251,0.022211580508234106,0.028353141144234522,0.0003,0.00010203219941781012,0.0008817357722363795,0.006408257540658929,0.499665164758813,0.8798664319050689,0.295
2,47,0,0.0,True,True,0.05,10000,0.9998,0.9992710041559925,0.9999451510726791,0.995,0.9934147426838684,0.9962050989291618,0.5906,0.5809294012104527,0.6002010182847808,0.0176,0.015201882893054925,0.020368598734973858,0.9026,0.8966331357975725,0.9082576687143586,0.6186,0.6090360356004716,0.628072879986004,0.0063731494493663625,0.5056937600008208,0.8874696675629519,0.2926
