M,S,tau_label,tau,shared,hetero,beta,n_datasets,R1_reject,R1_reject_lo,R1_reject_hi,R1_reject_prime,R1_reject_prime_lo,R1_reject_prime_hi,R2_reject,R2_reject_lo,R2_reject_hi,R2_reject_prime,R2_reject_prime_lo,R2_reject_prime_hi,R4_reject,R4_reject_lo,R4_reject_hi,R4_reject_prime,R4_reject_prime_lo,R4_reject_prime_hi,R5_reject,R5_reject_lo,R5_reject_hi,R5_reject_prime,R5_reject_prime_lo,R5_reject_prime_hi,sd_est,R2_se_over_sd,R4_se_over_sd,R4_floor_share
2,19,0,0.0,True,False,0.0,10000,0.5689,0.559169039858206,0.5785780451663146,0.4114,0.40179107777103806,0.42107696674024575,0.1222,0.11592545922975278,0.12876468993913046,0.0036,0.0026016036387784434,0.004979629943629281,0.0431,0.039292009027508144,0.047258888683616114,0.0005,0.00021358842616382576,0.0011700259461420934,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0073818162226653335,0.27815638401920273,0.9817412842406114,0.0049
2,19,0,0.0,True,False,0.05,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.8015,0.7935671482637285,0.8092013007187535,0.027,0.024000277570977537,0.03036298488768252,0.9961,0.9946733576853886,0.9971456391312261,0.8902,0.8839218710670056,0.8961784566045183,0.0146,0.01242858335998111,0.01714420225827173,0.0,0.0,0.00038399837067659573,0.0073383919726987615,0.2711819282886518,0.9804606523514441,0.0044
2,19,0,0.0,True,True,0.0,10000,0.361,0.35164151043648767,0.3704652411105603,0.217,0.2090304689750016,0.2251868741028013,0.0552,0.050892429427894396,0.05984917552265948,0.0017,0.0010617073611205116,0.0027209854150957837,0.0197,0.017155009930664444,0.02261385890420749,0.0004,0.00015556283662307484,0.0010281283353569795,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.01004467916164741,0.4922081549644171,0.9205447069356407,0.3135
2,19,0,0.0,True,True,0.05,10000,0.9867,0.9842605136041829,0.9887657023818006,0.9391,0.9342420628725843,0.9436207097582876,0.3901,0.38058377908939833,0.3997006237524763,0.0105,0.008681732235914952,0.012694202168977434,0.7801,0.7718755349255386,0.7881093491872084,0.415,0.40537726468487295,0.42468801503814196,0.0003,0.00010203219941781012,0.0008817357722363795,0.0,0.0,0.00038399837067659573,0.010059075504163783,0.5096230647633458,0.9254726123484406,0.3062
2,19,0,0.0,False,False,0.0,10000,0.3155,0.3064640803515197,0.32467761504725995,0.2056,0.19779277691866448,0.21363332132198987,0.0545,0.05021948667736563,0.059122655870907204,0.0017,0.0010617073611205116,0.0027209854150957837,0.0274,0.02437738667154232,0.030785568588421196,0.0006,0.0002750134763309977,0.001308524096300786,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.005735575596246738,0.6436910053225543,1.0644519961575354,0.5812
2,19,0,0.0,False,False,0.05,10000,1.0,0.9996160016293234,1.0,0.9929,0.9910545704274267,0.9943668839787603,0.5155,0.5057008170728773,0.5252872789776316,0.0138,0.01169303356334014,0.01628036645230578,0.7798,0.7715716794210107,0.7878134350907587,0.651,0.641601384150978,0.6602826483410777,0.0145,0.012336538166067392,0.017036324251859584,0.0,0.0,0.00038399837067659573,0.0056864787812577295,0.6654475639718945,1.0760233947703886,0.5843
2,19,0,0.0,False,True,0.0,10000,0.2785,0.26980058052278943,0.28736953075542027,0.1678,0.1606036978921098,0.17525143062536772,0.0417,0.037954765678807054,0.0457972072277551,0.0013,0.0007599118725796528,0.0022230881023331834,0.0117,0.00977199841537232,0.014003014393430442,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.00904538390839095,0.6586631085433208,1.0643806374098403,0.6061
2,19,0,0.0,False,True,0.05,10000,0.9802,0.9772794338653464,0.9827517740994557,0.9049,0.8989939074166133,0.9104951307028128,0.3428,0.3335590780602227,0.3521616510275179,0.0112,0.009316987490236137,0.013458409316937302,0.7028,0.6937659745279071,0.7116782757329464,0.6,0.5903615437302925,0.6095616565955722,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.00909096192803447,0.6560982205519578,1.0578870565052578,0.6167
2,19,half_limit,0.01899110076791385,True,False,0.0,10000,0.3311,0.3219426343291417,0.3403870803204727,0.2135,0.20557930909943942,0.22164072196695825,0.0567,0.05233512205233271,0.061405330903109144,0.0018,0.0011389279915130562,0.0028436879850291027,0.1003,0.09456489044619147,0.10634207785132739,0.0149,0.012704886505102705,0.017467668714127728,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0,0.0,0.00038399837067659573,0.015456173275986931,0.6024945330026278,0.7506431953252817,0.0015
2,19,half_limit,0.01899110076791385,True,False,0.05,10000,0.8964,0.8902741775976705,0.902221388494057,0.7225,0.7136397912337956,0.7311893294912534,0.221,0.2129756994162713,0.22923857167456618,0.0053,0.004054522887776702,0.006925405100170722,0.5108,0.5010001996847876,0.5205915059504059,0.261,0.25248517090836264,0.2696983803128207,0.0092,0.007508093306449299,0.011268839494206847,0.0,0.0,0.00038399837067659573,0.015337936080278575,0.6025957431158149,0.7508085020508648,0.0015
