[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=False | observables=absent (v2 constants)
# E5.7(b) L1 extended candidate set -- multiple_B_P5-P95

Panel `docs\env_v2\generated\v2_1\_panels\sep_phase5_multiple_B_P5-P95.pkl`, 1600 paths / 320000 rows; in-sample; k log-median-optimal; 500-resample path bootstrap on the within-5 % share.

| candidate | median APE | within 1 % | within 2 % | within 5 % [CI] | above floor |
|---|---|---|---|---|---|
| k*price | 0.0644 | 0.0925 | 0.1844 | 0.4163 [0.4057, 0.4263] | 0.9074 |
| lsq(price+P*DY+F) | 0.0657 | 0.0862 | 0.1713 | 0.4027 [0.3912, 0.4134] | 0.9138 |
| lsq(price+P/PE+F) | 0.0657 | 0.0864 | 0.1713 | 0.4029 [0.3915, 0.4136] | 0.9136 |
| lsq(price+F) | 0.0663 | 0.0871 | 0.1718 | 0.4006 [0.3895, 0.4114] | 0.9130 |
| lsq(price+P*DY) | 0.0668 | 0.0854 | 0.1709 | 0.3969 [0.3865, 0.4079] | 0.9145 |
| lsq(price) | 0.0668 | 0.0865 | 0.1704 | 0.3947 [0.3842, 0.4056] | 0.9135 |
| lsq(price+P/PE) | 0.0668 | 0.0852 | 0.1709 | 0.3970 [0.3867, 0.4080] | 0.9148 |
| lsq(price+P/PE+P*DY) | 0.0668 | 0.0854 | 0.1712 | 0.3972 [0.3869, 0.4084] | 0.9146 |
wrote C:\Users\ayesha.gull01\FinPersona\docs\env_v2\generated\v2_1\e5_7b\multiple_B_P5-P95/l1ext.json in 8 s
