scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,40000,0.03865703715190238,0.597275,0.382875,0.18585
bull_trap,calm,18228,0.037734459430021586,0.5845951283739302,0.3783190695633092,0.18625192012288785
bull_trap,mania,22399,0.07903095955267087,0.8014643510871021,0.6792267511942497,0.4942184918969597
bull_trap,blow-off,33048,0.3227785155271154,0.9967320261437909,0.9930101670297748,0.9841140159767611
sustained_bull,sustained-bull,40000,0.03875564027016792,0.598225,0.38755,0.189825
crash,calm,50149,0.03773536713397634,0.584677660571497,0.37516201718877745,0.18377235837205128
crash,deterioration,7868,0.0397987463223093,0.60866802236909,0.39260294865277073,0.1929334011184545
crash,panic,35439,0.11641094356370855,0.8533536499336889,0.7596151132932645,0.6325234910691611
crash,stabilisation,66544,0.08900025219662044,0.812109281077182,0.6940220004808848,0.5391019475835538
bull_trap,post-top,6325,0.2491333187664293,0.9898814229249012,0.9838735177865613,0.9645849802371541
flat,ALL,40000,0.03865703715190238,0.597275,0.382875,0.18585
bull_trap,ALL,80000,0.157750483152336,0.8476125,0.764375,0.6636125
sustained_bull,ALL,40000,0.03875564027016792,0.598225,0.38755,0.189825
crash,ALL,160000,0.06612056867765571,0.73995625,0.5937875,0.4314
