metric,scenario,policy,mean,lo,hi,n_runs,theta
mcr,flat,L5_full_level_free,0.07700798157251566,0.06789085050594917,0.08602137324498013,300,0.05
mcr,flat,L5_level_free,0.074475335641219,0.06516251412725423,0.0828931794959266,300,0.05
mcr,flat,align_0.0,0.20039012951299323,0.2002222064868733,0.200557046571385,300,0.05
mcr,flat,align_0.2,0.16152656769002657,0.1602007979194602,0.16291168335092787,300,0.05
mcr,flat,align_0.4,0.12026720242666727,0.1190769718855701,0.12153680800385036,300,0.05
mcr,flat,align_0.5,0.10137847906920373,0.09970742972637199,0.10316859761158007,300,0.05
mcr,flat,align_0.6,0.0814935215871581,0.07995502979858325,0.08309951232349871,300,0.05
mcr,flat,align_0.8,0.04267057552812179,0.04135193094481286,0.04407061772625358,300,0.05
mcr,flat,align_1.0,0.0028092657698015563,0.0026996417423517964,0.0029110201868527024,300,0.05
mcr,flat,always_buy,0.4816591148388426,0.46813748920839376,0.49385799776017586,300,0.05
mcr,flat,always_hold,0.11176919039257034,0.10827641598848008,0.1150730813751687,300,0.05
mcr,flat,always_sell,0.5183408851611574,0.5060651125306911,0.5306956081218902,300,0.05
mcr,flat,band_hi,0.08743331756158622,0.07523688510646441,0.09910976478416096,300,0.05
mcr,flat,band_lo,0.11615786117238973,0.10373565994430815,0.12835014306078055,300,0.05
mcr,flat,buy_day1_hold,0.4816591148388426,0.4684412214684108,0.49269999083629146,300,0.05
mcr,flat,ceil_d0.000,0.10137847906920373,0.09977505420566439,0.10299819279610721,300,0.05
mcr,flat,ceil_d0.002,0.1915596035420282,0.18210559730120615,0.20065597878053434,300,0.05
mcr,flat,ceil_d0.005,0.3263257106138044,0.3061550436367204,0.34704164258658565,300,0.05
mcr,flat,ceil_d0.010,0.4053383264218401,0.38003158371373413,0.4324249089729949,300,0.05
mcr,flat,ceil_d0.020,0.4476694535270466,0.41585092145341757,0.4775804379011797,300,0.05
mcr,flat,ceil_d0.040,0.4680545667287644,0.4381903523852102,0.4983765407161714,300,0.05
mcr,flat,constant_mix,0.10077510349604325,0.10057753117306818,0.1009499936209723,300,0.05
mcr,flat,drift_0.000,0.10077510349604325,0.10056374136950977,0.10096180605434385,300,0.05
mcr,flat,drift_0.002,0.18092944067913025,0.17053812895234283,0.19036888426603416,300,0.05
mcr,flat,drift_0.005,0.32472634578845333,0.3026288797622725,0.34637713722035146,300,0.05
mcr,flat,drift_0.010,0.4043737701617696,0.37736454702013233,0.43404808427395963,300,0.05
mcr,flat,drift_0.020,0.4468850229671875,0.41742909816488305,0.47968967904762594,300,0.05
mcr,flat,drift_0.040,0.46759015682353616,0.433653677419916,0.5011859799670565,300,0.05
mcr,flat,mandate_conditional_oracle,0.0027117653792031802,0.0026069778176253133,0.0028056500501112847,300,0.05
mcr,flat,mean_reversion,0.37071815234812727,0.34658317616351325,0.39141948240597896,300,0.05
mcr,flat,momentum,0.5351357574604454,0.5273196073793713,0.5438004653193522,300,0.05
mcr,flat,panic_0.00,0.10077510349604325,0.10058088568750319,0.10095652636542149,300,0.05
mcr,flat,panic_0.25,0.12983874181979907,0.12415785890675451,0.1356356293709145,300,0.05
mcr,flat,panic_0.50,0.17839007156460288,0.16806351722125512,0.1893560343473704,300,0.05
mcr,flat,panic_0.75,0.2460170484529748,0.23022155076137862,0.2631101640719579,300,0.05
mcr,flat,panic_1.00,0.3448697459434565,0.32133817559098415,0.36933289910807454,300,0.05
mcr,flat,random_0,0.38022512433739736,0.37640692239881207,0.3837309847886931,300,0.05
mcr,flat,random_1,0.35273388782612114,0.3460608748170801,0.3591316051641508,300,0.05
mcr,flat,random_2,0.3761807908156275,0.3720457388295934,0.38077444691857276,300,0.05
mcr,flat,random_3,0.37087473325717674,0.3669074575418767,0.3753208865066452,300,0.05
mcr,flat,random_4,0.37890991745788405,0.3736239318033286,0.3843318083993424,300,0.05
mcr,flat,random_5,0.3882393280941151,0.38379466244897414,0.3928060413470481,300,0.05
mcr,flat,random_6,0.3723116105723634,0.36820075017226367,0.3771024463517597,300,0.05
mcr,flat,random_7,0.3828763969688909,0.37844403972088936,0.38774821051118835,300,0.05
mcr,flat,random_8,0.3693230616794137,0.36441519003430417,0.37393804729444635,300,0.05
mcr,flat,random_9,0.3704412369938481,0.3650451890308527,0.37575923836267033,300,0.05
mcr,flat,rule_analyst,0.09375513644538461,0.08300071347846967,0.10407583789960038,300,0.05
mcr,flat,rule_p_sma50,0.05406721161140159,0.04593071743637113,0.06283171102718338,300,0.05
mcr,flat,rule_rsi,0.05485133364308582,0.04715922663980112,0.0635194578652312,300,0.05
mcr,flat,v_oracle,0.4049974827240585,0.4006026391734868,0.4090279439738013,300,0.05
mcr,bull_trap,L5_full_level_free,0.03831114655379864,0.0325612692550119,0.04492867921656735,300,0.05
mcr,bull_trap,L5_level_free,0.040485219893791606,0.03391567737090006,0.047445638805332695,300,0.05
mcr,bull_trap,align_0.0,0.20042872728015843,0.2003467116749395,0.20051411214131157,300,0.05
mcr,bull_trap,align_0.2,0.161213741837784,0.16040383929369478,0.16211122396067887,300,0.05
mcr,bull_trap,align_0.4,0.12120702940409961,0.12018873366185591,0.12227540136457472,300,0.05
mcr,bull_trap,align_0.5,0.10114900201679511,0.10020716527293204,0.10220242255344504,300,0.05
mcr,bull_trap,align_0.6,0.08134084433564868,0.08028347660637006,0.08240782990977247,300,0.05
mcr,bull_trap,align_0.8,0.04238831731934744,0.041695743578245084,0.043095623617848314,300,0.05
mcr,bull_trap,align_1.0,0.003366554323977095,0.0033106754885655963,0.00341574706650558,300,0.05
mcr,bull_trap,always_buy,0.5436867692640477,0.5384479030807483,0.5485187471304169,300,0.05
mcr,bull_trap,always_hold,0.1346634642241501,0.1300503879549669,0.13924748154225297,300,0.05
mcr,bull_trap,always_sell,0.4563132307359519,0.45122640820152893,0.46173840170236563,300,0.05
mcr,bull_trap,band_hi,0.026211983984430927,0.020603663893522195,0.03133502556672255,300,0.05
mcr,bull_trap,band_lo,0.17766656761608052,0.17245918914439326,0.18281408639414812,300,0.05
mcr,bull_trap,buy_day1_hold,0.5436867692640477,0.5384647710025877,0.5484622510061534,300,0.05
mcr,bull_trap,ceil_d0.000,0.10114900201679511,0.10014076425535015,0.10224800898209253,300,0.05
mcr,bull_trap,ceil_d0.002,0.21914267953006109,0.21000514176562463,0.22883508175740172,300,0.05
mcr,bull_trap,ceil_d0.005,0.39309978660794076,0.37091259071091126,0.41874647010482596,300,0.05
mcr,bull_trap,ceil_d0.010,0.45713233043248747,0.431923297116758,0.48579244985680103,300,0.05
mcr,bull_trap,ceil_d0.020,0.47908308759434975,0.4504452422929475,0.5099267136091681,300,0.05
mcr,bull_trap,ceil_d0.040,0.490234186634472,0.4565581029792007,0.5193260672554592,300,0.05
mcr,bull_trap,constant_mix,0.10093553354692394,0.10080204925067213,0.10106815430340792,300,0.05
mcr,bull_trap,drift_0.000,0.10093553354692394,0.10079878608454236,0.10106000131951494,300,0.05
mcr,bull_trap,drift_0.002,0.21305719595447117,0.20242599106025363,0.22315869864796103,300,0.05
mcr,bull_trap,drift_0.005,0.39375255902046247,0.36923497000513716,0.415978541323137,300,0.05
mcr,bull_trap,drift_0.010,0.45658951044357177,0.4275489463966775,0.48697493675860887,300,0.05
mcr,bull_trap,drift_0.020,0.47861823970326917,0.44821885525875704,0.507841850373273,300,0.05
mcr,bull_trap,drift_0.040,0.49005459171449056,0.46112476715202666,0.5205877813620949,300,0.05
mcr,bull_trap,mandate_conditional_oracle,0.0033453988378007045,0.0032922487370979935,0.0033975773096490067,300,0.05
mcr,bull_trap,mean_reversion,0.4051249038419513,0.39358085754922506,0.41557188066688316,300,0.05
mcr,bull_trap,momentum,0.5430780335823026,0.5387780300460204,0.5474834566146847,300,0.05
mcr,bull_trap,panic_0.00,0.10093553354692394,0.10080460202326312,0.10106596062909297,300,0.05
mcr,bull_trap,panic_0.25,0.10719639833462831,0.10533929474241512,0.10948539183091346,300,0.05
mcr,bull_trap,panic_0.50,0.13392487297665803,0.12848324028429198,0.1399147515120968,300,0.05
mcr,bull_trap,panic_0.75,0.18786913927954263,0.17756970346975223,0.19718815648391175,300,0.05
mcr,bull_trap,panic_1.00,0.3338138447576147,0.3153615348095753,0.35059204508906144,300,0.05
mcr,bull_trap,random_0,0.3749200976073324,0.37355103159300196,0.3762653554863297,300,0.05
mcr,bull_trap,random_1,0.34785428697844184,0.34601452702105007,0.3498662334387944,300,0.05
mcr,bull_trap,random_2,0.37931792600764924,0.3778872883687485,0.3807849504086375,300,0.05
mcr,bull_trap,random_3,0.3720717585246524,0.3706106040546687,0.37371919496838446,300,0.05
mcr,bull_trap,random_4,0.3689644263145867,0.3667817573042044,0.3712065965563313,300,0.05
mcr,bull_trap,random_5,0.3862957478402555,0.38447999941818445,0.3881036411059829,300,0.05
mcr,bull_trap,random_6,0.3817309820902489,0.379826058762804,0.3836810757148386,300,0.05
mcr,bull_trap,random_7,0.3794190427152486,0.3778761895291224,0.3808814105641029,300,0.05
mcr,bull_trap,random_8,0.380625648445745,0.3784639434295209,0.38245614785333765,300,0.05
mcr,bull_trap,random_9,0.3773562068248514,0.3753691015423726,0.37957085550364894,300,0.05
mcr,bull_trap,rule_analyst,0.08043387570436898,0.06929905663126038,0.09120275871026734,300,0.05
mcr,bull_trap,rule_p_sma50,0.03782373837972136,0.03280317306069807,0.043501932309963,300,0.05
mcr,bull_trap,rule_rsi,0.03799141060805275,0.03244531670005109,0.0430208420040128,300,0.05
mcr,bull_trap,v_oracle,0.4256733675324595,0.4236881103830051,0.4274641293839108,300,0.05
mcr,crash,L5_full_level_free,0.046603970357490025,0.041457690623895184,0.05199029655275803,300,0.05
mcr,crash,L5_level_free,0.04367573519570044,0.03897323869348935,0.0487163074261681,300,0.05
mcr,crash,align_0.0,0.2002885448724922,0.20017981654268843,0.20039465086710886,300,0.05
mcr,crash,align_0.2,0.15923181633807026,0.15832370957122935,0.16013508312750352,300,0.05
mcr,crash,align_0.4,0.12048376343311043,0.11922390709682242,0.12173514114303495,300,0.05
mcr,crash,align_0.5,0.10084806424729048,0.09952079234202191,0.10211866162298142,300,0.05
