half_width,theta,G3_daily,L5_mcr,L5_B,L5_D,mcr_G1,mcr_G2,mcr_G4a,mcr_B_G1,mcr_B_G2,mcr_B_G4a,mcr_D_G1,mcr_D_G2,mcr_D_G4a,mcr_window_G1,mcr_window_G2,mcr_window_G4a
0.05,0.002,True,0.07545950205484632,0.04009735289559293,0.03536214915925333,False,False,False,False,True,False,False,False,False,False,True,False
0.05,0.03,True,0.07301402773210781,0.04164896864948927,0.03136505908261855,False,False,False,False,True,False,False,False,False,False,False,False
0.05,0.032791,True,0.07278625717845673,0.04177277262189143,0.031013484556565305,False,False,False,False,True,False,False,False,False,False,False,False
0.05,0.046321,True,0.07177268269647565,0.04235154118170168,0.02942114151477396,False,False,False,False,True,False,False,False,False,False,False,False
0.05,0.05,True,0.07144634432004793,0.042571709120700366,0.02887463519934756,False,False,False,False,True,False,False,False,False,False,False,False
0.05,0.065609,False,0.07048700828340079,0.04307426207392107,0.027412746209479717,False,False,False,False,True,False,False,False,False,False,False,False
0.05,0.08,False,0.0690658222656015,0.0439033220931705,0.025162500172431008,False,False,False,False,True,False,False,False,False,False,False,False
0.05,0.12,False,0.06526016931457324,0.04697663814229924,0.018283531172274006,False,False,False,False,True,False,False,False,False,False,False,False
0.05,0.2,False,0.055662827727663046,0.04897522458124818,0.006687603146414869,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.002,True,0.07238035123751792,0.0011220484184526018,0.07125830281906527,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.03,True,0.06457320167482032,0.0011373441501583714,0.06343585752466195,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.032791,True,0.06389043005776436,0.0011363724811454623,0.06275405757661888,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.046321,True,0.060772055916622596,0.0011404136536056853,0.05963164226301692,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.05,True,0.059700532618507295,0.0011413662606189789,0.058559166357888326,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.065609,False,0.05681395431632394,0.0011377122412340175,0.05567624207508992,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.08,False,0.05235031285653418,0.0011274771425893806,0.0512228357139448,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.12,False,0.03895741749849281,0.0011506837809573051,0.03780673371753551,False,False,False,False,False,False,False,False,False,False,False,False
0.1,0.2,False,0.015889561862974615,0.0010946145170856228,0.014794947345888992,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.002,True,0.12098936350946658,0.0,0.12098936350946658,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.03,True,0.11312644380499774,0.0,0.11312644380499774,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.032791,True,0.11244117433310703,0.0,0.11244117433310703,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.046321,True,0.10929419135155001,0.0,0.10929419135155001,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.05,True,0.10821940468807462,0.0,0.10821940468807462,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.065609,True,0.10530374283945172,0.0,0.10530374283945172,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.08,False,0.10081074686653385,0.0,0.10081074686653385,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.12,False,0.08738909268344752,0.0,0.08738909268344752,False,False,False,False,False,False,False,False,False,False,False,False
0.15,0.2,False,0.06398105837790972,0.0,0.06398105837790972,False,False,False,False,False,False,False,False,False,False,False,False
