end,dps,filed,concept,eps,ticker,dps_prev,gap
2011-01-31,0.0,2012-03-05,CommonStockDividendsPerShareDeclared,0.56,A,,
2011-04-30,0.0,2012-06-04,CommonStockDividendsPerShareDeclared,0.58,A,0.0,89.0
2011-07-31,0.0,2012-09-05,CommonStockDividendsPerShareDeclared,0.95,A,0.0,92.0
2011-10-31,0.0,2012-12-20,CommonStockDividendsPerShareDeclared,0.8300000000000001,A,0.0,92.0
2012-01-31,0.1,2012-03-05,CommonStockDividendsPerShareDeclared,0.66,A,0.0,92.0
2012-04-30,0.0,2012-06-04,CommonStockDividendsPerShareDeclared,0.73,A,0.1,90.0
2012-07-31,0.1,2012-09-05,CommonStockDividendsPerShareDeclared,0.7,A,0.0,92.0
2012-10-31,0.09999999999999998,2012-12-20,CommonStockDividendsPerShareDeclared,1.2200000000000002,A,0.1,92.0
2013-01-31,0.22,2013-03-06,CommonStockDividendsPerShareDeclared,0.52,A,0.09999999999999998,92.0
2013-04-30,0.0,2013-06-03,CommonStockDividendsPerShareDeclared,0.48,A,0.22,89.0
2013-07-31,0.12,2013-09-06,CommonStockDividendsPerShareDeclared,0.5,A,0.0,92.0
2013-10-31,0.12000000000000005,2013-12-19,CommonStockDividendsPerShareDeclared,0.6200000000000001,A,0.12,92.0
2014-01-31,0.13,2014-03-05,CommonStockDividendsPerShareDeclared,0.59,A,0.12000000000000005,92.0
2014-04-30,0.13,2014-06-04,CommonStockDividendsPerShareDeclared,0.42,A,0.13,89.0
2014-07-31,0.132,2014-06-04,CommonStockDividendsPerShareDeclared,0.44,A,0.13,92.0
2014-10-31,0.136,2014-12-22,CommonStockDividendsPerShareDeclared,0.06,A,0.132,92.0
2015-01-31,0.1,2015-03-10,CommonStockDividendsPerShareDeclared,0.21,A,0.136,92.0
2015-04-30,0.1,2015-06-05,CommonStockDividendsPerShareDeclared,0.25,A,0.1,89.0
2015-07-31,0.1,2015-09-02,CommonStockDividendsPerShareDeclared,0.31,A,0.1,92.0
2015-10-31,0.09999999999999998,2015-12-21,CommonStockDividendsPerShareDeclared,0.4299999999999999,A,0.1,92.0
2016-01-31,0.115,2016-03-08,CommonStockDividendsPerShareDeclared,0.37,A,0.09999999999999998,92.0
2018-04-30,0.149,2019-05-30,CommonStockDividendsPerShareDeclared,0.64,A,0.115,820.0
2018-07-31,0.149,2019-08-30,CommonStockDividendsPerShareDeclared,0.74,A,0.149,92.0
2019-04-30,0.164,2019-05-30,CommonStockDividendsPerShareDeclared,0.57,A,0.149,273.0
2019-07-31,0.164,2019-08-30,CommonStockDividendsPerShareDeclared,0.61,A,0.164,92.0
2020-01-31,0.18,2021-03-02,CommonStockDividendsPerShareDeclared,0.64,A,0.164,184.0
2020-04-30,0.18,2020-06-01,CommonStockDividendsPerShareDeclared,0.33,A,0.18,90.0
2020-07-31,0.18,2020-09-01,CommonStockDividendsPerShareDeclared,0.64,A,0.18,92.0
2020-10-31,0.17999999999999994,2020-12-18,CommonStockDividendsPerShareDeclared,0.7200000000000002,A,0.18,92.0
2021-01-31,0.194,2021-03-02,CommonStockDividendsPerShareDeclared,0.94,A,0.17999999999999994,92.0
2021-04-30,0.194,2021-06-01,CommonStockDividendsPerShareDeclared,0.71,A,0.194,89.0
2021-07-31,0.194,2021-09-01,CommonStockDividendsPerShareDeclared,0.87,A,0.194,92.0
2021-10-31,0.19399999999999995,2021-12-17,CommonStockDividendsPerShareDeclared,1.46,A,0.194,92.0
2022-01-31,0.21,2022-03-03,CommonStockDividendsPerShareDeclared,0.94,A,0.19399999999999995,92.0
2022-04-30,0.21,2022-05-31,CommonStockDividendsPerShareDeclared,0.92,A,0.21,89.0
2022-07-31,0.21,2022-09-01,CommonStockDividendsPerShareDeclared,1.1,A,0.21,92.0
2022-10-31,0.20999999999999996,2022-12-21,CommonStockDividendsPerShareDeclared,1.2300000000000004,A,0.21,92.0
2023-01-31,0.225,2023-03-03,CommonStockDividendsPerShareDeclared,1.19,A,0.20999999999999996,92.0
2023-04-30,0.225,2023-05-26,CommonStockDividendsPerShareDeclared,1.02,A,0.225,89.0
2023-07-31,0.225,2023-08-31,CommonStockDividendsPerShareDeclared,0.38,A,0.225,92.0
2023-10-31,0.22499999999999998,2023-12-20,CommonStockDividendsPerShareDeclared,1.63,A,0.225,92.0
2024-01-31,0.236,2024-03-05,CommonStockDividendsPerShareDeclared,1.19,A,0.22499999999999998,92.0
2024-04-30,0.236,2024-06-03,CommonStockDividendsPerShareDeclared,1.05,A,0.236,90.0
2024-07-31,0.236,2024-08-30,CommonStockDividendsPerShareDeclared,0.97,A,0.236,92.0
2024-10-31,0.236,2024-12-20,CommonStockDividendsPerShareDeclared,1.2300000000000004,A,0.236,92.0
2025-01-31,0.248,2025-03-03,CommonStockDividendsPerShareDeclared,1.12,A,0.236,92.0
2025-04-30,0.248,2025-06-02,CommonStockDividendsPerShareDeclared,0.75,A,0.248,89.0
2025-07-31,0.248,2025-08-29,CommonStockDividendsPerShareDeclared,1.18,A,0.248,92.0
2025-10-31,0.248,2025-12-22,CommonStockDividendsPerShareDeclared,1.54,A,0.248,92.0
2026-01-31,0.255,2026-03-03,CommonStockDividendsPerShareDeclared,1.08,A,0.248,92.0
2026-04-30,0.255,2026-06-01,CommonStockDividendsPerShareDeclared,1.2,A,0.255,89.0
2011-12-31,0.0,2013-01-24,CommonStockDividendsPerShareDeclared,14.03,AAPL,,
2012-03-31,0.0,2013-04-24,CommonStockDividendsPerShareDeclared,12.45,AAPL,0.0,91.0
2012-06-30,0.0,2013-04-24,CommonStockDividendsPerShareDeclared,9.42,AAPL,0.0,91.0
2012-09-29,2.65,2013-10-30,CommonStockDividendsPerShareDeclared,8.76,AAPL,0.0,91.0
2012-12-29,2.65,2013-01-24,CommonStockDividendsPerShareDeclared,13.93,AAPL,2.65,91.0
2013-03-30,2.65,2013-04-24,CommonStockDividendsPerShareDeclared,10.16,AAPL,2.65,91.0
2013-06-29,3.05,2013-07-24,CommonStockDividendsPerShareDeclared,7.51,AAPL,2.65,91.0
2013-09-28,3.05,2013-10-30,CommonStockDividendsPerShareDeclared,8.31,AAPL,3.05,91.0
2013-12-28,3.05,2014-01-28,CommonStockDividendsPerShareDeclared,14.59,AAPL,3.05,91.0
2014-03-29,3.05,2014-04-24,CommonStockDividendsPerShareDeclared,11.69,AAPL,3.05,91.0
2014-06-28,0.47,2014-07-23,CommonStockDividendsPerShareDeclared,1.29,AAPL,3.05,91.0
2014-09-27,0.47,2014-10-27,CommonStockDividendsPerShareDeclared,1.43,AAPL,0.47,91.0
2014-12-27,0.47,2015-01-28,CommonStockDividendsPerShareDeclared,3.08,AAPL,0.47,91.0
2015-03-28,0.47,2015-04-28,CommonStockDividendsPerShareDeclared,2.34,AAPL,0.47,91.0
2015-06-27,0.52,2015-07-22,CommonStockDividendsPerShareDeclared,1.86,AAPL,0.47,91.0
2015-09-26,0.52,2015-10-28,CommonStockDividendsPerShareDeclared,1.97,AAPL,0.52,91.0
2015-12-26,0.52,2016-01-27,CommonStockDividendsPerShareDeclared,3.3,AAPL,0.52,91.0
2016-03-26,0.52,2016-04-27,CommonStockDividendsPerShareDeclared,1.91,AAPL,0.52,91.0
2016-06-25,0.57,2016-07-27,CommonStockDividendsPerShareDeclared,1.43,AAPL,0.52,91.0
2016-09-24,0.57,2016-10-26,CommonStockDividendsPerShareDeclared,1.68,AAPL,0.57,91.0
2016-12-31,0.57,2017-02-01,CommonStockDividendsPerShareDeclared,3.38,AAPL,0.57,98.0
2017-04-01,0.57,2017-05-03,CommonStockDividendsPerShareDeclared,2.11,AAPL,0.57,91.0
2017-07-01,0.63,2017-08-02,CommonStockDividendsPerShareDeclared,1.68,AAPL,0.57,91.0
2017-09-30,0.63,2017-11-03,CommonStockDividendsPerShareDeclared,2.08,AAPL,0.63,91.0
2017-12-30,0.63,2018-02-02,CommonStockDividendsPerShareDeclared,3.92,AAPL,0.63,91.0
2018-03-31,0.63,2018-05-02,CommonStockDividendsPerShareDeclared,2.75,AAPL,0.63,91.0
2018-06-30,0.73,2018-08-01,CommonStockDividendsPerShareDeclared,2.36,AAPL,0.63,91.0
2018-09-29,0.7300000000000002,2018-11-05,CommonStockDividendsPerShareDeclared,2.94,AAPL,0.73,91.0
2018-12-29,0.73,2019-01-30,CommonStockDividendsPerShareDeclared,4.22,AAPL,0.7300000000000002,91.0
2019-03-30,0.73,2019-05-01,CommonStockDividendsPerShareDeclared,2.47,AAPL,0.73,91.0
2019-06-29,0.77,2019-07-31,CommonStockDividendsPerShareDeclared,2.2,AAPL,0.73,91.0
2019-09-28,0.77,2019-10-31,CommonStockDividendsPerShareDeclared,3.05,AAPL,0.77,91.0
2019-12-28,0.77,2020-01-29,CommonStockDividendsPerShareDeclared,5.04,AAPL,0.77,91.0
2020-03-28,0.77,2020-05-01,CommonStockDividendsPerShareDeclared,2.58,AAPL,0.77,91.0
2020-06-27,0.82,2020-07-31,CommonStockDividendsPerShareDeclared,2.61,AAPL,0.77,91.0
