half_width,theta,scoring,observed_abs_corr,collinearity_floor,half_width_of_floor_ci,ceiling,below_ceiling,sweeps_monotone,failing_sweeps,qualifies,n_cells,n_ceiling_cells
0.05,0.002,A_decomposition,0.9975270540320008,0.999868064066905,6.295412223950025e-05,0.9999310181891445,True,True,,True,600,72
0.05,0.002,B_per_window,0.9974298992354232,0.9998270591324785,6.740715603159586e-05,0.9998944662885101,True,True,,True,600,72
0.05,0.03,A_decomposition,0.995105207203449,0.9973606121677511,0.0014240630625011463,0.9987846752302523,True,True,,True,600,72
0.05,0.03,B_per_window,0.9970512983843395,0.9998091997571844,9.436417358188454e-05,0.9999035639307663,True,True,,True,600,72
0.05,0.032791,A_decomposition,0.9946812749197232,0.9966924015590607,0.001556192212883778,0.9982485937719445,True,True,,True,600,72
0.05,0.032791,B_per_window,0.9969467770086332,0.999767945800897,0.00011741806057341542,0.9998853638614704,True,True,,True,600,72
0.05,0.046321,A_decomposition,0.9920430611844573,0.9923565717256989,0.003528748135433968,0.9958853198611328,True,True,,True,600,72
0.05,0.046321,B_per_window,0.9959884105585761,0.9990947923613258,0.0004272247950686814,0.9995220171563945,True,True,,True,600,72
0.05,0.05,A_decomposition,0.9912080476351041,0.9910465733939141,0.00383995412364041,0.9948865275175545,True,True,,True,600,72
0.05,0.05,B_per_window,0.9954663521254514,0.9987491877849402,0.0006188893201836132,0.9993680771051238,True,True,,True,600,72
0.05,0.065609,A_decomposition,0.9874405104206242,0.9835620086571818,0.007262028669832388,0.9908240373270142,True,True,,True,600,72
0.05,0.065609,B_per_window,0.9930464495353297,0.9946028482098335,0.0027403266846968144,0.9973431748945303,True,True,,True,600,72
0.05,0.08,A_decomposition,0.984237370711526,0.9790688417392778,0.009661162669894752,0.9887300044091725,True,True,,True,600,72
0.05,0.08,B_per_window,0.9903426349019963,0.9887672036682631,0.005096772192466459,0.9938639758607295,True,True,,True,600,72
0.05,0.12,A_decomposition,0.9762353321950569,0.977058851778458,0.0121500002455876,0.9892088520240456,True,True,,True,600,72
0.05,0.12,B_per_window,0.9818121656809794,0.9834781091674194,0.0072476191694773595,0.9907257283368968,True,True,,True,600,72
0.05,0.2,A_decomposition,0.9256616314833348,0.9576044500926487,0.01766675533461548,0.9752712054272642,True,True,,True,600,72
0.05,0.2,B_per_window,0.9275154376451719,0.9585314877985094,0.018721192371916107,0.9772526801704255,True,True,,True,600,72
0.1,0.002,A_decomposition,0.9899877623590754,0.9994814677057772,0.00026815911485150723,0.9997496268206287,True,True,,True,600,72
0.1,0.002,B_per_window,0.9896058757516537,0.9993037313844065,0.0002946072602030836,0.9995983386446097,True,True,,True,600,72
0.1,0.03,A_decomposition,0.983153316774325,0.9968624938790219,0.0013161887885353996,0.9981786826675574,True,True,,True,600,72
0.1,0.03,B_per_window,0.9880483796276393,0.9993598392944173,0.00031598483849604175,0.9996758241329133,True,True,,True,600,72
0.1,0.032791,A_decomposition,0.9822514007149445,0.9961922832059372,0.0017245952576900314,0.9979168784636272,True,True,,True,600,72
0.1,0.032791,B_per_window,0.9876296194459102,0.9993357219274417,0.00033290010869135855,0.999668622036133,True,True,,True,600,72
0.1,0.046321,A_decomposition,0.9772477011912158,0.9918984052386516,0.0032026585145867315,0.9951010637532383,True,True,,True,600,72
0.1,0.046321,B_per_window,0.9842863761344924,0.9986920085727701,0.0005780921654864879,0.9992701007382565,True,True,,True,600,72
0.1,0.05,A_decomposition,0.9758069118419032,0.9906857569228671,0.00399475731896759,0.9946805142418347,True,True,,True,600,72
0.1,0.05,B_per_window,0.9826730048935123,0.9983358872722284,0.0007856167223463939,0.9991215039945749,True,True,,True,600,72
0.1,0.065609,A_decomposition,0.971202430687039,0.9836673912831019,0.007365787446337091,0.991033178729439,True,True,,True,600,72
0.1,0.065609,B_per_window,0.978960788635558,0.9941191791109396,0.002413410223614687,0.9965325893345542,True,True,,True,600,72
0.1,0.08,A_decomposition,0.9673023688377094,0.9796153461607929,0.010099675780344708,0.9897150219411377,True,True,,True,600,72
0.1,0.08,B_per_window,0.975581409149624,0.9884472846223438,0.005133646028591676,0.9935809306509354,True,True,,True,600,72
0.1,0.12,A_decomposition,0.9574005584367055,0.9774680035333057,0.01173065503449161,0.9891986585677972,True,True,,True,600,72
0.1,0.12,B_per_window,0.9646410582632727,0.9835266209871686,0.008143534686467058,0.9916701556736356,True,True,,True,600,72
0.1,0.2,A_decomposition,0.9004406103637137,0.9583824866027129,0.017803781150457276,0.9761862677531701,True,True,,True,600,72
0.1,0.2,B_per_window,0.9025410211541264,0.9585387994572225,0.018962468721454573,0.9775012681786771,True,True,,True,600,72
0.15,0.002,A_decomposition,0.9826758993373456,0.9980522122559311,0.0008437134611004593,0.9988959257170316,True,True,,True,600,72
0.15,0.002,B_per_window,0.9818805672979394,0.997640054450679,0.0009151304118144021,0.9985551848624934,True,True,,True,600,72
0.15,0.03,A_decomposition,0.9719116746637073,0.9946173238024075,0.002323233447693307,0.9969405572501009,True,True,,True,600,72
0.15,0.03,B_per_window,0.9795779430292595,0.9974872610755838,0.0010339143719343413,0.9985211754475182,True,True,,True,600,72
0.15,0.032791,A_decomposition,0.9705685065531435,0.9937990700903001,0.0028316442402698816,0.9966307143305699,True,True,,True,600,72
0.15,0.032791,B_per_window,0.9789498038986458,0.9973926279476524,0.0011038706551463884,0.9984964986027988,True,True,,True,600,72
0.15,0.046321,A_decomposition,0.9633643037423694,0.988807880448322,0.004340463108001125,0.9931483435563231,True,True,,True,600,72
0.15,0.046321,B_per_window,0.9739768261373682,0.9966283290062796,0.0016323240937943795,0.998260653100074,True,True,,True,600,72
0.15,0.05,A_decomposition,0.9613500266373061,0.9874880354124805,0.005675879467606337,0.9931639148800868,True,True,,True,600,72
0.15,0.05,B_per_window,0.9716474893136261,0.9961538322147494,0.001916103482327236,0.9980699356970766,True,True,,True,600,72
0.15,0.065609,A_decomposition,0.955346330702886,0.9800684357880465,0.00837225499930322,0.9884406907873498,True,True,,True,600,72
0.15,0.065609,B_per_window,0.9661377936114315,0.9909087852039125,0.004019443146836832,0.9949282283507492,True,True,,True,600,72
0.15,0.08,A_decomposition,0.9503199402227459,0.9758225694255223,0.010235988979134636,0.9860585584046568,True,True,,True,600,72
0.15,0.08,B_per_window,0.9616296394449648,0.9846908840077232,0.00607424451769234,0.9907651285254155,True,True,,True,600,72
0.15,0.12,A_decomposition,0.9376829363461717,0.9727877262448571,0.012253520985755106,0.9850412472306123,True,True,,True,600,72
0.15,0.12,B_per_window,0.9474262669941363,0.9796589055097448,0.008200450870719078,0.9878593563804638,True,True,,True,600,72
0.15,0.2,A_decomposition,0.8697012888576596,0.9498397119410682,0.020578721276995504,0.9704184332180636,True,True,,True,600,72
0.15,0.2,B_per_window,0.8720853098535445,0.9491116603284995,0.02120396647224404,0.9703156268007436,True,True,,True,600,72
