scoring,a,b,abs_r,n_cells,collinear_by_construction
A_decomposition,band_mas,mcr_B,0.9958978179929944,600,True
A_decomposition,band_mas,mcr_D,0.06878710696394044,600,False
A_decomposition,band_mas,mcr,0.9758069118419032,600,False
A_decomposition,band_mas,return_pct,0.005582526889710759,600,False
A_decomposition,band_mas,mdd_pct,0.05491649482018862,600,False
A_decomposition,band_mas,turnover,0.19263950440072686,600,False
A_decomposition,mcr_B,mcr_D,0.06259975892818721,600,False
A_decomposition,mcr_B,mcr,0.9784888124163609,600,True
A_decomposition,mcr_B,return_pct,0.009338682513699292,600,False
A_decomposition,mcr_B,mdd_pct,0.058846615558770604,600,False
A_decomposition,mcr_B,turnover,0.1791112460077157,600,False
A_decomposition,mcr_D,mcr,0.2671484386808784,600,True
A_decomposition,mcr_D,return_pct,0.001112617358581465,600,False
A_decomposition,mcr_D,mdd_pct,0.020223019895881048,600,False
A_decomposition,mcr_D,turnover,0.10129818622211854,600,False
A_decomposition,mcr,return_pct,0.008786972694033285,600,False
A_decomposition,mcr,mdd_pct,0.06099950265364321,600,False
A_decomposition,mcr,turnover,0.193879575970562,600,False
A_decomposition,return_pct,mdd_pct,0.45387647963322014,600,False
A_decomposition,return_pct,turnover,0.015030288860472557,600,False
A_decomposition,mdd_pct,turnover,0.07593688442429976,600,False
B_per_window,band_mas,mcr_window_B,0.9990517969543438,600,True
B_per_window,band_mas,mcr_window_D,0.06270080256789771,600,False
B_per_window,band_mas,mcr_window,0.9826730048935122,600,False
B_per_window,band_mas,return_pct,0.005582526889710759,600,False
B_per_window,band_mas,mdd_pct,0.05491649482018862,600,False
B_per_window,band_mas,turnover,0.19263950440072686,600,False
B_per_window,mcr_window_B,mcr_window_D,0.055018887197583605,600,False
B_per_window,mcr_window_B,mcr_window,0.9821471825196978,600,True
B_per_window,mcr_window_B,return_pct,0.007064969534536126,600,False
B_per_window,mcr_window_B,mdd_pct,0.05731244357113218,600,False
B_per_window,mcr_window_B,turnover,0.1841966143050341,600,False
B_per_window,mcr_window_D,mcr_window,0.24186580393304905,600,True
B_per_window,mcr_window_D,return_pct,0.011271365522742684,600,False
B_per_window,mcr_window_D,mdd_pct,0.025555659862464292,600,False
B_per_window,mcr_window_D,turnover,0.09711736254351082,600,False
B_per_window,mcr_window,return_pct,0.008989126943062137,600,False
B_per_window,mcr_window,mdd_pct,0.06050985369122807,600,False
B_per_window,mcr_window,turnover,0.19729574903845445,600,False
B_per_window,return_pct,mdd_pct,0.45387647963322014,600,False
B_per_window,return_pct,turnover,0.015030288860472557,600,False
B_per_window,mdd_pct,turnover,0.07593688442429976,600,False
