ticker,end,eps,filed,derived_q4,eps_prev,consecutive_prev,eps_lag4,seasonal_pair,level,eps_ttm
A,2008-07-31,0.47,2009-10-05,False,,False,,False,,
A,2009-01-31,0.18,2010-03-10,False,,False,,False,,
A,2009-04-30,-0.29,2010-06-07,False,0.18,True,,False,,
A,2009-07-31,-0.06,2009-10-05,False,-0.29,True,,False,,
A,2009-10-31,0.07999999999999999,2009-12-21,True,-0.06,True,,False,,
A,2010-01-31,0.23,2010-03-10,False,0.07999999999999999,True,0.18,True,0.1525,-0.04000000000000001
A,2010-04-30,0.31,2010-06-07,False,0.23,True,-0.29,True,0.16499999999999998,0.56
A,2010-07-31,0.59,2010-10-06,False,0.31,True,-0.06,True,0.16999999999999998,1.21
A,2010-10-31,0.8400000000000001,2010-12-20,True,0.59,True,0.07999999999999999,True,0.3025,1.97
A,2011-01-31,0.56,2011-03-09,False,0.8400000000000001,True,0.23,True,0.4925,2.3
A,2011-04-30,0.58,2011-06-07,False,0.56,True,0.31,True,0.575,2.5700000000000003
A,2011-07-31,0.95,2011-09-07,False,0.58,True,0.59,True,0.6425000000000001,2.9299999999999997
A,2011-10-31,0.8300000000000001,2011-12-16,True,0.95,True,0.8400000000000001,True,0.7324999999999999,2.92
A,2012-01-31,0.66,2012-03-05,False,0.8300000000000001,True,0.56,True,0.73,3.02
A,2012-04-30,0.73,2012-06-04,False,0.66,True,0.58,True,0.755,3.17
A,2012-07-31,0.7,2012-09-05,False,0.73,True,0.95,True,0.7925,2.92
A,2012-10-31,1.2200000000000002,2012-12-20,True,0.7,True,0.8300000000000001,True,0.73,3.31
A,2013-01-31,0.52,2013-03-06,False,1.2200000000000002,True,0.66,True,0.8275,3.1700000000000004
A,2013-04-30,0.48,2013-06-03,False,0.52,True,0.73,True,0.7925000000000001,2.9200000000000004
A,2013-07-31,0.5,2013-09-06,False,0.48,True,0.7,True,0.7300000000000001,2.72
A,2013-10-31,0.6200000000000001,2013-12-19,True,0.5,True,1.2200000000000002,True,0.68,2.12
A,2014-01-31,0.59,2014-03-05,False,0.6200000000000001,True,0.52,True,0.53,2.19
A,2014-04-30,0.42,2014-06-04,False,0.59,True,0.48,True,0.5475,2.13
A,2014-07-31,0.44,2014-09-02,False,0.42,True,0.5,True,0.5325,2.07
A,2014-10-31,0.06000000000000005,2014-12-22,True,0.44,True,0.6200000000000001,True,0.5175,1.51
A,2015-01-31,0.21,2015-03-10,False,0.06000000000000005,True,0.59,True,0.3775,1.1300000000000001
A,2015-04-30,0.25,2015-06-05,False,0.21,True,0.42,True,0.28250000000000003,0.96
A,2015-07-31,0.31,2015-09-02,False,0.25,True,0.44,True,0.24,0.8300000000000001
A,2015-10-31,0.42999999999999994,2015-12-21,True,0.31,True,0.06000000000000005,True,0.20750000000000002,1.2
A,2016-01-31,0.37,2016-03-08,False,0.42999999999999994,True,0.21,True,0.3,1.3599999999999999
A,2016-04-30,0.28,2016-06-07,False,0.37,True,0.25,True,0.33999999999999997,1.39
A,2016-07-31,0.38,2016-09-07,False,0.28,True,0.31,True,0.3475,1.46
A,2016-10-31,0.3899999999999999,2016-12-20,True,0.38,True,0.42999999999999994,True,0.365,1.42
A,2017-01-31,0.52,2017-03-08,False,0.3899999999999999,True,0.37,True,0.355,1.5699999999999998
A,2017-04-30,0.51,2017-06-06,False,0.52,True,0.28,True,0.39249999999999996,1.8
A,2017-07-31,0.55,2017-09-06,False,0.51,True,0.38,True,0.45,1.97
A,2017-10-31,0.54,2017-12-21,True,0.55,True,0.3899999999999999,True,0.4925,2.12
A,2018-01-31,-0.99,2018-03-06,False,0.54,True,0.52,True,0.53,0.6100000000000001
A,2018-04-30,0.64,2018-05-31,False,-0.99,True,0.51,True,0.6475,0.7400000000000001
A,2018-07-31,0.74,2018-08-30,False,0.64,True,0.55,True,0.68,0.93
A,2018-10-31,0.59,2018-12-20,True,0.74,True,0.54,True,0.7275,0.98
A,2019-01-31,1.58,2019-03-05,False,0.59,True,-0.99,True,0.74,3.55
A,2019-04-30,0.57,2019-05-30,False,1.58,True,0.64,True,0.8875,3.48
A,2019-07-31,0.61,2019-08-30,False,0.57,True,0.74,True,0.87,3.3499999999999996
A,2019-10-31,0.6500000000000004,2019-12-19,True,0.61,True,0.59,True,0.8374999999999999,3.41
A,2020-01-31,0.64,2020-03-03,False,0.6500000000000004,True,1.58,True,0.8525,2.47
A,2020-04-30,0.33,2020-06-01,False,0.64,True,0.57,True,0.6175,2.2300000000000004
A,2020-07-31,0.64,2020-09-01,False,0.33,True,0.61,True,0.5575000000000001,2.2600000000000007
A,2020-10-31,0.7200000000000002,2020-12-18,True,0.64,True,0.6500000000000004,True,0.5650000000000002,2.33
A,2021-01-31,0.94,2021-03-02,False,0.7200000000000002,True,0.64,True,0.5825,2.63
A,2021-04-30,0.71,2021-06-01,False,0.94,True,0.33,True,0.6575,3.0100000000000002
A,2021-07-31,0.87,2021-09-01,False,0.71,True,0.64,True,0.7525000000000001,3.24
A,2021-10-31,1.46,2021-12-17,True,0.87,True,0.7200000000000002,True,0.81,3.98
A,2022-01-31,0.94,2022-03-03,False,1.46,True,0.94,True,0.995,3.98
A,2022-04-30,0.92,2022-05-31,False,0.94,True,0.71,True,0.995,4.19
A,2022-07-31,1.1,2022-09-01,False,0.92,True,0.87,True,1.0475,4.42
A,2022-10-31,1.2300000000000004,2022-12-21,True,1.1,True,1.46,True,1.105,4.19
A,2023-01-31,1.19,2023-03-03,False,1.2300000000000004,True,0.94,True,1.0475,4.44
A,2023-04-30,1.02,2023-05-26,False,1.19,True,0.92,True,1.11,4.540000000000001
A,2023-07-31,0.38,2023-08-31,False,1.02,True,1.1,True,1.1350000000000002,3.8200000000000003
A,2023-10-31,1.63,2023-12-20,True,0.38,True,1.2300000000000004,True,0.9550000000000001,4.22
A,2024-01-31,1.19,2024-03-05,False,1.63,True,1.19,True,1.055,4.22
