Model,Persona,Arm,Scenario,Seed,Decode_Replicate,Path,Temperature,usd,band_mas,v21_mcr_B_0.05,v21_mcr_D_0.05,v21_mcr_0.05,v21_mcr_B_0.002,v21_mcr_D_0.002,v21_mcr_0.002,turnover,mdd_pct,return_pct,fallback_share,trade_count
gemini-2.5-flash,ISFJ,static,flat,2001,0,flat|2001,0.2,0.16713319999999998,0.056039296209947895,0.06236568448470327,0.16038799300617965,0.22275367749088285,0.056605349707018034,0.11535686090790075,0.17196221061491876,0.5603622172218394,-2.621236408821437,-0.40413291171631505,0.0,11
gemini-2.5-flash,ISFJ,static,flat,2001,1,flat|2001,0.2,0.1671832,0.04380806481076334,0.05078495970282516,0.16387725620538146,0.2146622159082066,0.04419113626802911,0.11705248024709303,0.16124361651512215,0.9057572029965218,-2.437209983390942,1.020080765894904,0.0,18
gemini-2.5-flash,ISFJ,static,flat,2001,2,flat|2001,0.2,0.16732439999999998,0.04082294796688215,0.03748717978276781,0.16401879290944546,0.20150597269221324,0.040731603811251044,0.1175116160330438,0.15824321984429482,0.6252657517417795,-2.0935080310895304,3.013674965074231,0.0,13
gemini-2.5-flash,ISFJ,static,flat,2002,0,flat|2002,0.2,0.1659946,0.0550349451423479,0.05632882541606331,0.12602742724234503,0.18235625265840832,0.05518230271648494,0.12239142908183454,0.17757373179831948,0.5487080680660489,-1.5846508018983352,-1.337660650689776,0.0,10
gemini-2.5-flash,ISFJ,static,flat,2002,1,flat|2002,0.2,0.1670044,0.05186728407727347,0.0551240768916092,0.12610201459784304,0.18122609148945226,0.05213063603951681,0.12275747125500712,0.17488810729452392,0.3385984151220155,-1.4331546263643746,-1.032134355363401,0.0,7
gemini-2.5-flash,ISFJ,static,flat,2002,2,flat|2002,0.2,0.16684749999999998,0.05282611112754578,0.05911910295819775,0.12604843862062393,0.18516754157882165,0.053368255316461555,0.1239043960626429,0.17727265137910445,0.4523734418731353,-2.036833446451025,-1.725109896068111,0.0,8
gemini-2.5-flash,ISFJ,static,flat,2003,0,flat|2003,0.2,0.1660054,0.07862512660424581,0.08063435277818198,0.14119025652445952,0.2218246093026415,0.07891901781620514,0.0864619701836864,0.16538098799989157,0.1927372074392741,-1.230148468422565,-0.6811743878801679,0.0,3
gemini-2.5-flash,ISFJ,static,flat,2003,1,flat|2003,0.2,0.1667561,0.06365251726467293,0.05240518512804153,0.14123094651181684,0.19363613163985832,0.0633888865304863,0.08647277846157819,0.14986166499206446,0.4680640974442681,-2.67616396786019,-2.67616396786019,0.0,8
gemini-2.5-flash,ISFJ,static,flat,2003,2,flat|2003,0.2,0.1676011,0.06476720521393003,0.056431919612690985,0.1411903545685774,0.19762227418126835,0.06455001981096244,0.08646199622665522,0.15101201603761766,0.4712461682216828,-2.3596933395325648,-2.3596933395325648,0.0,8
gemini-2.5-flash,ISFJ,static,flat,2004,0,flat|2004,0.2,0.1671819,0.04871360852417773,0.05526444988303425,0.07413802623893195,0.1294024761219662,0.048925957364722134,0.09466482517463409,0.14359078253935625,1.597151960930512,-2.805354256854764,6.718690576174224,0.0,26
gemini-2.5-flash,ISFJ,static,flat,2004,1,flat|2004,0.2,0.16707439999999998,0.05567981241527347,0.05529093110357208,0.07413805976478555,0.12942899086835763,0.055847205910906195,0.09378079896637609,0.1496280048772823,1.7147422902032008,-3.383609123715725,9.36295970478296,0.0,28
gemini-2.5-flash,ISFJ,static,flat,2004,2,flat|2004,0.2,0.1673419,0.043120373436242955,0.05059750179636803,0.07356321839080461,0.12416072018717263,0.043113266047155735,0.08914479857709454,0.13225806462425027,0.8721434171853645,-1.9429890690396023,1.3735526864004255,0.0,17
gemini-2.5-flash,ISFJ,static,flat,2005,0,flat|2005,0.2,0.1677656,0.037371222200386904,0.04539653316832056,0.18340260217376883,0.22879913534208943,0.037452579723221247,0.11731905335833978,0.154771633081561,0.6493234814846434,-1.137403960427441,3.2492280803702034,0.0,13
gemini-2.5-flash,ISFJ,static,flat,2005,1,flat|2005,0.2,0.16753790000000002,0.05380358318929372,0.04384464387219941,0.18518513268498454,0.22902977655718396,0.053156283856990734,0.1182951752623736,0.1714514591193643,0.5923235310403289,-1.0084053244772018,3.1558762219319636,0.0,12
gemini-2.5-flash,ISFJ,static,flat,2005,2,flat|2005,0.2,0.166794,0.03693533113055163,0.04114663892088987,0.18705321748156864,0.2281998564024585,0.0365084938753079,0.12327155704882345,0.15978005092413133,0.627810678563905,-1.415271403223184,4.1645693177284615,0.0,12
gemini-2.5-flash,ISFJ,static,flat,2006,0,flat|2006,0.2,0.16614459999999998,0.040991915295736606,0.010827329420479056,0.01807504671938703,0.02890237613986608,0.040226234317249705,0.03176997797252106,0.07199621228977077,0.897121296615774,-1.9381138843695744,-1.2261313268643437,0.0,19
gemini-2.5-flash,ISFJ,static,flat,2006,1,flat|2006,0.2,0.1662693,0.0438949027786277,0.015806781714211928,0.10495244778523982,0.12075922949945175,0.04362043571215148,0.04815619050638357,0.09177662621853504,0.6646298202233125,-2.5597908049461937,-0.5553864935282427,0.0,13
