metric,design,seeds_per_cell,reps,sigma_limit,sigma_point,sigma_bootstrap_ucl90,mdd_appA_bonf,mdd_paired_bonf,mdd_appA_nominal,mdd_paired_nominal,mdd_appA_bonf_bootstrap
band_mas,"E8.5 (8 seeds, 3 reps)",8,3,0.0348622622031018,0.0313382187662594,0.0334931883675954,0.07039686862937856,0.049778103182132105,0.04883479922909422,0.0345314176927761,0.067632317368173
band_mas,"Tier A (5 seeds, 1 rep)",5,1,0.0379822015358277,0.0347598929736085,0.0372462012484005,0.0970147796604961,0.06859980857325554,0.06729982993871361,0.047588166122365834,0.09513487531510266
band_mas,"band-MAS-sized (R=1, App. A, Bonferroni)",19,1,0.0379822015358277,0.0347598929736085,0.0372462012484005,0.049767531881990054,0.035190959276672866,0.03452408430806626,0.024412214128489724,0.048803161300807814
v21_mcr_B_0.05,"E8.5 (8 seeds, 3 reps)",8,3,0.0506340629554579,0.045515730811683,0.0521996058417351,0.10224464084633932,0.07229787888242958,0.07092782115450615,0.05015354331313795,0.10540591925841863
v21_mcr_B_0.05,"Tier A (5 seeds, 1 rep)",5,1,0.0537762416738332,0.0489761391204058,0.0555714049122781,0.13735618331747723,0.09712548866169068,0.09528494329056461,0.06737662954573385,0.14194141953313147
v21_mcr_B_0.05,"band-MAS-sized (R=1, App. A, Bonferroni)",19,1,0.0537762416738332,0.0489761391204058,0.0555714049122781,0.07046223530438582,0.04982432440129336,0.04888014454789042,0.03456348167519196,0.07281441185261486
v21_mcr_D_0.05,"E8.5 (8 seeds, 3 reps)",8,3,0.0229907334485634,0.0206667206565768,0.0235894754412665,0.04642486000600318,0.03282733332588099,0.03220524949153531,0.022772550305269222,0.047633891168629865
v21_mcr_D_0.05,"Tier A (5 seeds, 1 rep)",5,1,0.0252595279058836,0.0231515697696779,0.0259374292157393,0.06451831213116772,0.04562133601865899,0.04475680354638274,0.031647839291881356,0.06624981908831913
v21_mcr_D_0.05,"band-MAS-sized (R=1, App. A, Bonferroni)",19,1,0.0252595279058836,0.0231515697696779,0.0259374292157393,0.03309719577982553,0.023403251574173417,0.022959755773558372,0.01623499900187011,0.033985440107086616
v21_mcr_0.05,"E8.5 (8 seeds, 3 reps)",8,3,0.0650334895419968,0.0584595948056122,0.0694067263349949,0.13132119749218915,0.09285810926026478,0.09109843149158127,0.06441631866315524,0.14015201214811418
v21_mcr_0.05,"Tier A (5 seeds, 1 rep)",5,1,0.0682431450798165,0.0620013336119195,0.0725228320548152,0.1743077919538871,0.12325422170424749,0.12091853217150615,0.08550231406959569,0.18523904059422072
v21_mcr_0.05,"band-MAS-sized (R=1, App. A, Bonferroni)",19,1,0.0682431450798165,0.0620013336119195,0.0725228320548152,0.08941801057222548,0.06322808163583103,0.062029898186938784,0.04386176164429553,0.09502562280534677
v21_mcr_B_0.002,"E8.5 (8 seeds, 3 reps)",8,3,0.0344235524748418,0.030943855905955,0.0329773654183633,0.06951098833489779,0.049151691218585224,0.04822025788422644,0.034096871340500594,0.06659072344688467
v21_mcr_B_0.002,"Tier A (5 seeds, 1 rep)",5,1,0.0375682696997123,0.0343917545794577,0.036917274387386,0.09595750798451595,0.0678522046016135,0.06656639319596692,0.04706954802799827,0.09429472477997268
v21_mcr_B_0.002,"band-MAS-sized (R=1, App. A, Bonferroni)",19,1,0.0375682696997123,0.0343917545794577,0.036917274387386,0.049225162956075846,0.03480744653125406,0.03414783919772528,0.024146168659579338,0.04837217317003976
v21_mcr_D_0.002,"E8.5 (8 seeds, 3 reps)",8,3,0.011179681136048,0.0100495857422392,0.0104737463243537,0.022574970599087793,0.015962914795701912,0.015660414706984236,0.011073585435502091,0.021149486506568768
v21_mcr_D_0.002,"Tier A (5 seeds, 1 rep)",5,1,0.0124964006937679,0.0114877295095191,0.0119459554465755,0.03191851738008383,0.022569800084877953,0.022142098338962846,0.015656827885180018,0.030512560847491432
v21_mcr_D_0.002,"band-MAS-sized (R=1, App. A, Bonferroni)",19,1,0.0124964006937679,0.0114877295095191,0.0119459554465755,0.01637385393130988,0.011578063148987227,0.011358656782758264,0.008031783236258942,0.015652613448103626
v21_mcr_0.002,"E8.5 (8 seeds, 3 reps)",8,3,0.0376028479810501,0.0338017730863058,0.0365107462877592,0.075930894386336,0.053691250322137736,0.05267379153132951,0.03724599518260963,0.07372562901988826
v21_mcr_0.002,"Tier A (5 seeds, 1 rep)",5,1,0.041022546686955,0.0375513920986664,0.0401952856040607,0.10478048051515154,0.07409098830824856,0.07268695083619113,0.051397435840043935,0.10266747630703607
v21_mcr_0.002,"band-MAS-sized (R=1, App. A, Bonferroni)",19,1,0.041022546686955,0.0375513920986664,0.0401952856040607,0.05375125236481289,0.03800787504442864,0.03728761901850499,0.026366328262285355,0.05266730407711723
turnover,"E8.5 (8 seeds, 3 reps)",8,3,9.884768104080887,8.885568684405944,9.586788839316782,19.960171190294734,14.113972402301767,13.846510102433783,9.790961189198963,19.35846591271779
turnover,"Tier A (5 seeds, 1 rep)",5,1,10.475642561643973,9.536514871863613,10.219411901117637,26.757062882765254,18.920100609038183,18.56156132056673,13.12500587918266,26.10259420880549
turnover,"band-MAS-sized (R=1, App. A, Bonferroni)",19,1,10.475642561643973,9.536514871863613,10.219411901117637,13.726083641549168,9.705806822073157,9.521880047901295,6.732985951515892,13.39034829574887
