scenario,seed,persona,acting_theta,return_net_pct,return_gross_pct,cost_drag_pct,turnover,trade_count,cost_paid,mcr_own_theta,coverage,oracle_switches
flat,0,ISFJ,0.002,-6.847689442070037,-6.785023211638508,0.06266623043152908,1.2700609835437215,67,6.350304917718607,0.002923395322921689,0.995,2
flat,0,ISFJ,0.03,-6.837980555455292,-6.785023211638508,0.052957343816784075,1.0758832512486365,66,5.379416256243182,0.0030107975203883296,0.945,1
flat,0,ISFJ,0.032791,-6.837980555455292,-6.785023211638508,0.052957343816784075,1.0758832512486365,66,5.379416256243182,0.0030107975203883296,0.945,1
flat,0,ISFJ,0.046321,-6.6903413438356925,-6.636839222392121,0.05350212144357158,1.0872332001071914,66,5.436166000535957,0.0029380217617644873,0.865,1
flat,0,ISFJ,0.05,-6.6903413438356925,-6.636839222392121,0.05350212144357158,1.0872332001071914,66,5.436166000535957,0.002862027271765559,0.84,1
flat,0,ISFJ,0.065609,-6.667283579519956,-6.614132676494777,0.053150903025178664,1.078631116108239,65,5.393155580541194,0.0028632105878576555,0.765,1
flat,0,ISFJ,0.08,-6.048393436391708,-5.9974314347660425,0.05096200162566511,1.0237919147034857,61,5.118959573517429,0.0028770027358035392,0.715,1
flat,0,ISFJ,0.12,-5.149146812042704,-5.097982822975988,0.051163989066716375,1.0181563199012942,57,5.090781599506472,0.0026825148859582378,0.585,1
flat,0,ISFJ,0.2,-4.787260507480173,-4.745780117530607,0.04148038994956593,0.8299692658119413,43,4.149846329059707,0.0026138437423376547,0.385,1
flat,0,INTJ,0.002,-16.56501095731182,-16.50092302234818,0.0640879349636414,1.3388155688453782,72,6.694077844226891,0.003006368167873833,0.995,2
flat,0,INTJ,0.03,-16.556269246782286,-16.50092302234818,0.05534622443410697,1.163981358254777,71,5.819906791273885,0.0030882828450170545,0.945,1
flat,0,INTJ,0.032791,-16.556269246782286,-16.50092302234818,0.05534622443410697,1.163981358254777,71,5.819906791273885,0.0030882828450170545,0.945,1
flat,0,INTJ,0.046321,-16.413350930168523,-16.357420212766115,0.05593071740240774,1.1771590040882465,71,5.885795020441232,0.003002209579247859,0.865,1
flat,0,INTJ,0.05,-16.413350930168523,-16.357420212766115,0.05593071740240774,1.1771590040882465,71,5.885795020441232,0.0028709010798489893,0.84,1
flat,0,INTJ,0.065609,-16.38724849261233,-16.33165465036065,0.05559384225167818,1.167665447359125,70,5.838327236795626,0.0028489615723737995,0.765,1
flat,0,INTJ,0.08,-15.815691557421719,-15.761860279293682,0.053831278128036786,1.108303077489242,66,5.541515387446209,0.002833994393203015,0.715,1
flat,0,INTJ,0.12,-14.766864642386313,-14.712353226338271,0.054511416048041994,1.1049593149631112,61,5.524796574815555,0.0026901503733054956,0.585,1
flat,0,INTJ,0.2,-14.360239431490607,-14.314152623627797,0.046086807862810275,0.9397824053453266,48,4.698912026726633,0.002547600145012618,0.385,1
flat,0,ENTJ,0.002,-32.22824724077997,-32.21795442709258,0.010292813687392766,0.2355570612245625,2,1.1777853061228125,4.0205025527689703e-07,0.995,2
flat,0,ENTJ,0.03,-32.22146938771875,-32.21795442709258,0.0035149606261697386,0.1,1,0.5,0.0,0.945,1
flat,0,ENTJ,0.032791,-32.22146938771875,-32.21795442709258,0.0035149606261697386,0.1,1,0.5,0.0,0.945,1
flat,0,ENTJ,0.046321,-32.15899557197632,-32.155449358816014,0.003546213160305456,0.1,1,0.5,0.0,0.865,1
flat,0,ENTJ,0.05,-32.15899557197632,-32.155449358816014,0.003546213160305456,0.1,1,0.5,0.0,0.84,1
