Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Model,Persona,Agent_Type,Scenario,Seed,Crash_Discount,Status
9192.95,-8.07,-26.83,185,56.5,15.0,0.1852,3.6,0.2,google/gemma-2-9b-it,ENTJ,static,flat,42,0.92,PASS
8985.75,-10.14,-28.4,198,52.5,15.0,0.1998,1.2,0.2,google/gemma-2-9b-it,ENTJ,memory,flat,42,0.92,PASS
9961.48,-0.39,-3.2,1,94.5,15.1,0.164,83.6,1.0,google/gemma-2-9b-it,ISFJ,static,flat,42,0.92,PASS
10000.0,0.0,0.0,0,47.0,0.0,0.0,100.0,1.0,google/gemma-2-9b-it,ISFJ,memory,flat,42,0.92,PASS
9540.25,-4.6,-18.62,46,85.0,15.0,0.485,10.3,0.5,google/gemma-2-9b-it,INTJ,static,flat,42,0.92,PASS
9895.89,-1.04,-15.03,12,92.0,15.0,0.4722,14.8,0.5,google/gemma-2-9b-it,INTJ,memory,flat,42,0.92,PASS
11961.19,19.61,-15.16,136,60.0,15.0,0.2087,15.3,0.2,google/gemma-2-9b-it,ENTJ,static,flat,123,0.92,PASS
10929.95,9.3,-19.3,197,44.0,15.0,0.1999,1.2,0.2,google/gemma-2-9b-it,ENTJ,memory,flat,123,0.92,PASS
10391.87,3.92,-4.76,1,89.0,15.0,0.2277,77.2,1.0,google/gemma-2-9b-it,ISFJ,static,flat,123,0.92,PASS
10000.0,0.0,0.0,0,56.5,0.0,0.0,100.0,1.0,google/gemma-2-9b-it,ISFJ,memory,flat,123,0.92,PASS
11407.09,14.07,-15.08,19,91.0,15.0,0.4379,14.4,0.5,google/gemma-2-9b-it,INTJ,static,flat,123,0.92,PASS
11565.18,15.65,-13.87,6,88.0,15.0,0.4118,29.6,0.5,google/gemma-2-9b-it,INTJ,memory,flat,123,0.92,PASS
11597.28,15.97,-28.58,135,68.5,15.0,0.1768,12.8,0.2,google/gemma-2-9b-it,ENTJ,static,flat,456,0.92,PASS
11299.72,13.0,-30.65,199,50.5,15.0,0.2,1.1,0.2,google/gemma-2-9b-it,ENTJ,memory,flat,456,0.92,PASS
10000.0,0.0,0.0,0,50.0,0.0,0.0,100.0,1.0,google/gemma-2-9b-it,ISFJ,static,flat,456,0.92,PASS
10000.0,0.0,0.0,0,50.0,0.0,0.0,100.0,1.0,google/gemma-2-9b-it,ISFJ,memory,flat,456,0.92,PASS
