seed,topped,top_day,top_day_realised,top_day_offset,attempts,rejected,mania_days,max_x,peak_pv,cap_hits,cap_binding_share,post_top_drop,topped_panel_rule
230000,True,179.0,178.0,-1.0,1,0,109,0.34109440309810407,1.4064860112320037,61,0.5596330275229358,-0.447047204754777,True
230001,False,,,,1,0,130,0.4415761046855578,1.55515637719197,77,0.5923076923076923,,
230002,False,,,,3,1,138,0.4865137084277804,1.6266353979293606,59,0.427536231884058,,
230003,False,,,,1,0,149,0.3505078885659112,1.419788459831234,91,0.610738255033557,,
230004,False,,,,1,0,114,0.3759693132549994,1.456402440835029,55,0.4824561403508772,,
230005,False,,,,2,1,134,0.5084638458922535,1.662735014882095,78,0.582089552238806,,
230006,False,,,,1,0,98,0.4017779911195568,1.4944795081209634,32,0.32653061224489793,,
230007,False,,,,1,0,143,0.39676411991976707,1.487005133789743,86,0.6013986013986014,,
230008,False,,,,1,0,116,0.38953870537964685,1.4762996277092841,60,0.5172413793103449,,
230009,False,,,,1,0,90,0.3142395543303835,1.3692176992924627,26,0.28888888888888886,,
230010,True,191.0,191.0,0.0,1,0,89,0.36783075345477806,1.4445975251425356,13,0.14606741573033707,-0.23573370399497962,False
230011,True,170.0,171.0,1.0,1,0,118,0.3493730484325141,1.4181781408062346,50,0.423728813559322,-0.43119409098271233,True
230012,True,152.0,133.0,-19.0,1,0,88,0.38845572260606315,1.4747016860716395,42,0.4772727272727273,-0.46681729696694274,True
230013,False,,,,1,0,126,0.3938448526085339,1.4826704983691361,43,0.3412698412698413,,
230014,True,154.0,147.0,-7.0,1,0,74,0.32682770872245603,1.3865625639640216,24,0.32432432432432434,-0.39636775222467335,False
230015,False,,,,2,1,145,0.4534520037880204,1.573735360119601,77,0.5310344827586206,,
230016,False,,,,1,0,134,0.3250066334475886,1.384039826905953,45,0.3358208955223881,,
230017,False,,,,1,0,121,0.43916492703191096,1.551411135922886,71,0.5867768595041323,,
230018,False,,,,1,0,98,0.498367904135929,1.6460325942189222,44,0.4489795918367347,,
230019,False,,,,1,0,133,0.5128455839841105,1.6700366695201811,82,0.6165413533834586,,
230020,False,,,,2,1,108,0.5032002778880442,1.6540060888591523,59,0.5462962962962963,,
230021,False,,,,2,1,133,0.4355225527984399,1.5457705946929348,45,0.3383458646616541,,
230022,False,,,,1,0,118,0.560180147400663,1.75098790780551,28,0.23728813559322035,,
230023,True,188.0,145.0,-43.0,1,0,130,0.4431801969894724,1.5576529934341177,55,0.4230769230769231,-0.22478154910229642,False
230024,False,,,,1,0,110,0.36997172779365195,1.447693684590156,24,0.21818181818181817,,
230025,False,,,,2,1,148,0.5148988223423271,1.6734691755402877,100,0.6756756756756757,,
230026,False,,,,2,1,102,0.4821088756034842,1.619486098229944,50,0.49019607843137253,,
230027,False,,,,1,0,92,0.38119192591300893,1.4640285634660146,46,0.5,,
230028,False,,,,1,0,123,0.43731396934912775,1.548542195524423,49,0.3983739837398374,,
230029,False,,,,1,0,145,0.46216824326496164,1.5875123690230866,90,0.6206896551724138,,
230030,False,,,,1,0,108,0.4075798779448569,1.5031755113093317,54,0.5,,
230031,True,154.0,153.0,-1.0,2,1,82,0.34470325758618636,1.4115709845316025,13,0.15853658536585366,-0.40406584250922095,True
230032,False,,,,1,0,103,0.3627381923521435,1.437259524444241,44,0.42718446601941745,,
230033,False,,,,1,0,140,0.37997208085644885,1.462243764270764,70,0.5,,
230034,False,,,,1,0,103,0.42648866491123405,1.5318691629714623,57,0.5533980582524272,,
230035,False,,,,1,0,114,0.3411486084732955,1.406562252400266,55,0.4824561403508772,,
230036,False,,,,2,1,148,0.4736241635936147,1.6058033542389583,92,0.6216216216216216,,
230037,False,,,,1,0,91,0.38114600892543077,1.4639613412279853,23,0.25274725274725274,,
230038,False,,,,1,0,145,0.513696800835565,1.6714588380768727,78,0.5379310344827586,,
230039,False,,,,1,0,134,0.43732596630955856,1.548560773435307,81,0.6044776119402985,,
230040,False,,,,1,0,131,0.5820596797780438,1.789720889029289,84,0.6412213740458015,,
230041,False,,,,1,0,144,0.43084777998365786,1.5385613322998635,59,0.4097222222222222,,
230042,False,,,,1,0,112,0.329855348092928,1.3907669368230497,26,0.23214285714285715,,
230043,False,,,,1,0,97,0.491566325922406,1.634874962553559,46,0.4742268041237113,,
230044,False,,,,1,0,97,0.3940072443299401,1.4829112913345077,46,0.4742268041237113,,
230045,False,,,,1,0,110,0.34305643129655194,1.4092482853905317,61,0.5545454545454546,,
230046,False,,,,1,0,101,0.38326005834468024,1.4670595015293453,32,0.31683168316831684,,
230047,False,,,,1,0,135,0.38832692155988974,1.474511755183591,83,0.6148148148148148,,
230048,False,,,,1,0,97,0.39164550544287235,1.4794131745169368,44,0.4536082474226804,,
230049,False,,,,1,0,119,0.3949121864712908,1.484253847630185,67,0.5630252100840336,,
230050,True,195.0,163.0,-32.0,1,0,136,0.3829471842021482,1.466600568343668,79,0.5808823529411765,-0.3884762839274788,False
230051,False,,,,1,0,127,0.41226233779154536,1.51023057491916,74,0.5826771653543307,,
230052,False,,,,1,0,125,0.4318412318546266,1.5400905784244754,55,0.44,,
230053,False,,,,1,0,133,0.34194387687695726,1.4076812918267543,47,0.3533834586466165,,
230054,False,,,,1,0,90,0.39252868151320786,1.4807203339718193,6,0.06666666666666667,,
230055,False,,,,1,0,126,0.42941584711637365,1.5363597923646826,69,0.5476190476190477,,
230056,False,,,,1,0,94,0.33973172413072134,1.4045707275813268,37,0.39361702127659576,,
230057,True,198.0,199.0,1.0,1,0,115,0.4286855446861139,1.535238194677173,45,0.391304347826087,-0.06705902387146945,False
230058,True,148.0,145.0,-3.0,1,0,80,0.40742050799854324,1.502935969397192,22,0.275,-0.4948415475523342,True
230059,False,,,,1,0,147,0.39851640773895347,1.4896130790407878,89,0.6054421768707483,,
230060,False,,,,1,0,100,0.3530773071870656,1.423441181413872,52,0.52,,
230061,False,,,,1,0,125,0.44123172589066356,1.5546209065205847,74,0.592,,
230062,True,151.0,149.0,-2.0,1,0,74,0.33057455204402514,1.3917675416754194,27,0.36486486486486486,-0.507304981692478,True
230063,True,182.0,180.0,-2.0,1,0,78,0.6615876564371693,1.9378665596673421,21,0.2692307692307692,-0.32255449388327184,False
230064,False,,,,1,0,137,0.5122210241304613,1.668993957314263,70,0.5109489051094891,,
230065,False,,,,1,0,120,0.5491429152803428,1.731768109627463,69,0.575,,
230066,False,,,,1,0,100,0.3738869220424942,1.4533727967372867,47,0.47,,
230067,False,,,,1,0,133,0.5137161385916702,1.6714911606527452,66,0.49624060150375937,,
230068,False,,,,1,0,136,0.48436193745490863,1.6231390141542652,75,0.5514705882352942,,
230069,True,151.0,152.0,1.0,1,0,101,0.40406881508221826,1.4979070220064141,45,0.44554455445544555,-0.3864845866437743,False
230070,False,,,,1,0,112,0.4007760700867203,1.4929829075316343,42,0.375,,
230071,False,,,,1,0,97,0.3538715254866688,1.424572153508477,46,0.4742268041237113,,
230072,False,,,,1,0,149,0.4355173129964548,1.5457624951823243,85,0.5704697986577181,,
230073,True,151.0,152.0,1.0,1,0,80,0.5869986781107019,1.7985821824595596,23,0.2875,-0.542621819563673,True
230074,False,,,,2,1,127,0.36253420561227584,1.4369663724600812,65,0.5118110236220472,,
230075,False,,,,1,0,144,0.41602900124903425,1.5159298320916506,72,0.5,,
230076,False,,,,1,0,138,0.38432015802873504,1.4686155554838334,56,0.4057971014492754,,
230077,False,,,,1,0,140,0.4513473086093332,1.5704266100711735,80,0.5714285714285714,,
230078,False,,,,1,0,133,0.39584927787697777,1.4856453810498311,75,0.5639097744360902,,
230079,False,,,,2,1,113,0.44265086492300054,1.5568286959390523,63,0.5575221238938053,,
230080,False,,,,1,0,113,0.38293513026303133,1.4665828901362548,47,0.415929203539823,,
230081,False,,,,2,1,139,0.37368464916933253,1.4530788485757873,60,0.4316546762589928,,
230082,False,,,,2,1,137,0.4400794668862134,1.5528306122219844,80,0.583941605839416,,
230083,True,153.0,149.0,-4.0,2,1,102,0.30007436461855846,1.3499591930438535,56,0.5490196078431373,-0.31994007749991227,False
230084,False,,,,1,0,132,0.37399489691382504,1.4535297329504413,66,0.5,,
230085,False,,,,1,0,100,0.38582531920692575,1.4708277230203415,46,0.46,,
230086,True,166.0,167.0,1.0,1,0,61,0.30732976672951534,1.3597893074169547,9,0.14754098360655737,-0.41081655326819877,True
230087,False,,,,1,0,130,0.4008248303264389,1.4930557075109592,65,0.5,,
230088,False,,,,1,0,99,0.44156920104972297,1.555145640995735,36,0.36363636363636365,,
230089,False,,,,2,1,106,0.3576448991929111,1.4299577511612918,47,0.44339622641509435,,
230090,False,,,,1,0,130,0.48294235177654465,1.6208364639760855,68,0.5230769230769231,,
230091,False,,,,2,1,124,0.3418650429034866,1.40757032309125,77,0.6209677419354839,,
230092,False,,,,1,0,93,0.41768635547917227,1.5184443479576362,32,0.34408602150537637,,
