seed,attempts,rejected,det_len,panic_len,front_load,delta,D_V,delta_end,setup_len,mode,trunc,rv_calm,depth,duration,ep_peak_rel_event,rise,onset_lag_before_event,realised_det_len,decay_half_life,stress_spell
220000,1,0,13,42,0.3143974260160084,0.6857154889420255,0.12769320365154052,0.9640509336318088,93,v21,,0.0003733153965543534,,,,,,,,
220001,1,0,15,66,0.4453396236570559,0.8752288609047969,0.22639143823854216,0.9150869221439827,76,v21,,0.0003904318832825187,-0.47905393885082403,111.0,-4.0,35.0,-3.0,7.0,14.0,28.0
220002,1,0,8,80,0.35670747925796625,0.7929591661135523,0.26618619904352325,0.8468928742272189,81,v21,,0.0005669597337100714,-0.6003030338156328,79.0,-5.0,91.0,0.0,5.0,14.0,54.0
220003,1,0,4,29,0.47202326530937366,0.6491748722385245,0.18004259106518591,0.879014732532573,56,v21,,0.0002698665606559772,-0.5717751133885118,43.0,-11.0,20.0,0.0,11.0,35.0,47.0
220004,1,0,24,35,0.16394029490623485,0.6960424080138727,0.24189732816804987,0.8668234843826457,82,v21,,0.0004561273553194273,-0.6082027154224374,66.0,-10.0,51.0,-5.0,15.0,7.0,24.0
220005,1,0,19,28,0.2304955186342828,0.6139270745389968,0.21521841479207302,0.7958151333014639,81,v21,,0.00041851901516734336,,,,,,,,
220006,1,0,5,19,0.46644953499698955,0.6960259263443078,0.15633750909455843,0.850762830654124,107,v21,,0.00027697243108468667,-0.5797406766877264,90.0,-75.0,122.0,68.0,7.0,16.0,57.0
220007,1,0,20,16,0.13416176162996954,0.7341112578856499,0.27872843860318897,0.8406578756183392,58,v21,,0.0014146067806371843,,,,,,,,
220008,1,0,16,19,0.5100440024696882,0.6070861990102214,0.1174363740878009,0.7398307445254857,103,v21,,0.0009607809436219831,-0.5918436272933543,43.0,-12.0,42.0,7.0,5.0,14.0,22.0
220009,1,0,8,93,0.49909334564572966,0.693443064993479,0.13947890980543048,0.9036004185127933,84,v21,,0.0003732063823614619,-0.5881697330159577,118.0,-25.0,92.0,8.0,17.0,25.0,42.0
