ticker,top,start,runup,top_date,start_date,runup_len,post_drop,post_len,topped,horizon,drop_thr,rv_calm_clean,rv_calm_e33,rv_mania,rv_blow-off,rv_post-top
A,885,695,2.048848091698137,2003-07-15,2002-10-10,190,-0.07737296584188469,4.0,False,200.0,-0.4,0.0021753973848147676,0.0014721774502007574,0.0005802616561270195,0.0005474849543677265,0.0005411261902518552
A,1193,695,2.169585616029483,2004-10-04,2002-10-10,498,-0.13339016638471346,134.0,False,200.0,-0.4,0.0021753973848147676,0.0014721774502007574,0.000325804735242649,0.0005938212369523395,0.0005111620774061911
A,2443,2307,2.3159149787607087,2009-09-21,2009-03-09,136,-0.14126999747118507,29.0,False,200.0,-0.4,0.000758444876283276,0.0019626476835704395,0.0012123982857484637,0.0016196696644756314,0.00026881983026223386
A,2777,2307,3.56511076905602,2011-01-18,2009-03-09,470,-0.3370911926436121,179.0,False,200.0,-0.4,0.000758444876283276,0.0019626476835704395,0.0005837076879462993,0.0004273992889411309,0.0005463880577660801
A,4456,3958,2.0195964747439996,2017-09-19,2015-09-28,498,-0.06999131379700041,194.0,False,200.0,-0.4,0.0002732582103700732,0.0001991819325825398,8.131312133460438e-05,0.00018632967994132763,9.642370289482974e-05
A,5289,5086,2.038655393511588,2021-01-11,2020-03-23,203,-0.10269224654522557,36.0,False,200.0,-0.4,0.0004327864283822921,0.0006262801469390741,0.0002107857229583736,0.0003095032689699324,0.00023554729972706325
A,5562,5086,2.310231369392733,2022-02-09,2020-03-23,476,-0.21845083920600672,89.0,False,200.0,-0.4,0.0004327864283822921,0.0006262801469390741,6.713092647010203e-05,0.00011295198677813517,0.0005044982694344857
AAPL,1050,825,2.109754522145349,2004-03-10,2003-04-17,225,-0.08634455112513895,9.0,False,200.0,-0.4,0.0006486378524411717,0.0005084832738160096,0.00038127372294307244,0.0007433337141716936,0.0005306689854361096
AAPL,1309,825,6.661576970814802,2005-03-21,2003-04-17,484,-0.21899272158453353,37.0,False,200.0,-0.4,0.0006486378524411717,0.0005084832738160096,0.00036433493939043427,0.0012485071456689973,0.0008152084953823871
AAPL,1573,1086,5.526768363616209,2006-04-06,2004-04-30,487,-0.2887424923635461,68.0,False,200.0,-0.4,0.0006250193226092287,0.0005775730387313435,0.0007197682172818892,0.0005162411008292934,0.00047670323418190686
AAPL,1873,1379,3.439372895535264,2007-06-18,2005-06-29,494,-0.06427417332614094,42.0,False,200.0,-0.4,0.0005178850497558123,0.0007325218486931676,0.0002573967875671533,0.00023890259353594358,0.0008350738224158223
AAPL,2139,1641,3.5435163317997986,2008-07-08,2006-07-14,498,-0.5644666088926931,135.0,True,200.0,-0.4,0.0004416971914191342,0.0006665552542699465,0.0007045987869182779,0.0006285332998842601,0.0015686899636152836
AAPL,2466,2274,2.6240402079550282,2009-10-22,2009-01-20,192,-0.08138408787323803,6.0,False,200.0,-0.4,0.0006168078613828822,0.0020137966928727795,0.0004179655936436334,0.0002621439329750211,0.0002790030244449148
AAPL,2729,2274,4.074423778194895,2010-11-08,2009-01-20,455,-0.05687026743253043,7.0,False,200.0,-0.4,0.0006168078613828822,0.0020137966928727795,0.00020152653574595711,0.0001999560853648863,0.00014067763273992523
AAPL,2982,2497,2.1499341286939866,2011-11-08,2009-12-07,485,-0.105014677718125,12.0,False,200.0,-0.4,0.0003870227690204323,0.00025808248568829023,0.00017265545423296514,0.00020574700294059023,0.0002400865867831125
AAPL,3749,3343,2.2196629486047192,2014-11-26,2013-04-19,406,-0.12243723819418484,185.0,False,200.0,-0.4,0.00026465026280797835,0.0005571428703215589,0.00018964746662565444,0.00014014541554894022,0.0003247968596014687
AAPL,4519,4115,2.005240251038972,2017-12-18,2016-05-12,404,-0.12056465033386954,35.0,False,200.0,-0.4,0.00016103234659565723,0.0003066449991725831,8.440556157590972e-05,0.0002033850143992205,0.00022825411565660837
AAPL,5059,4780,2.3412647558432065,2020-02-12,2019-01-03,279,-0.31427261778556925,27.0,False,200.0,-0.4,0.0002686710673239319,0.0005260959424903087,0.0001322420578872291,0.000153015627950669,0.001993953720888981
AAPL,5333,4883,2.9476716898052295,2021-03-16,2019-06-03,450,-0.04515398082320787,10.0,False,200.0,-0.4,0.00023482227383105647,0.00041075207851950536,0.0005533574744466754,0.00036047523634166517,0.00020800846917327738
AAPL,5595,5093,3.0122307636050523,2022-03-29,2020-04-01,502,-0.2982478057251655,194.0,False,200.0,-0.4,0.0006238622578197288,0.0009830918218866462,0.00013831477012528866,0.00036091279972287865,0.0006720248721943609
AAPL,6285,5789,2.0936152228592837,2024-12-26,2023-01-05,496,-0.033201842064507825,3.0,False,200.0,-0.4,0.00017817443781350823,0.0005208786924506377,0.00021476789433412408,0.0004788830101364816,
ABT,520,44,2.015422196385337,2002-01-31,2000-03-07,476,-0.45664830366107645,119.0,True,200.0,-0.4,0.0005409813005694872,,,,
