scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,40000,0.03865703715190238,0.597275,0.382875,0.18585
bull_trap,calm,18228,0.037734459430021586,0.5845951283739302,0.3783190695633092,0.18625192012288785
bull_trap,mania,22399,0.07903095955267087,0.8014643510871021,0.6792267511942497,0.4942184918969597
bull_trap,blow-off,33048,0.3227785155271154,0.9967320261437909,0.9930101670297748,0.9841140159767611
sustained_bull,sustained-bull,40000,0.013800843219900032,0.170175,0.0397,0.0032
crash,calm,50364,0.03767384911630741,0.5836510205702485,0.374950361369232,0.18382177746009054
crash,deterioration,7902,0.0393982116890004,0.6060491014932928,0.3926853961022526,0.19324221716021261
crash,panic,35067,0.11591247965186678,0.8533093791884108,0.759089742492942,0.6308780334787693
crash,stabilisation,66667,0.08767920933744652,0.8107459462702686,0.6911815440922795,0.5342073289633552
bull_trap,post-top,6325,0.2491333187664293,0.9898814229249012,0.9838735177865613,0.9645849802371541
flat,ALL,40000,0.03865703715190238,0.597275,0.382875,0.18585
bull_trap,ALL,80000,0.157750483152336,0.8476125,0.764375,0.6636125
sustained_bull,ALL,40000,0.013800843219900032,0.170175,0.0397,0.0032
crash,ALL,160000,0.06548394303125225,0.73848125,0.59178125,0.4282625
