M,S,R,s_ma,rho,beta,n_datasets,e0_reject,e0_reject_lo,e0_reject_hi,e0_fit_fail,e1_reject,e1_reject_lo,e1_reject_hi,e1_fit_fail,e2_reject,e2_reject_lo,e2_reject_hi,e3_reject,e3_reject_lo,e3_reject_hi,e2_coverage,e1_nonconverged,e1_vc_model_median,e1_vc_model_at_boundary,e1_vc_model_arm_median,e1_vc_model_arm_at_boundary,e1_vc_path_median,e1_vc_path_at_boundary,planted_model_var,planted_slope_var,planted_resid_var,t_e1_median_s,e1_vc_path_arm_median,e1_vc_path_arm_at_boundary
3,5,1,0.0,0.0,0.0,300,0.07666666666666666,0.051627611786607464,0.1124101038501748,0,0.023333333333333334,0.011347660299125234,0.04737197226827532,0,0.016666666666666666,0.00713947735063333,0.0384153948330945,0.013333333333333334,0.005196961739358857,0.03377553025253262,0.9833333333333333,134,0.00139748431612105,0.0,1.8549930460688737e-05,0.023333333333333334,2.4687207119970862e-05,0.0,0.0025000000000000005,0.0,0.0009,0.18323016166687012,,
3,5,1,0.0,0.0,0.05,300,1.0,0.9873570287754538,0.9999999999999998,0,0.92,0.8837267595665261,0.9456531446048553,0,0.95,0.9191529665272558,0.9694683593706526,0.82,0.7725668011129554,0.859341697303335,0.98,129,0.0012659150039387,0.0,2.5792689914027674e-05,0.02,2.311328408126162e-05,0.0,0.0025000000000000005,0.0,0.0009,0.19688582420349116,,
3,5,1,0.03,0.0,0.0,300,0.36,0.30776933517318583,0.4157706967696869,0,0.07666666666666666,0.051627611786607464,0.1124101038501748,0,0.06333333333333334,0.040916882383915276,0.09679131248552161,0.07666666666666666,0.051627611786607464,0.1124101038501748,0.9366666666666666,74,0.0013760138338219999,0.006666666666666667,0.00041268627689919997,0.0033333333333333335,8.850378679783158e-06,0.01,0.0025000000000000005,0.0009,0.0009,0.17442142963409418,,
3,5,1,0.03,0.0,0.05,300,0.96,0.9313957879613599,0.9769726785120576,0,0.6266666666666667,0.5706551328853308,0.6794753144044509,0,0.69,0.6355391960366674,0.739656474898005,0.6533333333333333,0.5978480299293977,0.7049414588950748,0.91,77,0.00136757593638365,0.013333333333333334,0.00042474414710105,0.006666666666666667,1.0570341651698498e-05,0.0033333333333333335,0.0025000000000000005,0.0009,0.0009,0.17343163490295405,,
3,5,1,0.03,0.5,0.0,300,0.38333333333333336,0.330119832453064,0.43949686083266337,0,0.1,0.07094791459501532,0.1391664623846215,0,0.08666666666666667,0.05982889751804311,0.12395595869424827,0.07333333333333333,0.04892399383922859,0.10853134160571733,0.9133333333333333,79,0.0016554818782805502,0.0,0.0003676991874666,0.006666666666666667,1.0298812391579747e-05,0.0,0.0025000000000000005,0.0009,0.0009,0.1881513595581054,,
3,5,1,0.03,0.5,0.05,300,0.9766666666666667,0.9526280277317246,0.9886523397008747,0,0.6233333333333333,0.5672684321681708,0.6762796349297745,0,0.6833333333333333,0.628659261236736,0.7333716493142638,0.62,0.5638844388564824,0.6730812480496265,0.8766666666666667,97,0.0018571124293779,0.0,0.00035266704367375003,0.01,7.268064524045633e-06,0.006666666666666667,0.0025000000000000005,0.0009,0.0009,0.1892628669738769,,
3,10,1,0.0,0.0,0.0,300,0.04666666666666667,0.027998933682334012,0.07679736022792105,0,0.016666666666666666,0.00713947735063333,0.0384153948330945,0,0.0,8.673617379884035e-19,0.012642971224546034,0.006666666666666667,0.0018301483579117855,0.023977583250306973,1.0,101,0.0011912664282896501,0.0,2.3241881646613378e-05,0.02666666666666667,1.2049419581880695e-05,0.0,0.0025000000000000005,0.0,0.0009,0.32235419750213623,,
3,10,1,0.0,0.0,0.05,300,1.0,0.9873570287754538,0.9999999999999998,0,0.97,0.9439774608583589,0.9841381461905676,0,1.0,0.9873570287754538,0.9999999999999998,0.9933333333333333,0.9760224167496929,0.998169851642088,0.9933333333333333,88,0.00127430645721485,0.0,2.037078109090621e-05,0.03333333333333333,1.2998268623224531e-05,0.006666666666666667,0.0025000000000000005,0.0,0.0009,0.3311694860458374,,
3,10,1,0.03,0.0,0.0,300,0.5233333333333333,0.466878323217167,0.5791983381256874,0,0.09333333333333334,0.06536421957889091,0.1315853970170732,0,0.10666666666666667,0.07657584904594214,0.14670328831736743,0.17666666666666667,0.13767670929949632,0.22383241209237675,0.8933333333333333,67,0.00131511981521095,0.0033333333333333335,0.0004454054259231,0.0033333333333333335,5.901882908564212e-06,0.01,0.0025000000000000005,0.0009,0.0009,0.25552046298980713,,
3,10,1,0.03,0.0,0.05,300,0.9866666666666667,0.9662244697474675,0.9948030382606411,0,0.7333333333333333,0.680572605868549,0.7801940075599961,0,0.7966666666666666,0.7475056887150938,0.8383261483583421,0.8666666666666667,0.8235282379361116,0.9005335831658879,0.8733333333333333,57,0.0014585028367767499,0.0033333333333333335,0.0004521215019521,0.0,5.88297069272744e-06,0.006666666666666667,0.0025000000000000005,0.0009,0.0009,0.27012455463409424,,
