phi 0.9 n_runs 3: N0 0.087, N1 0.106, N2 0.111, N3 0.000 (31s)
phi 0.9 n_runs 36: N0 0.062, N1 0.101, N2 0.109, N3 0.044 (343s)
phi 0.97 n_runs 3: N0 0.166, N1 0.233, N2 0.243, N3 0.000 (39s)
phi 0.97 n_runs 36: N0 0.135, N1 0.225, N2 0.229, N3 0.045 (347s)
phi 0.99 n_runs 3: N0 0.269, N1 0.365, N2 0.384, N3 0.000 (37s)
phi 0.99 n_runs 36: N0 0.237, N1 0.336, N2 0.365, N3 0.056 (558s)
phi 0.9214 n_runs 3: N0 0.088, N1 0.105, N2 0.124, N3 0.000 (124s)
phi 0.9214 n_runs 36: N0 0.071, N1 0.119, N2 0.120, N3 0.043 (1022s)
  phi  phi_is_pilot  n_runs null  size  size_lo  size_hi  size_holds  reps
0.900         False       3   N0 0.087    0.071    0.106       False  1000
0.900         False       3   N1 0.106    0.088    0.127       False  1000
0.900         False       3   N2 0.111    0.093    0.132       False  1000
0.900         False       3   N3 0.000    0.000    0.004        True  1000
0.900         False      36   N0 0.062    0.049    0.079        True  1000
0.900         False      36   N1 0.101    0.084    0.121       False  1000
0.900         False      36   N2 0.109    0.091    0.130       False  1000
0.900         False      36   N3 0.044    0.033    0.059        True  1000
0.970         False       3   N0 0.166    0.144    0.190       False  1000
0.970         False       3   N1 0.233    0.208    0.260       False  1000
0.970         False       3   N2 0.243    0.217    0.271       False  1000
0.970         False       3   N3 0.000    0.000    0.004        True  1000
0.970         False      36   N0 0.135    0.115    0.158       False  1000
0.970         False      36   N1 0.225    0.200    0.252       False  1000
0.970         False      36   N2 0.229    0.204    0.256       False  1000
0.970         False      36   N3 0.045    0.034    0.060        True  1000
0.990         False       3   N0 0.269    0.242    0.297       False  1000
0.990         False       3   N1 0.365    0.336    0.395       False  1000
0.990         False       3   N2 0.384    0.354    0.415       False  1000
0.990         False       3   N3 0.000    0.000    0.004        True  1000
0.990         False      36   N0 0.237    0.212    0.264       False  1000
0.990         False      36   N1 0.336    0.307    0.366       False  1000
0.990         False      36   N2 0.365    0.336    0.395       False  1000
0.990         False      36   N3 0.056    0.043    0.072        True  1000
0.921          True       3   N0 0.088    0.072    0.107       False  1000
0.921          True       3   N1 0.105    0.087    0.126       False  1000
0.921          True       3   N2 0.124    0.105    0.146       False  1000
0.921          True       3   N3 0.000    0.000    0.004        True  1000
0.921          True      36   N0 0.071    0.057    0.089       False  1000
0.921          True      36   N1 0.119    0.100    0.141       False  1000
0.921          True      36   N2 0.120    0.101    0.142       False  1000
0.921          True      36   N3 0.043    0.032    0.057        True  1000
[stage null] 2502s
