item,property,statistic,criterion,pass,n_seeds
1,No linear autocorrelation of returns in calm phases (Cont 1),LB Q(10) p>0.05 in 92%; median |ACF(1)| = 0.081,>= 80% of seeds p>0.05; |ACF(1)| < 0.15,True,50
2,"Heavy tails (Cont 2, 7)",excess kurtosis > 1.5 in 78% (median 3.12); JB rejects in 93%; Hill median 3.35,kurtosis > 1.5 in >= 80%; JB rejects; Hill 2.5-5,False,245
3,Volatility clustering (Cont 6),LB|r| p<0.01 in 63%; LB r^2 in 51%; ARCH-LM(5) rejects in 44%; median ACF|r|(1) = 0.163,p < 0.01 in >= 80%; ACF|r|(1) 0.1-0.4,False,245
4,Decay of ACF|r| (Cont 8),"median ACF|r| at lags 1: 0.215, 5: 0.182, 10: 0.158, 20: 0.084, 50: 0.018",descriptive (T = 800 paths); not a pass criterion,,20
5,GARCH persistence recoverable,median alpha+beta = 0.968,"median alpha + beta in [0.90, 0.995]",True,245
6,Leverage effect (Cont 9),"corr(r_t,|r_t+1|) < 0 in 65% (median -0.043); GJR gamma median 0.029",negative in >= 70%; gamma > 0,False,245
7,Volume-volatility (Cont 10),"median Spearman corr(volume,|r|) = 0.354; median AC(1) log volume = 0.818; Shapiro p > 0.01 in 49% of seeds (median p = 0.008)",corr 0.2-0.5; AC(1) 0.5-0.8; log-normality not rejected (p > 0.01 in >= 50% of seeds),False,245
8,Gain/loss asymmetry in crash (Cont 3),median skew = -0.342; worst day larger than best in 67%,skew < 0; worst > best in >= 70% of crash seeds,False,75
9,Mispricing persistence (FW regime),"200-day calm windows: median ACF(1) of x = 0.9507, half-life = 14 d, sd(x) = 0.058; T=800 phase-free: ACF(1) = 0.9928, half-life = 96 d, sd(x) = 0.141 (criterion applied here)",ACF(1) >= 0.98; half-life >= 60 d; sd 0.08-0.20,True,20
10,Delta matters,"event-window MDD: partial R2 of delta (controlling D_V) = 0.19, spread between delta 0.55 and 0.85 = 15.2 pp, means 0.55: -50.9%, 0.7: -41.8%, 0.85: -35.6%; whole-path MDD (reported): partial R2 0.20, spread 14.2 pp, means 0.55: -55.7%, 0.7: -47.1%, 0.85: -41.5%","partial R2 > 0.7; spread >= 20 pp between delta 0.55 and 0.85 (event-window MDD, amendment A7)",False,75
11,Bubble shape and populations,mean 2nd difference of log P over mania > 0 in 88% (median 1.96e-04); topped share = 60%; median peak P/V in topped seeds = 2.29,convex; 40-60% topped; peak P/V 1.6-2.5 in topped seeds,True,25
12,Sentiment dynamics,"median ACF(1) = 0.873; median corr(s_t, r_t) = 0.363; median calm corr(s_t-1, r_t) = -0.002 (configured b_pred = 0.0008)",ACF(1) 0.7-0.9; corr 0.25-0.55; lagged corr equals configured b_pred within CI,True,245
13,IV realism,"mean IV calm 29.0%, panic 62.1%; median corr(IV, next-20d RV) = 0.40; IV-RV calm +6.6 pts, panic +21.4 pts; sd of calm IV across seeds 12.13","calm 25-35%, panic 60-100%; corr 0.4-0.8; IV-RV +3..+8 calm, +10..+25 panic; non-degenerate across seeds",False,245
14,Value leak,see evaluation.leakage_audit (L1-L3),calm R2 <= 0.30; event R2 < 0.90 & MAPE >= 10%; no inversion,,0
15,Phase/time separability,"macro-phase accuracy from day alone = 68.6% (mixed set, 245 paths; within-scenario mean 70.3%); |corr(day, phase id)| = 0.14",< 80% on the mixed set; < 0.9,True,245
16,Composite phase clock,see evaluation.leakage_audit (L2b),selectivity <= 10 pp,,0
17,Conditioning,flat: rejection rate 0.0%; bull_trap: rejection rate 10.7%; crash: rejection rate 1.3%; sustained_bull: rejection rate 19.4%; mixed: rejection rate 1.3%; flat_T800: rejection rate 0.0%; bull-trap topped share 60%,rejection < 5% per scenario; joint conditioning published,False,245
18,Start design applied,unit test (tests/),C_0 as configured,,0
19,Action-space reachability,unit test (tests/),any allocation reachable; SELL feasible at t=1,,0
20,Magnitudes,median crash MDD = -47.0%; median calm daily sigma (flat) = 1.50%; median worst panic day = -7.6%,crash MDD -20..-65%; calm sigma 1.4-2.2%/day; worst day -6..-15% in panic,True,100
