feature_set,model,target,phase_group,n,R2,sign_acc_resolvable,n_resolvable,R2_shuffledV,MAPE_V,R2_price_only,selectivity_R2
full,ridge,x,calm,7200,-2.7087582960847563,,0.0,-0.08254950107515557,,-238.81180635175426,236.1030480556695
full,ridge,x,event,14400,0.9925399038486755,1.0,12478.0,0.01650684615969611,,0.9262763947543349,0.06626350909434064
full,ridge,x,resolution,5400,0.8906557066156718,1.0,4350.0,-0.016530900713030316,,-1.8285822467343587,2.7192379533500306
full,ridge,x,all,27000,0.991163162959975,1.0,16828.0,0.04564107476965651,,0.8547175322528011,0.13644563070717386
full,ridge,logV,calm,7200,0.9298123870088957,,,-0.09497861635344784,0.02956745783998701,0.3722206645333005,0.5575917224755952
full,ridge,logV,event,14400,0.9511151032581575,,,0.07354578868962847,0.031354015202899106,0.4249590319828578,0.5261560712752997
full,ridge,logV,resolution,5400,0.74330045590118,,,-0.07191212609797337,0.06240621010660935,-0.9655980550667798,1.7088985109679597
full,ridge,logV,all,27000,0.9632293055677432,,,0.03886774994628861,0.03708803888686459,0.6566624321130801,0.30656687345466316
full,gbt,x,calm,7200,0.9026081064040335,,0.0,-0.2901701175099227,,-40.64684259072463,41.54945069712866
full,gbt,x,event,14400,0.9995599030556189,1.0,12478.0,-0.031202482190085368,,0.9812379424156256,0.018321960639993362
full,gbt,x,resolution,5400,0.9974613357920691,1.0,4350.0,-0.2605260151329021,,0.08186875234853896,0.9155925834435301
full,gbt,x,all,27000,0.9995478867089131,1.0,16828.0,-0.11583101211761715,,0.9641546610234213,0.03539322568549186
full,gbt,logV,calm,7200,0.9963830664343434,,,-0.018982365957766145,0.004949331505938661,0.9175602029535486,0.07882286348079481
full,gbt,logV,event,14400,0.9968506778845595,,,-0.03942862084993304,0.006518248530436949,0.957924627110359,0.03892605077420053
full,gbt,logV,resolution,5400,0.9958704535478422,,,-0.4021147012364723,0.00599409552785462,0.8949343587700541,0.10093609477778809
full,gbt,logV,all,27000,0.9985421913153342,,,-0.10917790719403508,0.00599504005672094,0.9738849429432781,0.024657248372056073
full,mlp,x,calm,7200,-0.5817995567198582,,0.0,-0.2752981490163604,,-63.633337837706776,63.05153828098692
full,mlp,x,event,14400,0.9995848585634106,1.0,12478.0,-0.04378086532397285,,0.9773369852905547,0.022247873272855934
full,mlp,x,resolution,5400,0.9887115041455572,1.0,4350.0,-0.1340298232567878,,0.17591563605825955,0.8127958680872976
full,mlp,x,all,27000,0.9991958378903044,1.0,16828.0,-0.05853081506536384,,0.9575365568718496,0.04165928101845484
full,mlp,logV,calm,7200,0.9891883096778482,,,-0.02218976676185913,0.012097372914631192,0.8979528876104641,0.09123542206738411
full,mlp,logV,event,14400,0.9902321535131686,,,-0.10314598961871857,0.010728672626603972,0.9319692772248502,0.05826287628831839
full,mlp,logV,resolution,5400,0.9876482367887545,,,-0.15885184149871434,0.01313045785412384,0.8891356600178417,0.09851257677091274
full,mlp,logV,all,27000,0.9955484368175577,,,-0.05389294105354736,0.011574016415581872,0.964738361603092,0.03081007521446566
price_only,ridge,x,calm,7200,-238.81180635175426,,0.0,,,-238.81180635175426,
price_only,ridge,x,event,14400,0.9262763947543349,0.9967943580702036,12478.0,,,0.9262763947543349,
price_only,ridge,x,resolution,5400,-1.8285822467343587,1.0,4350.0,,,-1.8285822467343587,
price_only,ridge,x,all,27000,0.8547175322528011,0.9976230092702638,16828.0,,,0.8547175322528011,
price_only,ridge,logV,calm,7200,0.3722206645333005,,,,0.1002319836179987,0.3722206645333005,
price_only,ridge,logV,event,14400,0.4249590319828578,,,,0.11610943764695318,0.4249590319828578,
price_only,ridge,logV,resolution,5400,-0.9655980550667798,,,,0.2175903811290802,-0.9655980550667798,
price_only,ridge,logV,all,27000,0.6566624321130801,,,,0.13217163860232406,0.6566624321130801,
price_only,gbt,x,calm,7200,-40.64684259072463,,0.0,,,-40.64684259072463,
price_only,gbt,x,event,14400,0.9812379424156256,1.0,12478.0,,,0.9812379424156256,
price_only,gbt,x,resolution,5400,0.08186875234853896,1.0,4350.0,,,0.08186875234853896,
price_only,gbt,x,all,27000,0.9641546610234213,1.0,16828.0,,,0.9641546610234213,
price_only,gbt,logV,calm,7200,0.9175602029535486,,,,0.017892565584095976,0.9175602029535486,
price_only,gbt,logV,event,14400,0.957924627110359,,,,0.027681674228976785,0.957924627110359,
price_only,gbt,logV,resolution,5400,0.8949343587700541,,,,0.0440062157378584,0.8949343587700541,
price_only,gbt,logV,all,27000,0.9738849429432781,,,,0.02833615355878489,0.9738849429432781,
price_only,mlp,x,calm,7200,-63.633337837706776,,0.0,,,-63.633337837706776,
price_only,mlp,x,event,14400,0.9773369852905547,0.9995992947587754,12478.0,,,0.9773369852905547,
price_only,mlp,x,resolution,5400,0.17591563605825955,1.0,4350.0,,,0.17591563605825955,
price_only,mlp,x,all,27000,0.9575365568718496,0.999702876158783,16828.0,,,0.9575365568718496,
price_only,mlp,logV,calm,7200,0.8979528876104641,,,,0.03127252281491083,0.8979528876104641,
price_only,mlp,logV,event,14400,0.9319692772248502,,,,0.035464337410388416,0.9319692772248502,
price_only,mlp,logV,resolution,5400,0.8891356600178417,,,,0.045296991248829604,0.8891356600178417,
price_only,mlp,logV,all,27000,0.964738361603092,,,,0.03631305095261596,0.964738361603092,
