Model,Persona,Arm,Scenario,point_mas_v1,point_mas_v2,band_mas,relative_mas,rg_v1,rg_theta_0.05,coverage_0.05,mcr_0.05,norm_mcr_0.05,norm_band_mas,return_pct,mdd_pct,trade_count,turnover,zero_trade,fallback_share,beats_mcr_0.05,beats_band_mas,n_runs,n_baselines
gemini-2.5-flash,ENTJ,memory,bull_trap,0.29,0.22,0.12,0.22,99.0,98.91304347826086,0.92,0.21630434782608698,0.8497337554980533,0.85,206.0497784396669,-20.49945593254766,6.0,16.005384067683927,0.0,0.0,4.0,4.0,1,10
gemini-2.5-flash,ENTJ,memory,crash,0.42175257540420696,0.40074657436703887,0.30124817972601775,0.40074657436703887,62.0,62.0,1.0,0.38074378404782855,0.6878423855108445,0.6234397753424779,40.527339281032184,-14.391536775828662,19.0,14.89025422731425,0.0,0.0,3.0,4.0,1,10
gemini-2.5-flash,ENTJ,memory,flat,0.2941479124656375,0.22714791246563754,0.13012448805266366,0.22714791246563754,83.5,81.66666666666666,0.95,0.18423629182953072,0.904449384691299,0.8373443899341705,37.50268127107851,-8.626836741862126,6.5,6.30352661857768,0.0,0.0,4.5,3.5,2,10
gemini-2.5-flash,ENTJ,placebo_directive,bull_trap,0.2892239334067164,0.25021614486439925,0.16325150055395507,0.25021614486439925,83.5,84.23913043478261,0.92,0.22506877384748758,0.8385382745390442,0.7959356243075562,218.49742346478277,-6.797934875084833,75.0,28.709382088855975,0.0,0.0,4.0,4.0,1,10
gemini-2.5-flash,ENTJ,placebo_directive,crash,0.3226206559066486,0.2946161348730047,0.20738505752622946,0.2946161348730047,67.5,67.5,1.0,0.2921494591458104,0.7862490388693851,0.7407686780922131,28.42879841799746,-25.85487845992538,75.0,13.336175643351826,0.0,0.0,4.0,4.0,1,10
gemini-2.5-flash,ENTJ,placebo_directive,flat,0.31780220828384353,0.28229822363294654,0.19000473969041934,0.28229822363294654,75.5,72.77777777777777,0.9,0.2913414123299946,0.7857003408643959,0.7624940753869759,48.50166157480045,-21.514600166790455,63.0,18.47771791285521,0.0,0.0,4.0,4.0,1,10
gemini-2.5-flash,ENTJ,stateful_memory,flat,0.371,0.32800000000000007,0.22799999999999998,0.32800000000000007,71.5,68.33333333333333,0.9,0.31666666666666665,0.7576218538312768,0.7150000000000001,47.698414920690404,-20.834759464585375,9.0,12.165237371983311,0.0,0.0,3.0,3.0,1,10
gemini-2.5-flash,ENTJ,static,bull_trap,0.29152308833976875,0.2630642908692967,0.1787892040575921,0.34497620627302616,79.5,80.43478260869566,0.92,0.23762290896482818,0.8224892218219286,0.7765134949280099,210.37806631536483,-9.512243349240373,93.5,38.654154730842436,0.0,0.0,4.0,4.0,2,10
gemini-2.5-flash,ENTJ,static,crash,0.33636387770569115,0.31132475086211875,0.2228171086324266,0.3755912439715262,64.75,64.75,1.0,0.30927033955916194,0.7672223940285532,0.7214786142094669,23.633924871759547,-26.52185855904455,79.0,15.261872631281726,0.0,0.0,4.5,4.5,2,10
gemini-2.5-flash,ENTJ,static,flat,0.276220834181205,0.2221057390555642,0.13041153682878587,0.2719461056028069,78.94444444444444,76.85185185185185,0.9333333333333332,0.20447195568823584,0.8820067117997404,0.8369855789640178,39.96541446444807,-14.098664961182862,45.0,12.479954098732513,0.0,0.0,5.0,4.333333333333333,3,10
