Model,Persona,Arm,Scenario,Seed,Crash_Discount,Ordering,Decode_Replicate,Track,Start_Design,Start_Cash_Share,Action_Interface,Cost_bp,Cost_Visible,Topped,Env_Attempts,point_mas_v1,point_mas_v2,band_mas,relative_mas,mean_cash_share,rg_v1,rg_theta_0.03,coverage_0.03,rg_action_0.03,mcr_0.03,rg_theta_0.05,coverage_0.05,rg_action_0.05,mcr_0.05,rg_theta_0.08,coverage_0.08,rg_action_0.08,mcr_0.08,return_pct,mdd_pct,trade_count,turnover,cost_paid,zero_trade,fallback_share,n_rows,norm_rg_v1,degenerate_rg_v1,beats_rg_v1,floor_rg_v1,ceiling_rg_v1,norm_rg_theta_0.05,degenerate_rg_theta_0.05,beats_rg_theta_0.05,floor_rg_theta_0.05,ceiling_rg_theta_0.05,norm_rg_action_0.05,degenerate_rg_action_0.05,beats_rg_action_0.05,floor_rg_action_0.05,ceiling_rg_action_0.05,norm_return_pct,degenerate_return_pct,beats_return_pct,floor_return_pct,ceiling_return_pct,norm_mdd_pct,degenerate_mdd_pct,beats_mdd_pct,floor_mdd_pct,ceiling_mdd_pct,norm_point_mas_v1,degenerate_point_mas_v1,beats_point_mas_v1,floor_point_mas_v1,ceiling_point_mas_v1,norm_point_mas_v2,degenerate_point_mas_v2,beats_point_mas_v2,floor_point_mas_v2,ceiling_point_mas_v2,norm_band_mas,degenerate_band_mas,beats_band_mas,floor_band_mas,ceiling_band_mas,norm_relative_mas,degenerate_relative_mas,beats_relative_mas,floor_relative_mas,ceiling_relative_mas,norm_mcr_0.05,degenerate_mcr_0.05,beats_mcr_0.05,floor_mcr_0.05,ceiling_mcr_0.05
gemini-2.5-flash,ENTJ,static,bull_trap,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,True,1,0.2983644941820651,0.26955586621818617,0.18599018308243406,0.43337969702564494,0.273615871982803,80.5,81.05263157894737,0.95,55.55555555555556,0.24137685026625808,81.52173913043478,0.92,55.84415584415584,0.24582506183644617,81.25,0.88,55.4054054054054,0.2535911938398801,206.7700702011602,-8.709081037603239,89,35.34099211388438,176.70496056942187,False,0.0,200,4.875,True,3,100.0,96.0,4.250000000000005,True,3,100.0,95.65217391304348,1.103896103896104,True,4,100.0,60.0,-12.814772686814145,True,10,119.32741197233581,112.50382950498552,-1.4533184704074207,True,8,-26.59468402968229,-38.90141745134247,0.7197392174351162,False,4,0.8,0.10303157912448078,0.70405807277276,False,4,0.9000000000000002,0.004556629399952218,0.7675122711469574,False,4,0.8,0.0,0.6870309155583467,False,6,0.5,0.4030315791244808,0.8119992934840896,False,4,0.8815217391304347,0.09864337655653366
gemini-2.5-flash,INTJ,static,bull_trap,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,True,1,0.4630081508453928,0.4630081508453928,0.36525637236717756,0.4630081508453928,0.3494541971351508,93.0,92.63157894736842,0.95,63.1578947368421,0.40685091747752405,92.3913043478261,0.92,63.1578947368421,0.40490040391700866,92.04545454545455,0.88,63.1578947368421,0.4028504222768726,194.77349605826717,-4.853110599078347,38,21.441625570311313,107.20812785155655,False,0.0,200,0.7,True,5,100.0,90.0,0.7368421052631576,True,5,100.0,89.67391304347827,0.736842105263158,True,5,100.0,50.0,-1.196045589206613,True,10,119.32741197233581,56.24780633959576,4.331307605173769,False,8,-26.59468402968229,-21.57505129691736,0.07456314447615954,False,6,0.5,0.0038856070986279445,0.07456314447615954,False,6,0.5,0.0038856070986279445,0.08685906908205615,False,6,0.4,0.0,0.07456314447615954,False,6,0.5,0.0038856070986279445,0.2716389788417733,False,5,0.518478260869565,0.10035764564403714
gemini-2.5-flash,ISFJ,static,bull_trap,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,True,1,0.21046447426219458,0.22042283665976015,0.13453956869681813,0.3670264652878742,0.7895355257378054,89.5,90.0,0.95,47.22222222222222,0.153738655166669,89.67391304347827,0.92,45.714285714285715,0.15615045066200492,89.77272727272727,0.88,45.45454545454545,0.1591456677952835,33.06793269106092,-4.323594495676463,38,2.2048886421632536,11.024443210816269,False,0.0,200,1.6153846153846154,True,3,100.0,93.5,1.583333333333333,True,3,100.0,93.47826086956522,0.8595238095238095,True,4,100.0,36.84210526315789,0.8950017076302168,True,4,119.32741197233581,22.948289400969422,1.0668373792214487,False,9,-26.59468402968229,-5.718878618497025,0.9895965556758343,False,6,1.0,0.20216423429384242,0.7281562450616558,False,7,0.8,0.004048351887492408,0.8078006161474026,False,7,0.7,0.0,0.6577500475126126,False,6,0.5,0.29783576570615755,0.921188235055284,False,8,0.8184782608695653,0.09948535040560183
gemini-2.5-flash,ENTJ,static,crash,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,,1,0.34008040065639655,0.315559888104487,0.22674169438179065,0.4440928743233019,0.31340298810718464,64.5,64.5,1.0,60.0,0.31340298810718464,64.5,1.0,60.0,0.31340298810718464,64.5,1.0,60.0,0.31340298810718464,24.883626598692743,-25.824250516329485,75,15.186706406838104,75.9335320341905,False,0.0,200,,True,3,100.0,100.0,,True,3,100.0,100.0,,True,4,100.0,100.0,,True,4,34.584371868689765,34.584371868689765,0.6838986380636253,True,5,-17.646006943787274,-29.604275490275246,0.6573195250571134,False,4,0.8,0.10031045509618512,0.6524833007723945,False,5,0.9000000000000002,0.0042834181293735455,0.7165728820227618,False,5,0.8,0.0,0.5608123272168597,False,7,0.5,0.40031045509618507,0.7626225020562072,False,5,1.0,0.09968954490381492
gemini-2.5-flash,INTJ,static,crash,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,,1,0.4862990972802401,0.4862990972802401,0.3872979740667721,0.4862990972802401,0.01770045251716877,98.5,98.5,1.0,76.92307692307693,0.3892968508533042,98.5,1.0,76.92307692307693,0.3892968508533042,98.5,1.0,76.92307692307693,0.3892968508533042,32.73298151954273,-28.484277343123377,13,4.41948565777882,22.097428288894097,False,0.0,200,0.23076923076923078,True,6,100.0,93.5,0.23076923076923078,True,6,100.0,93.5,0.39053254437869805,True,6,100.0,40.909090909090914,0.13217881427648123,True,6,34.584371868689765,20.57766164601793,10.062202418057081,True,3,-17.646006943787274,-18.723133993019193,0.027606393010775315,False,6,0.5,0.0037054382869885737,0.027606393010775315,False,6,0.5,0.0037054382869885737,0.03175506483306986,False,6,0.4,0.0,0.027606393010775315,False,6,0.5,0.0037054382869885737,0.42035939642087133,False,6,0.5999999999999999,0.09875475381134105
gemini-2.5-flash,ISFJ,static,crash,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,,1,0.31823652656029155,0.2694136361982492,0.17557133324945348,0.2972065487603701,0.6817634734397086,48.0,48.0,1.0,48.529411764705884,0.2618951187983945,48.0,1.0,48.529411764705884,0.2618951187983945,48.0,1.0,48.529411764705884,0.2618951187983945,29.01612124854447,-4.627918357454397,68,4.249251441122957,21.24625720561478,False,0.0,200,9.454545454545455,True,2,100.0,94.5,9.454545454545455,True,2,100.0,94.5,0.7954545454545454,True,4,100.0,35.294117647058826,0.22856218322709984,True,6,34.584371868689765,10.222289998773991,1.6436704077128195,False,9,-17.646006943787274,-9.725873731407031,0.852004104765704,False,7,1.0,0.19981198491151717,0.6660627000079672,False,7,0.8,0.0033987734256788484,0.7491838096436378,False,7,0.7,0.0,1.0149213588435801,False,8,0.5,0.30018801508848286,0.7304036801902745,False,7,0.7,0.1001880150884829
gemini-2.5-flash,ENTJ,static,flat,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,,1,0.32702496789236624,0.2965220354332673,0.20198909090019934,0.4460431350749954,0.27695321390803235,70.5,68.61702127659575,0.94,51.61290322580645,0.2956949084128004,67.22222222222223,0.9,51.61290322580645,0.3077257932311471,69.73684210526315,0.76,51.724137931034484,0.27724265933644077,54.35507883123132,-17.431185775546187,62,20.694320517543687,103.47160258771842,False,0.0,200,,True,3,100.0,100.0,,True,3,100.0,100.0,,True,5,100.0,100.0,,True,5,56.779967601349604,56.779967601349604,0.5237646110876144,True,5,-11.926115291804829,-22.43669650940542,0.6778066501253004,False,4,0.8,0.10219771077755155,0.6731905840487212,False,5,0.9000000000000002,0.0035555474687730924,0.7475136363747509,False,5,0.8,0.0,0.5516932717421503,False,7,0.5,0.40219771077755156,0.7675134614085602,False,5,1.0,0.09802988276143895
gemini-2.5-flash,INTJ,static,flat,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,,1,0.47681343298170914,0.47681343298170914,0.37856169245073795,0.47681343298170914,0.026186056796497943,96.5,96.27659574468085,0.94,68.18181818181817,0.38277609643627947,96.11111111111111,0.9,68.18181818181817,0.3808994785001141,95.39473684210526,0.76,68.18181818181817,0.3777653631994089,56.5952501432609,-22.30092503029827,22,4.052034661364023,20.260173306820118,False,0.0,200,0.5833333333333334,True,6,100.0,94.0,0.6999999999999992,True,6,100.0,94.44444444444444,0.44545454545454555,True,6,100.0,28.57142857142857,0.007410821675428532,True,6,56.779967601349604,31.854599514142954,5.05882364075204,True,3,-11.926115291804829,-13.976949729858323,0.04674658573872094,False,6,0.5,0.0039944275740964146,0.04674658573872094,False,6,0.5,0.0039944275740964146,0.053595768873155175,False,6,0.4,0.0,0.04674658573872094,False,6,0.5,0.0039944275740964146,0.4380166993411686,False,6,0.5999999999999999,0.09978957005648371
gemini-2.5-flash,ISFJ,static,flat,42,0.7,setup_first,0,B,common,0.5,target,5.0,False,,1,0.3208713237472191,0.2535081688757243,0.15877573682123233,0.27934688859904555,0.679128676252781,63.5,63.297872340425535,0.94,53.96825396825397,0.23656123079373215,62.77777777777778,0.9,52.63157894736842,0.22907314157173037,66.44736842105263,0.76,51.06382978723404,0.2258702777245233,30.04857621566217,-8.037061753363762,70,5.133238299392239,25.666191496961194,False,0.0,200,7.3,True,2,100.0,95.0,7.444444444444445,True,2,100.0,95.0,0.5789473684210527,True,6,100.0,18.181818181818183,0.6422718268930655,True,6,56.779967601349604,15.159908513598186,0.8162399128617446,False,6,-11.926115291804829,-7.161519151429863,0.8499141300092102,False,6,1.0,0.20094436334948174,0.686024676425039,False,7,0.8,0.003393332770311647,0.7731775188268109,False,7,0.7,0.0,1.0980806215359986,False,8,0.5,0.29905563665051826,0.7840405875508335,False,8,0.7000000000000002,0.09935908178001436
gemini-2.5-flash,ENTJ,memory,bull_trap,42,0.7,setup_first,0,B,target,0.1,target,5.0,False,True,1,0.29,0.22,0.12,0.22,0.15,99.0,98.94736842105263,0.95,66.66666666666666,0.21157894736842092,98.91304347826086,0.92,66.66666666666666,0.21630434782608698,98.86363636363636,0.88,66.66666666666666,0.22386363636363632,206.0497784396669,-20.49945593254766,6,16.005384067683927,80.02692033841964,False,0.0,200,0.25,True,5,100.0,96.0,0.25000000000000244,True,5,100.0,95.65217391304348,0.8333333333333336,True,5,100.0,60.0,-12.700242704715881,True,10,119.37128842384314,112.54634089873497,-0.49527586958265196,True,8,-26.59468402968229,-38.90141745134247,0.7317168503611826,False,4,0.8,0.10300908097406947,0.7593812609585612,False,4,0.9000000000000002,0.004534131983134257,0.85,False,4,0.8,0.0,0.7593812609585612,False,4,0.9000000000000002,0.004534131983134257,0.8497337554980533,False,4,0.8815217391304347,0.09866783106785014
