model,persona,agent_type,scenario,n_runs,seed,discount,path_variant,n_rows,n_fallback,fallback_frac,mean_cash_share,point_mas_v1,point_mas_v2,band_mas_v2,rel_mas,rg_v1,rg_v1_n,coverage_0.03,rg_0.03,rg_0.03_n,rg_action_0.03,rg_action_0.03_n,coverage_action_0.03,coverage_0.05,rg_0.05,rg_0.05_n,rg_action_0.05,rg_action_0.05_n,coverage_action_0.05,coverage_0.08,rg_0.08,rg_0.08_n,rg_action_0.08,rg_action_0.08_n,coverage_action_0.08,final_value,return_pct,max_drawdown_pct,trade_count,zero_trade,effective_trade_count,turnover,fallback_hold_rows,cash_share_day1,floor_rg_v1,ceil_rg_v1,norm_rg_v1,norm_degenerate_rg_v1,bl_always_hold_rg_v1,bl_random_rg_v1,bl_buy_day1_hold_rg_v1,bl_mco_0.05_rg_v1,floor_rg_0.03,ceil_rg_0.03,norm_rg_0.03,norm_degenerate_rg_0.03,floor_rg_0.05,ceil_rg_0.05,norm_rg_0.05,norm_degenerate_rg_0.05,bl_always_hold_rg_0.05,bl_random_rg_0.05,bl_buy_day1_hold_rg_0.05,bl_mco_0.05_rg_0.05,floor_rg_0.08,ceil_rg_0.08,norm_rg_0.08,norm_degenerate_rg_0.08,floor_rg_action_0.03,ceil_rg_action_0.03,norm_rg_action_0.03,norm_degenerate_rg_action_0.03,floor_rg_action_0.05,ceil_rg_action_0.05,norm_rg_action_0.05,norm_degenerate_rg_action_0.05,floor_rg_action_0.08,ceil_rg_action_0.08,norm_rg_action_0.08,norm_degenerate_rg_action_0.08,floor_return_pct,ceil_return_pct,norm_return_pct,norm_degenerate_return_pct,bl_always_hold_return_pct,bl_random_return_pct,bl_buy_day1_hold_return_pct,bl_mco_0.05_return_pct,floor_point_mas_v1,ceil_point_mas_v1,norm_point_mas_v1,norm_degenerate_point_mas_v1,floor_point_mas_v2,ceil_point_mas_v2,norm_point_mas_v2,norm_degenerate_point_mas_v2,floor_band_mas_v2,ceil_band_mas_v2,norm_band_mas_v2,norm_degenerate_band_mas_v2,beats_k_rg_v1,beats_n_rg_v1,beats_k_rg_0.05,beats_n_rg_0.05,beats_k_return_pct,beats_n_return_pct,beats_k_point_mas_v1,beats_n_point_mas_v1,beats_k_point_mas_v2,beats_n_point_mas_v2,beats_k_band_mas_v2,beats_n_band_mas_v2,beats_k_max_drawdown_pct,beats_n_max_drawdown_pct
Llama-3.1-8B-Instruct,ENTJ,memory,bull_trap,5,481.8,,0.0,200.0,0.0,0.0,0.038860181098232416,0.21307594719185347,0.12528349158722954,0.025968064145042963,0.9611398189017676,44.2,200.0,0.59,38.309185701285266,118.0,3.9086711819314908,75.8,0.379,0.579,38.16875300541362,115.8,3.4606392202284963,74.2,0.371,0.568,38.54614979044799,113.6,3.547578544355337,72.4,0.362,20470.004531935083,104.70004531935085,-10.248299277477859,150.2,0.0,15.0,7.609100586653403,0.0,0.54,99.7,79.3,,1.0,79.8,67.72,99.7,79.3,100.0,98.81768672341781,,1.0,100.0,99.13637985325826,,1.0,100.0,68.35912172119069,100.0,99.13637985325826,100.0,100.0,,1.0,62.593069743202236,0.0,,1.0,53.27032587958521,0.0,,1.0,53.25486617562318,,,1.0,119.76528319175335,63.278909526485634,,1.0,0.0,44.81461419729551,119.76528319175335,63.278909526485634,0.8,8.992806499463768e-18,0.7336550660101832,0.0,0.9000000000000001,6.036837696399288e-18,0.8607961204586339,0.0,0.8,0.0,0.9675399198186962,0.0,1.0,11.0,1.0,11.0,7.8,11.0,7.0,11.0,7.0,11.0,7.0,11.0,1.0,11.0
Llama-3.1-8B-Instruct,ENTJ,memory,crash,15,481.8,0.9066666666666666,0.0,200.0,0.0,0.0,0.009596514153414991,0.20149460416239331,0.10472524083766402,0.005545559157904155,0.990403485846585,99.96666666666667,200.0,0.9510000000000001,100.0,190.2,100.0,180.93333333333334,0.9046666666666667,0.8263333333333333,100.0,165.26666666666668,100.0,158.2,0.791,0.554,100.0,110.8,100.0,106.66666666666667,0.5333333333333333,6125.808703257675,-38.74191296742325,-45.40968380530591,190.26666666666668,0.0,11.933333333333334,1.0,0.0,0.6133333333333333,100.0,99.8,,1.0,0.03333333333333333,63.29666666666666,100.0,99.8,100.0,99.76690695226766,,1.0,100.0,100.0,,1.0,0.0,63.515728676978675,100.0,100.0,100.0,100.0,,1.0,100.0,100.0,,1.0,89.29201666102304,100.0,1.0,0.8,75.32015428264049,100.0,,1.0,0.0,-38.0199552066869,,1.0,0.0,-20.448496675639326,-38.312434921335495,-38.0199552066869,0.8,6.781612308751998e-18,0.7481317447970084,0.0,0.9000000000000002,3.987551030112021e-18,0.8836386212914845,0.0,0.8,0.0,0.9930680510526197,0.0,6.4,11.0,5.666666666666667,11.0,1.0666666666666667,11.0,5.266666666666667,11.0,5.133333333333334,11.0,5.133333333333334,11.0,2.4,11.0
Llama-3.1-8B-Instruct,ENTJ,memory,flat,5,481.8,,0.6,200.0,0.0,0.0,0.005547829216920373,0.20111948026444998,0.10291948026444997,0.0033336547406851713,0.9944521707830797,53.7,200.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,11417.504981486314,14.175049814863149,-23.056463287703863,182.6,0.0,4.4,1.0,0.0,0.45999999999999996,99.7,50.8,,1.0,50.8,66.35,99.7,50.8,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,15.711665111563672,0.0,,1.0,0.0,7.167191253774142,14.052669714325333,0.0,0.8,9.686695889854492e-18,0.7486006496694376,0.0,0.9000000000000001,5.9119376061289584e-18,0.8856450219283889,0.0,0.8,0.0,0.9958329315741435,0.0,4.2,11.0,,0.0,7.8,11.0,7.0,11.0,7.0,11.0,7.0,11.0,0.8,11.0
Llama-3.1-8B-Instruct,ENTJ,static,bull_trap,5,481.8,,0.0,200.0,0.0,0.0,0.4034743650708571,0.3661301002799592,0.377866639675256,0.28480223267540816,0.596525634929143,82.3,200.0,0.59,77.58241749846248,118.0,30.69121320734224,37.2,0.186,0.579,77.68098406936882,115.8,30.77786264748005,36.6,0.183,0.568,77.19947285386247,113.6,30.418454613653417,36.4,0.182,14122.118940225031,41.221189402250296,-7.876154642805761,57.0,0.0,55.2,15.493849059451966,0.0,0.9800000000000001,99.7,79.3,,1.0,79.8,67.72,99.7,79.3,100.0,98.81768672341781,,1.0,100.0,99.13637985325826,,1.0,100.0,68.35912172119069,100.0,99.13637985325826,100.0,100.0,,1.0,62.593069743202236,0.0,,1.0,53.27032587958521,0.0,,1.0,53.25486617562318,,,1.0,119.76528319175335,63.278909526485634,,1.0,0.0,44.81461419729551,119.76528319175335,63.278909526485634,0.8,8.992806499463768e-18,0.542337374650051,0.0,0.9000000000000001,6.036837696399288e-18,0.5801481781386046,0.0,0.8,0.0,0.6439972091557399,0.0,6.0,11.0,2.0,11.0,4.4,11.0,5.4,11.0,5.8,11.0,5.8,11.0,4.0,11.0
Llama-3.1-8B-Instruct,ENTJ,static,crash,15,481.8,0.9066666666666666,0.0,200.0,0.0,0.0,0.05470343135505366,0.2140914521202024,0.13224746719108865,0.03439744173762802,0.9452965686449464,99.56666666666666,200.0,0.9510000000000001,99.54302039680682,190.2,100.0,109.6,0.548,0.8263333333333333,99.5628687380445,165.26666666666668,100.0,99.66666666666667,0.49833333333333335,0.554,99.71969147444267,110.8,100.0,67.66666666666667,0.3383333333333333,6262.866864250324,-37.37133135749675,-44.006702742687814,113.33333333333333,0.0,33.93333333333333,0.9999999999999999,0.0,0.9466666666666667,100.0,99.8,,1.0,0.03333333333333333,63.29666666666666,100.0,99.8,100.0,99.76690695226766,,1.0,100.0,100.0,,1.0,0.0,63.515728676978675,100.0,100.0,100.0,100.0,,1.0,100.0,100.0,,1.0,89.29201666102304,100.0,1.0,0.8,75.32015428264049,100.0,,1.0,0.0,-38.0199552066869,,1.0,0.0,-20.448496675639326,-38.312434921335495,-38.0199552066869,0.8,6.781612308751998e-18,0.7323856848497471,0.0,0.9000000000000002,3.987551030112021e-18,0.8530583697876792,0.0,0.8,0.0,0.9570031978279651,0.0,6.2,11.0,5.533333333333333,11.0,2.533333333333333,11.0,5.133333333333334,11.0,5.0,11.0,5.0,11.0,4.0,11.0
Llama-3.1-8B-Instruct,ENTJ,static,flat,5,481.8,,0.6,200.0,0.0,0.0,0.1019341503882019,0.2129891953722442,0.15308398639363863,0.057461672880223046,0.898065849611798,78.9,200.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,11176.853974699046,11.768539746990452,-21.44324551685803,82.4,0.0,44.6,2.0137607785465486,0.0,0.9800000000000001,99.7,50.8,,1.0,50.8,66.35,99.7,50.8,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,15.711665111563672,0.0,,1.0,0.0,7.167191253774142,14.052669714325333,0.0,0.8,9.686695889854492e-18,0.7337635057846947,0.0,0.9000000000000001,5.9119376061289584e-18,0.829906681784846,0.0,0.8,0.0,0.9281729088997211,0.0,7.6,11.0,,0.0,7.6,11.0,7.4,11.0,7.0,11.0,7.0,11.0,2.6,11.0
Llama-3.1-8B-Instruct,INTJ,memory,bull_trap,5,481.8,,0.0,200.0,0.0,0.0,0.4997996393436561,0.17004271989698394,0.17004271989698394,0.09451151502575936,0.5002003606563439,91.9,200.0,0.59,99.83193277310924,118.0,,0.0,0.0,0.579,100.0,115.8,,0.0,0.0,0.568,100.0,113.6,,0.0,0.0,15715.4942846101,57.15494284610101,-5.027143768667162,1.0,0.0,1.0,0.5,0.0,1.0,99.7,79.3,,1.0,79.8,67.72,99.7,79.3,100.0,98.81768672341781,,1.0,100.0,99.13637985325826,,1.0,100.0,68.35912172119069,100.0,99.13637985325826,100.0,100.0,,1.0,62.593069743202236,0.0,,1.0,53.27032587958521,0.0,,1.0,53.25486617562318,,,1.0,119.76528319175335,27.774531017970368,,1.0,0.0,44.81461419729551,119.76528319175335,27.774531017970368,0.5,3.1641356201816966e-18,0.6599145602060321,0.0,0.5,3.1641356201816966e-18,0.6599145602060321,0.0,0.4,0.0,0.7637212124356016,0.0,7.2,11.0,3.6,11.0,8.0,11.0,9.0,11.0,9.0,11.0,9.0,11.0,5.4,11.0
Llama-3.1-8B-Instruct,INTJ,memory,crash,15,481.8,0.9066666666666666,0.0,200.0,0.0,0.0,0.6074716716184924,0.15243767210247158,0.15243767210247158,0.08575634691321042,0.39252832838150764,88.46666666666667,200.0,0.9510000000000001,88.20772158058372,190.2,100.0,1.2666666666666666,0.006333333333333333,0.8263333333333333,88.29255245995417,165.26666666666668,100.0,1.1333333333333333,0.005666666666666667,0.554,91.93354157795368,110.8,100.0,0.8,0.004,8328.048394628346,-16.719516053716532,-21.13485639110947,1.3333333333333333,0.0,1.3333333333333333,0.55,0.0,1.0,100.0,93.2,,1.0,0.03333333333333333,63.29666666666666,100.0,93.2,100.0,93.05973381222364,,1.0,100.0,92.84135867692659,,1.0,0.0,63.515728676978675,100.0,92.84135867692659,100.0,95.61026498847518,,1.0,100.0,62.169941830114105,,1.0,89.29201666102304,62.169941830114105,1.86135848887962,0.8,75.32015428264049,81.31024804818291,1.2115141812620132,0.5333333333333333,0.0,-23.40266854191017,,1.0,0.0,-20.448496675639326,-38.312434921335495,-23.40266854191017,0.5,2.5535129566378604e-18,0.6951246557950568,0.0,0.5,2.5535129566378604e-18,0.6951246557950568,0.0,0.4,0.0,0.785609132716974,0.0,6.066666666666666,11.0,5.666666666666667,11.0,6.533333333333333,11.0,8.066666666666666,11.0,8.066666666666666,11.0,7.933333333333334,11.0,7.533333333333333,11.0
Llama-3.1-8B-Instruct,INTJ,memory,flat,5,481.8,,0.6,200.0,0.0,0.0,0.5841060786087047,0.12087909525904031,0.12087909525904031,0.06627251415811211,0.41589392139129533,95.4,200.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,10360.669585207002,3.606695852070035,-11.22722577995567,1.0,0.0,1.0,0.44000000000000006,0.0,1.0,99.7,50.8,,1.0,50.8,66.35,99.7,50.8,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,15.711665111563672,0.0,,1.0,0.0,7.167191253774142,14.052669714325333,0.0,0.5,9.992007221626408e-19,0.7582418094819194,0.0,0.5,9.992007221626408e-19,0.7582418094819194,0.0,0.4,0.0,0.8343187146047196,0.0,8.0,11.0,,0.0,6.4,11.0,9.0,11.0,9.0,11.0,9.0,11.0,5.0,11.0
Llama-3.1-8B-Instruct,INTJ,static,bull_trap,5,481.8,,0.0,200.0,0.0,0.0,0.4229096113902518,0.22530532237608658,0.22530532237608658,0.16343269836862923,0.5770903886097483,94.8,200.0,0.59,94.25534073120625,118.0,32.095238095238095,9.0,0.045,0.579,94.30266648052492,115.8,32.095238095238095,9.0,0.045,0.568,94.17258041632138,113.6,32.095238095238095,9.0,0.045,14811.657176330375,48.11657176330374,-7.220133923957093,13.2,0.0,12.8,4.267996443252616,0.0,1.0,99.7,79.3,,1.0,79.8,67.72,99.7,79.3,100.0,98.81768672341781,,1.0,100.0,99.13637985325826,,1.0,100.0,68.35912172119069,100.0,99.13637985325826,100.0,100.0,,1.0,62.593069743202236,0.0,,1.0,53.27032587958521,0.0,,1.0,53.25486617562318,,,1.0,119.76528319175335,27.774531017970368,,1.0,0.0,44.81461419729551,119.76528319175335,27.774531017970368,0.5,3.1641356201816966e-18,0.5493893552478268,0.0,0.5,3.1641356201816966e-18,0.5493893552478268,0.0,0.4,0.0,0.591418254078427,0.0,7.8,11.0,2.0,11.0,6.4,11.0,8.6,11.0,8.6,11.0,8.4,11.0,3.2,11.0
