scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,4000,0.11465382448816665,0.82825,0.71725,0.59575
bull_trap,calm,1720,0.1485391810677003,0.9127906976744186,0.8482558139534884,0.7633720930232558
bull_trap,mania,2826,0.13544262029468612,0.9051663128096249,0.8145789101203114,0.6861288039631989
bull_trap,blow-off,1395,0.5817630521698272,0.992831541218638,0.9863799283154122,0.9806451612903225
bull_trap,post-top,1459,0.28784986311173233,0.9506511309115833,0.9259766963673749,0.8670322138450994
crash,calm,5316,0.136766101726943,0.9016177577125658,0.8239277652370203,0.7257336343115124
crash,deterioration,2038,0.12833362946024654,0.8768400392541708,0.7973503434739941,0.6776251226692837
crash,panic,3244,0.2591561646437173,0.9617755856966708,0.936189889025894,0.8865598027127004
crash,stabilisation,4602,0.17010483035683846,0.8800521512385919,0.8096479791395046,0.7305519339417644
sustained_bull,sustained-bull,3400,0.014087219562055563,0.18470588235294116,0.05676470588235294,0.005
flat,ALL,4000,0.11465382448816665,0.82825,0.71725,0.59575
bull_trap,ALL,7400,0.20639405748651823,0.9324324324324325,0.8767567567567568,0.7952702702702703
crash,ALL,15200,0.16597700690108744,0.9046052631578947,0.84,0.7550657894736842
sustained_bull,ALL,3400,0.014087219562055563,0.18470588235294116,0.05676470588235294,0.005
