h0,b,g_max,topped_share,peak_pv_topped_median,peak_pv_topped_q10,peak_pv_topped_q90,peak_pv_untopped_median,top_day_in_mania_median,mean_attempts,score
0.0003,6.0,0.012,0.4666666666666667,2.1245448689989814,1.6707099540638666,2.523372299801485,1.822772362374823,105.5,1.05,0.16446955058307866
0.0001,8.0,0.012,0.5833333333333334,2.188960260274278,1.8002453766027018,2.513238604155373,1.789327337017198,106.0,1.05,0.38057339840190296
0.001,4.0,0.015,0.55,2.4062405925366117,1.775713779518723,2.865678699790304,2.064235354889505,105.0,1.0666666666666667,0.38489348146748614
0.0003,6.0,0.015,0.6,2.406934200526175,1.733946925511338,2.7990027055209943,2.0237477344174675,103.0,1.0333333333333334,0.5017335501315436
0.0001,8.0,0.01,0.38333333333333336,2.083710409014874,1.7508911421378504,2.4925521473164483,1.8463773610526184,102.0,1.0666666666666667,0.5709276022537181
0.0001,8.0,0.015,0.65,2.258943866604535,1.8147450469237316,2.4970951287999945,1.9600358502313535,100.0,1.0333333333333334,0.6647359666511339
0.0003,6.0,0.01,0.35,2.150669189960014,1.5922466403226607,2.6598923658081097,1.851923683033442,93.0,1.0666666666666667,0.7210006308233367
0.001,4.0,0.012,0.36666666666666664,2.164977520532324,1.6881019606881165,2.9679550629791303,2.0172340804992097,98.5,1.0833333333333333,0.7412443801330805
0.0003,8.0,0.01,0.6666666666666666,1.9024844150831326,1.578127991836035,2.2753800239702286,1.6203885831840132,96.5,1.0666666666666667,0.7743788962292164
0.0003,8.0,0.012,0.7,1.9881689228247663,1.6118681192628284,2.1989729867670955,1.745038151085965,95.0,1.05,0.8029577692938082
0.001,4.0,0.01,0.3333333333333333,2.035879867434977,1.6205861618457125,2.6777805578329628,1.855503118592003,89.0,1.1,0.9256366335254113
0.0001,6.0,0.015,0.31666666666666665,2.7443940562675766,1.9730011641246334,3.1610061122715405,2.2238849842024466,109.0,1.0166666666666666,1.1638259036678043
0.0001,6.0,0.01,0.21666666666666667,2.2162100522807386,1.8363785830315678,2.661547636345529,1.9687759699765388,107.0,1.05,1.1873858464035179
0.0001,6.0,0.012,0.23333333333333334,2.49159949472304,1.8665645092229346,3.039163421309187,2.0364682433979553,109.5,1.0333333333333334,1.1895665403474267
0.001,6.0,0.01,0.7166666666666667,1.8917670862378522,1.5332120294278393,2.2674307742270585,1.615505061767772,95.0,1.1166666666666667,1.227058228440537
0.001,6.0,0.012,0.7666666666666667,1.9271756793012065,1.4956056016957708,2.275927039575247,1.76171737242871,93.5,1.0833333333333333,1.2515394135080313
0.0003,8.0,0.015,0.85,2.013343714328509,1.619441111227965,2.2606628744940505,1.70985907604588,91.0,1.0333333333333334,1.4033359285821272
0.0003,4.0,0.012,0.16666666666666666,2.3617616698425206,1.7897140264268545,2.5012863662317537,2.060444941985514,109.5,1.05,1.4237737507939636
0.0003,4.0,0.01,0.16666666666666666,2.12168927673042,1.7832855822037008,2.396711885568479,1.9699111224249655,106.5,1.0666666666666667,1.4470889858492715
0.001,6.0,0.015,0.8666666666666667,1.9823161063789367,1.5097285739609094,2.420946948301688,1.8405612239902962,91.0,1.0666666666666667,1.5544209734052656
0.0003,4.0,0.015,0.2,2.760833452959477,1.8459111812336386,3.101210033687785,2.259094238678175,109.5,1.0333333333333334,1.651041816199346
0.001,8.0,0.015,0.8833333333333333,1.7567650143265983,1.4661928735031946,2.0308039625389993,1.781675064957749,80.0,1.0833333333333333,1.7608087464183497
0.0001,4.0,0.012,0.06666666666666667,2.189400024562271,1.6477529955033432,2.424825428624173,2.181966059839289,99.5,1.0333333333333334,1.7806833394739012
0.001,8.0,0.01,0.85,1.6416497985013188,1.4328974554697635,1.9731778424862458,1.615505061767772,85.0,1.1333333333333333,1.9062542170413366
0.001,8.0,0.012,0.9,1.6866041356838422,1.4501676539954629,2.0001418369440707,1.7276950879401838,83.0,1.1,1.9283489660790398
0.0001,4.0,0.01,0.03333333333333333,1.7339848386271082,1.4953275180110612,1.972642159243155,2.0300860453542393,78.0,1.05,1.9331704570098895
0.003,4.0,0.01,0.7833333333333333,1.7683832394909145,1.4345568949021352,2.25377791943898,1.6229812742947212,90.0,1.2166666666666666,2.0245708567939373
0.003,4.0,0.012,0.8166666666666667,1.8015829964632766,1.482296046348662,2.279596853537145,1.788380880797022,91.0,1.2,2.066270917550847
0.003,4.0,0.015,0.85,2.0304599326199413,1.5411474427522025,2.494114382332719,1.899447383022843,91.0,1.1833333333333333,2.0742816498216516
0.0001,4.0,0.015,0.11666666666666667,2.869960208930731,1.9228920891609318,2.989532121835254,2.3681329578469392,111.0,1.0166666666666666,2.120783594496747
0.003,6.0,0.015,0.9333333333333333,1.676814918247564,1.4407660282194088,2.028665266308909,1.7086935506834116,80.5,1.2166666666666666,2.647462937104775
0.003,6.0,0.01,0.8833333333333333,1.5911361527755241,1.4090213752057286,1.9260463711100928,1.615505061767772,81.0,1.2833333333333334,2.811079809030595
0.003,6.0,0.012,0.9333333333333333,1.630657405328253,1.4397547996725115,1.9953782703627918,1.7276950879401838,81.5,1.25,2.82566898200127
0.003,8.0,0.015,0.9666666666666667,1.5414457033528541,1.391595721323612,1.7560544367971767,1.496982752017625,68.0,1.25,3.039859537475599
0.003,8.0,0.012,0.9666666666666667,1.523673954412524,1.3858470039868358,1.7007663092803438,1.484135001128837,72.0,1.3,3.312074223651012
0.003,8.0,0.01,0.9833333333333333,1.5062375885396546,1.3914378040041473,1.6464549916501958,1.4590704663434828,68.0,1.35,3.6505363476587656
