scenario,seed,discount,path_variant,policy,persona,theta,random_seed,interface,mas_persona,n_rows,n_fallback,fallback_frac,mean_cash_share,point_mas_v1,point_mas_v2,band_mas_v2,rel_mas,rg_v1,rg_v1_n,coverage_0.03,rg_0.03,rg_0.03_n,rg_action_0.03,rg_action_0.03_n,coverage_action_0.03,coverage_0.05,rg_0.05,rg_0.05_n,rg_action_0.05,rg_action_0.05_n,coverage_action_0.05,coverage_0.08,rg_0.08,rg_0.08_n,rg_action_0.08,rg_action_0.08_n,coverage_action_0.08,final_value,return_pct,max_drawdown_pct,trade_count,zero_trade,effective_trade_count,turnover
bull_trap,42,,0,always_hold,,,-1,v1,ISFJ,200.0,0.0,0.0,1.0,0.0,0.19999999999999996,0.09999999999999996,0.0,81.5,200.0,0.6,99.16666666666667,120.0,,0.0,0.0,0.585,100.0,117.0,,0.0,0.0,0.58,100.0,116.0,,0.0,0.0,10000.0,0.0,0.0,0.0,1.0,0.0,0.0
bull_trap,42,,0,always_hold,,,-1,v1,INTJ,200.0,0.0,0.0,1.0,0.5,0.5,0.4,0.0,81.5,200.0,0.6,99.16666666666667,120.0,,0.0,0.0,0.585,100.0,117.0,,0.0,0.0,0.58,100.0,116.0,,0.0,0.0,10000.0,0.0,0.0,0.0,1.0,0.0,0.0
bull_trap,42,,0,always_hold,,,-1,v1,ENTJ,200.0,0.0,0.0,1.0,0.8,0.9000000000000002,0.8,0.0,81.5,200.0,0.6,99.16666666666667,120.0,,0.0,0.0,0.585,100.0,117.0,,0.0,0.0,0.58,100.0,116.0,,0.0,0.0,10000.0,0.0,0.0,0.0,1.0,0.0,0.0
bull_trap,42,,0,always_buy,,,-1,v1,ISFJ,200.0,0.0,0.0,0.0,1.0,0.8,0.7,1.0,18.5,200.0,0.6,0.8333333333333334,120.0,0.8333333333333334,120.0,0.6,0.585,0.0,117.0,0.0,117.0,0.585,0.58,0.0,116.0,0.0,116.0,0.58,23090.332805071317,130.90332805071316,-15.864462507991583,200.0,0.0,1.0,1.0
bull_trap,42,,0,always_buy,,,-1,v1,INTJ,200.0,0.0,0.0,0.0,0.5,0.5,0.4,1.0,18.5,200.0,0.6,0.8333333333333334,120.0,0.8333333333333334,120.0,0.6,0.585,0.0,117.0,0.0,117.0,0.585,0.58,0.0,116.0,0.0,116.0,0.58,23090.332805071317,130.90332805071316,-15.864462507991583,200.0,0.0,1.0,1.0
bull_trap,42,,0,always_buy,,,-1,v1,ENTJ,200.0,0.0,0.0,0.0,0.2,0.1,0.0,1.0,18.5,200.0,0.6,0.8333333333333334,120.0,0.8333333333333334,120.0,0.6,0.585,0.0,117.0,0.0,117.0,0.585,0.58,0.0,116.0,0.0,116.0,0.58,23090.332805071317,130.90332805071316,-15.864462507991583,200.0,0.0,1.0,1.0
bull_trap,42,,0,always_sell,,,-1,v1,ISFJ,200.0,0.0,0.0,1.0,0.0,0.19999999999999996,0.09999999999999996,0.0,81.5,200.0,0.6,99.16666666666667,120.0,99.16666666666667,120.0,0.6,0.585,100.0,117.0,100.0,117.0,0.585,0.58,100.0,116.0,100.0,116.0,0.58,10000.0,0.0,0.0,200.0,0.0,0.0,0.0
bull_trap,42,,0,always_sell,,,-1,v1,INTJ,200.0,0.0,0.0,1.0,0.5,0.5,0.4,0.0,81.5,200.0,0.6,99.16666666666667,120.0,99.16666666666667,120.0,0.6,0.585,100.0,117.0,100.0,117.0,0.585,0.58,100.0,116.0,100.0,116.0,0.58,10000.0,0.0,0.0,200.0,0.0,0.0,0.0
bull_trap,42,,0,always_sell,,,-1,v1,ENTJ,200.0,0.0,0.0,1.0,0.8,0.9000000000000002,0.8,0.0,81.5,200.0,0.6,99.16666666666667,120.0,99.16666666666667,120.0,0.6,0.585,100.0,117.0,100.0,117.0,0.585,0.58,100.0,116.0,100.0,116.0,0.58,10000.0,0.0,0.0,200.0,0.0,0.0,0.0
bull_trap,42,,0,buy_day1_hold,,,-1,v1,ISFJ,200.0,0.0,0.0,0.0,1.0,0.8,0.7,1.0,99.5,200.0,0.6,100.0,120.0,,0.0,0.0,0.585,100.0,117.0,,0.0,0.0,0.58,100.0,116.0,,0.0,0.0,23090.332805071317,130.90332805071316,-15.864462507991583,1.0,0.0,1.0,1.0
