cond,i,M,S,R,s_ma,rho,beta,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e1b_p,e1b_coef,e1b_se,e1b_converged,e1b_ok,e1b_method,e1b_llf_gap
M6_S10_R1_sma0.03_rho0.0_beta0.05,0,6,10,1,0.03,0.0,0.05,0.024447029203802366,0.02863492974576401,0.012726464705639243,True,True,0.000883272503593741,0.0018783035607924164,0.00039756146135229767,2.2184685602205084e-06,0.024447029203802366,0.02863492974576401,0.012726464705639243,True,True,lbfgs,-2.1538006421906175e-05
M6_S10_R1_sma0.03_rho0.0_beta0.05,1,6,10,1,0.03,0.0,0.05,0.000356669194432579,0.0354589083015657,0.009931830047208117,True,True,0.0009567471331427292,0.0015661080576497627,0.00020024903094560673,7.206521048479863e-06,0.000356669194432579,0.0354589083015657,0.009931830047208117,True,True,lbfgs,-1.4046857359062415e-05
M6_S10_R1_sma0.03_rho0.0_beta0.05,2,6,10,1,0.03,0.0,0.05,4.092047093976852e-06,0.04258492871377138,0.009244225997715974,True,True,0.000734353794401818,0.0015928114969729766,0.00018293176345036453,4.677524936226869e-07,3.37313617743735e-06,0.04258492871377127,0.00916458503998885,True,True,powell,0.0014830871959929937
M6_S10_R1_sma0.03_rho0.0_beta0.05,3,6,10,1,0.03,0.0,0.05,0.0019995074178124454,0.03952434036542588,0.012789784331722084,True,True,0.0009705545321523261,0.0021800002475202726,0.0003936802965406321,9.27488966296289e-06,0.0019995074178124454,0.03952434036542588,0.012789784331722084,True,True,lbfgs,-1.6892071016627597e-05
M6_S10_R1_sma0.03_rho0.0_beta0.05,4,6,10,1,0.03,0.0,0.05,0.0008540085480835936,0.05710296771950434,0.017124026483302152,True,True,0.0008680842205991273,0.001710668906303588,0.0007928884269425587,8.763700810482344e-07,0.0008540085480835936,0.05710296771950434,0.017124026483302152,True,True,lbfgs,-3.18644842991489e-05
M6_S10_R1_sma0.03_rho0.0_beta0.05,5,6,10,1,0.03,0.0,0.05,3.082177628045596e-19,0.05995692824510932,0.006687340966810991,True,True,0.0009666441813440916,0.002440505987354551,3.749716948476047e-05,1.2492702099569662e-05,3.082177628045596e-19,0.05995692824510932,0.006687340966810991,True,True,lbfgs,-2.907468115154188e-07
M6_S10_R1_sma0.03_rho0.0_beta0.05,6,6,10,1,0.03,0.0,0.05,0.01566572693758486,0.05287989397256279,0.021881834838432878,True,True,0.0009326175636337188,0.0033370468295003514,0.0013431823313257902,1.5189510830169217e-06,0.0005558999866216206,0.052879893972550863,0.015317446061297302,True,True,powell,0.9461054634200536
M6_S10_R1_sma0.03_rho0.0_beta0.05,7,6,10,1,0.03,0.0,0.05,0.03621728460037138,0.04906849991943861,0.023427538533646135,True,True,0.0008677368796589248,0.0026088285443249533,0.0015597749972712318,5.930477506511126e-07,0.008590503914336254,0.0490684999194575,0.018671888035119773,True,True,powell,0.7470154341317539
M6_S10_R1_sma0.03_rho0.0_beta0.05,8,6,10,1,0.03,0.0,0.05,0.020480240049167067,0.037004124237801785,0.015967731868593973,True,True,0.0008772782463740058,0.0012145714595530278,0.0006771775584445835,4.402085380839436e-06,0.020480240049167067,0.037004124237801785,0.015967731868593973,True,True,lbfgs,-8.591782147959748e-05
M6_S10_R1_sma0.03_rho0.0_beta0.05,9,6,10,1,0.03,0.0,0.05,0.0014996940490235378,0.02571766636831932,0.008100708814653253,True,True,0.0009231114953037613,0.0028641562065464,0.00010455330036902559,1.0739238360779074e-05,0.0014996940490235378,0.02571766636831932,0.008100708814653253,True,True,lbfgs,-3.462384938757168e-07
M6_S10_R1_sma0.03_rho0.0_beta0.05,10,6,10,1,0.03,0.0,0.05,5.212521673491011e-07,0.06611641847372973,0.013175009647105659,False,True,0.0009007446326647934,0.0008015995897390167,0.0004306681743375235,1.3602939320463822e-06,1.8821085412271187e-13,0.06611641847373195,0.008986977505445541,True,True,powell,1.0866664661630239
M6_S10_R1_sma0.03_rho0.0_beta0.05,11,6,10,1,0.03,0.0,0.05,0.04256872764107984,0.04889981230402698,0.024113321284044305,True,True,0.0008934726964958532,0.0025023234020342044,0.0016550095203929271,1.1757152587789098e-06,0.015225923254410507,0.048899812304035895,0.020148583790892537,True,True,powell,0.43074028897444805
M6_S10_R1_sma0.03_rho0.0_beta0.05,12,6,10,1,0.03,0.0,0.05,0.07920838782397273,0.03282083891546967,0.01869816021312261,True,True,0.0009546889325646247,0.001585075121504865,0.0009533946928103667,7.535193398793079e-06,0.07920838782397273,0.03282083891546967,0.01869816021312261,True,True,lbfgs,-3.22975242852408e-05
M6_S10_R1_sma0.03_rho0.0_beta0.05,13,6,10,1,0.03,0.0,0.05,0.002421311474911016,0.05119057595156388,0.016877837880505224,True,True,0.0007938731841492656,0.0008181633878723591,0.0007751969161469563,9.777850672874065e-10,0.002225454029487779,0.05119057595155099,0.016737868124941234,True,True,powell,0.0011731596775916842
