cond,i,M,S,R,s_ma,rho,beta,shared,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,t_e1,e1b_p,e1b_coef,e1b_se,e1b_converged,e1b_ok,e1b_method,e1b_llf_gap,t_e1b,e1a_p,e1a_coef,e1a_se,e1a_converged,e1a_ok,e1a_method,e1a_llf_gap,e1a_vc_model,e1a_vc_path,e1a_vc_persona_path,t_e1a,e2_est,e2_lo,e2_hi,e2_reject,e2_covers
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,0,3,19,1,0.0,0.0,0.0,False,0.7174809760189047,-0.004579990207273219,0.012657940064068502,False,True,0.0036916051595949637,0.0011567535709664462,4.604016159859431e-05,0.00012733115662911336,7.49044942855835,0.6881832949136812,-0.004579990207272927,0.011412266762618065,True,True,powell,0.9275444148702263,3.0785088539123535,0.3538298161493888,-0.0045799902072729435,0.004939665546425504,True,True,powell,3.914019618281941,1.208374029237593e-13,6.08188635638565e-05,1.712380187655843e-13,3.700161933898926,-0.004579990207273182,-0.020043138195032995,0.009349799210693803,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,1,3,19,1,0.0,0.0,0.0,False,0.5719672804690543,-0.006931653024872191,0.012265013827961963,True,True,0.0035994661780682806,0.0009688325775445043,3.6200257980765194e-05,0.0001588966443052816,7.98506760597229,0.5386715984265853,-0.006931653024872545,0.011274224754763088,True,True,powell,0.8601601650882458,3.2850770950317383,0.1293744970937451,-0.006931653024872028,0.0045706025967157385,True,True,powell,4.970930304347007,5.7249688870789604e-11,5.117230205575865e-13,2.6711787898730107e-13,2.968052625656128,-0.0069316530248721715,-0.016858500466014916,0.0037289589370399583,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,2,3,19,1,0.0,0.0,0.0,False,0.6855391723200714,0.0045161508148594326,0.011153299771174302,True,True,0.0035438823668520448,0.004877623154361017,7.401910736253053e-08,0.00025737746775688497,6.195502758026123,0.6853117331097984,0.004516150814859476,0.011144783256893172,True,True,powell,0.06145569072964463,1.8978495597839355,0.3859858251946685,0.004516150814859507,0.005209420283805412,True,True,powell,4.908599957775891,1.2455530321890266e-13,9.986477413274539e-05,5.740170967067577e-07,5.714416980743408,0.004516150814859594,-0.014536789500414763,0.022083304050840215,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,3,3,19,1,0.0,0.0,0.0,False,0.4097482655071545,0.009214450237430845,0.011178017583766159,False,True,0.0033995346489266894,0.0019439804639430948,8.499239395182163e-06,0.0003951407661744686,7.897369861602783,0.40008080428625636,0.00921445023743082,0.010950330206495149,True,True,powell,0.3743609950965947,2.993105173110962,0.04130721146846861,0.009214450237430913,0.004515928700229243,True,True,powell,5.453280110238666,4.594652934049722e-11,4.760277551685829e-13,1.7388388399877248e-13,3.2520620822906494,0.00921445023743079,-0.004527794134126984,0.022664121893348026,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,4,3,19,1,0.0,0.0,0.0,False,0.9238329532564763,0.0011970401635902754,0.012520464710680032,True,True,0.004067461430206639,0.0016932819510108218,2.1066137477791556e-05,0.00040871882346059087,6.229558706283569,0.9208721608482457,0.0011970401635905002,0.01205051800103628,True,True,powell,1.7050552234807128,3.1824965476989746,0.8002842300608198,0.0011970401635902645,0.0047317716950330555,True,True,powell,10.124408335642102,1.155042275141404e-13,6.536385723448265e-05,1.2113664754516115e-13,3.4663712978363037,0.0011970401635903079,-0.009897969213873557,0.01169015023866437,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,5,3,19,1,0.0,0.0,0.0,False,0.651897597572618,0.00483526743772301,0.010718181731893893,False,True,0.0030712588225567912,0.0007745492587855751,1.0673928269655412e-05,0.00016673267121956637,8.535417795181274,0.6426584663195091,0.004835267437723131,0.010421171065730449,True,True,powell,0.8302792157603562,3.273757219314575,0.29699472171734453,0.00483526743772302,0.00463636835705143,True,True,powell,4.994651791479555,3.4909175524069803e-11,3.245693117953825e-13,2.9076006390459736e-13,1.9681367874145508,0.004835267437722908,-0.006362050090730833,0.016532618802022517,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,6,3,19,1,0.0,0.0,0.0,False,0.7126194001492083,-0.00404841449256027,0.01099095842811456,True,True,0.0031074657505778098,0.007805397527950209,1.7650921775027623e-05,0.0003398615429392576,6.5465240478515625,0.6976041036830761,-0.004048414492560132,0.010419108725499693,True,True,powell,0.5446558655121407,2.0730414390563965,0.46299643546771474,-0.004048414492560328,0.0055161392060338295,True,True,powell,2.4200009562175637,9.897290676379144e-14,2.4538242126781157e-05,0.0002245298342485848,3.383420944213867,-0.004048414492560185,-0.02215578747432519,0.015620823793677683,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,7,3,19,1,0.0,0.0,0.0,False,0.7384976040584365,0.003698126247195831,0.011077422440139107,True,True,0.003485225520673166,0.0011085359651550194,6.310097352432157e-07,0.0003222827353565217,0.6504693031311035,0.7370345501658493,0.0036981262471956233,0.011013442682351875,True,True,powell,0.2719376611421467,1.6799583435058594,0.49129232867940964,0.003698126247195637,0.005373193401171993,True,True,powell,3.7970694846057995,1.1649397413283556e-05,0.00010611095993999799,1.277233674982911e-13,3.250864028930664,0.0036981262471957226,-0.009014847996910364,0.016392880792304658,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,8,3,19,1,0.0,0.0,0.0,False,0.9794973341132029,0.0003180935141720533,0.012377608405534679,True,True,0.003435585604234178,0.0011315906092686588,4.898748980145447e-05,0.00021501933273724446,0.96112060546875,0.9768424947304537,0.0003180935141721383,0.010958273044940667,True,True,powell,0.942619965028598,1.5355772972106934,0.94586921134252,0.00031809351417221737,0.004685079448407458,True,True,powell,0.002328710856318139,1.1111097940181279e-13,2.8455912312467923e-05,1.8233450246824067e-05,3.2877838611602783,0.0003180935141721782,-0.014667802168843542,0.016090416277374113,False,True
M3_S19_R1_sma0.0_rho0.0_beta0.0_modelspecific,9,3,19,1,0.0,0.0,0.0,False,0.34462131926852213,0.010179401272372022,0.010771014692910887,True,True,0.0033056740887169485,0.0023451874248870347,3.928949777852919e-08,0.0003328222404015639,0.6845204830169678,0.3443361779538525,0.010179401272372017,0.010764650882938957,True,True,powell,0.029772908838367584,1.2328364849090576,0.02091135899437831,0.010179401272371989,0.004407466546122807,True,True,powell,3.8702593298042984,1.7775443983674688e-11,3.518170991981001e-12,2.549020812410327e-13,1.754131555557251,0.010179401272372301,-0.002686210501945718,0.023259928165538915,False,True
