cond,i,M,S,R,s_ma,rho,beta,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e1b_p,e1b_coef,e1b_se,e1b_converged,e1b_ok,e1b_method,e1b_llf_gap
M6_S10_R1_sma0.03_rho0.0_beta0.0,0,6,10,1,0.03,0.0,0.0,0.886549582407454,0.0029572389361396437,0.020727600038780696,True,True,0.0008878781689020114,0.0035478795770445947,0.001200112393212822,5.592837821847594e-06,0.886549582407454,0.0029572389361396437,0.020727600038780696,True,True,lbfgs,-4.933009677188238e-06
M6_S10_R1_sma0.03_rho0.0_beta0.0,1,6,10,1,0.03,0.0,0.0,0.4788496674960535,0.006858856157791993,0.009685544054411759,True,True,0.000971630857065223,0.0007573813801515469,0.0001842662051833271,2.382360115276769e-07,0.4714865287701697,0.00685885615779145,0.009525362549189521,True,True,powell,0.012451635414436169
M6_S10_R1_sma0.03_rho0.0_beta0.0,2,6,10,1,0.03,0.0,0.0,0.6467995700533484,0.005688208139831725,0.012413900772430405,True,True,0.0009203303794069775,0.0012966159328383561,0.0003702817592225465,3.0382375125703785e-06,0.6120519381465375,0.005688208139831741,0.011216101597036107,True,True,powell,0.2440284764113585
M6_S10_R1_sma0.03_rho0.0_beta0.0,3,6,10,1,0.03,0.0,0.0,0.11949716056928321,0.016789282062283015,0.010783875119128847,True,True,0.0008724993838593172,0.0020477014323971258,0.00026162594936896824,3.996704620366165e-06,0.13092927990969977,0.016789282062284732,0.011115435811047115,True,True,powell,0.376969242908217
M6_S10_R1_sma0.03_rho0.0_beta0.0,4,6,10,1,0.03,0.0,0.0,0.09063306182365698,0.02891328615952377,0.017087546656999318,False,True,0.000904941556681995,0.0010021588722319476,0.0007854585965972594,1.2842774250984663e-07,0.07476645945690756,0.02891328615953103,0.016226150499849917,True,True,powell,0.04665812801249558
M6_S10_R1_sma0.03_rho0.0_beta0.0,5,6,10,1,0.03,0.0,0.0,0.9105111971970103,-0.001666680130093115,0.014828937351193262,True,True,0.0009354792930886847,0.0006574273946995501,0.000566144219587986,3.5886196491859125e-07,0.9139529120189666,-0.0016666801300921253,0.015424521051648332,True,True,powell,0.06316377997495692
M6_S10_R1_sma0.03_rho0.0_beta0.0,6,6,10,1,0.03,0.0,0.0,0.4213671307562209,0.007803163815007671,0.00970480385577761,True,True,0.000828268901099014,0.0032787511201127773,0.00019972276352745342,1.691154469907525e-05,0.4213671307562209,0.007803163815007671,0.00970480385577761,True,True,lbfgs,-2.2885892576596234e-06
M6_S10_R1_sma0.03_rho0.0_beta0.0,7,6,10,1,0.03,0.0,0.0,0.35604943410080947,0.015172760604389025,0.016439970465202274,True,True,0.0008920116875718847,0.001757399320592505,0.0007216167179330286,4.336703393004185e-06,0.35604943410080947,0.015172760604389025,0.016439970465202274,True,True,lbfgs,-3.46167428233457e-05
M6_S10_R1_sma0.03_rho0.0_beta0.0,8,6,10,1,0.03,0.0,0.0,0.0025613820926837843,-0.027622927619710757,0.009158813422382778,True,True,0.0010432637430429228,0.0026892967712167522,0.00014732521561377005,7.0301849856011224e-06,0.0025613820926837843,-0.027622927619710757,0.009158813422382778,True,True,lbfgs,-4.5444685383699834e-06
M6_S10_R1_sma0.03_rho0.0_beta0.0,9,6,10,1,0.03,0.0,0.0,0.6018578985088421,0.005736776075601397,0.010995666728457127,True,True,0.0009283040416794324,0.001403201849719059,0.0002698836562419553,9.941133342404695e-07,0.5996654112268512,0.005736776075600923,0.010929654727665645,True,True,powell,0.16984746640173398
