cond,i,M,S,R,s_ma,rho,beta,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e1b_p,e1b_coef,e1b_se,e1b_converged,e1b_ok,e1b_method,e1b_llf_gap
M3_S10_R1_sma0.03_rho0.0_beta0.05,0,3,10,1,0.03,0.0,0.05,0.00012930500373901788,0.045062101996780915,0.011772389968941243,True,True,0.0007394884844794361,0.002727487822002519,0.00013393489992329994,2.260519548454144e-06,0.00012930500373901788,0.045062101996780915,0.011772389968941243,True,True,lbfgs,-1.2800105650967453e-06
M3_S10_R1_sma0.03_rho0.0_beta0.05,1,3,10,1,0.03,0.0,0.05,2.7760861181245545e-24,0.09269330884833221,0.009116842758182312,True,True,0.0009368529545251355,0.0030162777828228265,3.098993736361911e-05,1.0352531203043489e-05,2.7760861181245545e-24,0.09269330884833221,0.009116842758182312,True,True,lbfgs,-6.126127800598624e-07
M3_S10_R1_sma0.03_rho0.0_beta0.05,2,3,10,1,0.03,0.0,0.05,0.014685418628771402,0.04872940383357543,0.01997069604835935,True,True,0.0009148501046219887,0.0006552976493470373,0.0005067580405217465,2.219318478074732e-06,0.00937042104884444,0.04872940383358063,0.018754806579196027,True,True,powell,0.21677555450162345
M3_S10_R1_sma0.03_rho0.0_beta0.05,3,3,10,1,0.03,0.0,0.05,0.5602121545511931,0.01485852545150887,0.025507041531872623,False,True,0.000850150471231737,0.001677046259417834,0.0008908987044398694,1.5416879684768317e-06,0.4856196713946187,0.014858525451508054,0.021308880288904455,True,True,powell,0.4791105976638619
M3_S10_R1_sma0.03_rho0.0_beta0.05,4,3,10,1,0.03,0.0,0.05,0.0372562221579687,0.06910284924058278,0.033175548936965886,True,True,0.0009105157543574565,0.0023641942940505842,0.001559873995467612,2.0529599176459448e-05,0.020515893860633114,0.06910284924057607,0.029827150142735424,True,True,powell,1.0347559388286527
M3_S10_R1_sma0.03_rho0.0_beta0.05,5,3,10,1,0.03,0.0,0.05,0.00986505892551134,0.026801889015269618,0.010386220899074334,True,True,0.0008314396393998931,0.0041081207686581135,7.866641290656463e-05,3.6909665603984494e-05,0.0005715117928460248,0.026801889015270048,0.007780422200433327,True,True,powell,2.063192356378295
M3_S10_R1_sma0.03_rho0.0_beta0.05,6,3,10,1,0.03,0.0,0.05,3.42233725601632e-07,0.07996968796439764,0.015684736929486232,False,True,0.0009000890954058746,3.2088351712406136e-05,0.0002790075492802115,8.0481587225193e-06,8.581947957425118e-06,0.07996968796440541,0.017970203084188077,True,True,powell,0.31545800572610005
M3_S10_R1_sma0.03_rho0.0_beta0.05,7,3,10,1,0.03,0.0,0.05,0.0011093658039503873,0.03950722458899249,0.01211427212524717,True,True,0.0011523958344076622,0.0025371306615198327,0.0001048938002460473,7.226230839365804e-06,0.0015200293653325257,0.039507224588992085,0.01245957606460725,True,True,powell,0.03464882183800455
M3_S10_R1_sma0.03_rho0.0_beta0.05,8,3,10,1,0.03,0.0,0.05,2.726360280825769e-05,0.07659443573566395,0.018257654779001504,True,True,0.0008623602808331504,0.0023685916024946043,0.00041377690896047474,1.3011341504751945e-05,6.75512505359848e-13,0.07659443573566081,0.01066136035525354,True,True,powell,1.2114453466971327
M3_S10_R1_sma0.03_rho0.0_beta0.05,9,3,10,1,0.03,0.0,0.05,0.10953483336704875,0.055990994356886745,0.03498808600892216,True,True,0.0008424483044084923,0.003124628596945684,0.0017520044134106928,8.826256880561947e-05,0.02751115770929742,0.05599099435688642,0.025402100932688212,True,True,powell,3.6886959283551732
