,var1,VR5,VR10,VR20,VR60,VR120,VR250,VR500
A,0.0006493932628911346,0.9985550857046566,0.9317538314184524,0.9564011593606799,0.8890692894421285,0.8939937564799345,0.7945217469926079,0.6700512633879356
AAPL,0.0006376174473177878,0.9412986846259189,0.9894929577082358,1.0489936519319871,1.1504913562751211,1.1516568809683079,1.1109438404892904,1.0342338916983576
ABT,0.00023070960850583708,0.8952016297582879,0.8203594139097485,0.766158084836471,0.6385075079267127,0.49899375319370726,0.484467588809131,0.4786519900566212
ACGL,0.00027554715235273385,0.8550859824987048,0.8045613543963357,0.7451033860597008,0.6179133006850566,0.5532811868681703,0.5128864716194008,0.4137998292588242
ADBE,0.0007210944693455235,0.8683376956143326,0.8288686522555284,0.758571428752777,0.799171757150424,0.7266150481530178,0.6041750313997147,0.5925623880806203
ADI,0.0006507698397606489,0.8863660774506178,0.7909690143504179,0.7110655914944417,0.5166558211570865,0.5157253935012546,0.45848656310145747,0.40042084764336044
ADM,0.00037438951269069896,0.8536467348150344,0.8215994108454606,0.8426783099948092,0.8785837125229814,0.8281230867766002,0.6612809595257825,0.6357979837183834
ADP,0.0002492649243802113,0.8431465101981774,0.795040190458642,0.7684556681483156,0.6337783226530045,0.5133547233272583,0.46877794184682114,0.5011794146670302
ADSK,0.0006721042905610038,0.9407291539204672,0.9253771512065337,0.9527399429642185,0.8242747571100846,0.7992903185826029,0.7650474946009433,0.8333569147825233
AEE,0.00018976479633534983,0.8684857126877319,0.8459289690811558,0.8240417066525099,0.6224625747969824,0.5725540469258826,0.5618295828550963,0.6768996933981563
AEP,0.00023645159807572947,0.9963110139395678,0.952565874263668,0.8970755949777177,0.6893673554945631,0.6687770435748935,0.6769695589134417,0.5238731487857754
AES,0.0010220022662779146,1.0419680515974614,1.0424579376254528,1.0720766163359137,1.0447652983053843,1.2293305252504492,1.4474782282765752,1.4601115896221215
AFL,0.0004964562998546488,0.8430143371416875,0.8033324806579712,0.8082772603342252,0.7421440630849212,0.6938409429987411,0.5536862513648402,0.30440311967864814
AIG,0.0012466104020900505,1.2471396842119062,1.2280249419730773,1.2566978492806098,1.3493102139438196,1.5769452851504784,1.8875850386283954,2.032714635110808
AIV,0.0005556651171619355,0.8938727649757028,0.8372126999062333,0.8695978898770543,0.8429310700833712,0.9422071849490675,0.8768802883346482,0.7315241595131308
AJG,0.0002667035107665623,0.8845919702104623,0.8365954870573141,0.8356401193495971,0.6807625000586173,0.6237943291068142,0.4651532166136541,0.5112257024928908
AKAM,0.0014992381855904278,1.0331874317009613,1.0121372838834644,1.042402992809347,1.189500309836874,1.3360634118738688,1.869826801122995,1.9398822621268992
ALB,0.0006109851903236786,0.9249153751939507,0.8812944372773647,0.8893943079590731,0.80585020930762,0.796802047870084,0.8766368685016647,0.8875571886627253
ALK,0.0008027816241505652,0.9457370137794908,0.9225166573350656,0.9172903553796151,0.7594014329746374,0.6960272290090185,0.6043662882616743,0.6533639699224911
ALL,0.00036760241102826873,0.8411821589088427,0.7994939558399917,0.8342524044056314,0.6823195878449785,0.7375306309734548,0.6920394248927636,0.6232255679069407
AMAT,0.0007581233977378654,0.8454014233954257,0.7855361046853094,0.7280204092256827,0.710732082696075,0.7799880856562114,0.747458971195878,0.6251079662871084
AMD,0.0015013082973233155,1.018766170263164,1.0218287163176847,1.0583781891407864,1.1304883379560973,1.1619502558030106,1.178303392616517,1.3087027511350746
AME,0.0003106742962596228,0.8713808952207439,0.8067626039175463,0.7556003191918695,0.6024462275648746,0.5318109326153524,0.4934397125357015,0.40630901335841213
AMG,0.0006351794938129989,0.9463258355800551,0.9273630566863019,0.8980991646485377,0.8828823652918518,0.8569515016052074,0.8753487088176274,0.8102327724013296
AMGN,0.00037011840780372857,0.8368075403463556,0.7822437917770573,0.7196366269461734,0.5872400837733739,0.4689393131024406,0.4092918860230798,0.4123816516251849
AMT,0.0007723034647733114,1.1762185083297518,1.1890563105452028,1.1566821557706355,1.0022422660733616,1.221553931459143,1.6362975801900623,1.7399989807988256
AMZN,0.0009449296727207636,0.9458679814320223,0.9111425248764601,0.8289637954704302,0.8180041740794073,0.8306074069668553,0.9926032797864458,0.6697067679400585
AN,0.0005966398854663804,1.0131647741774759,0.9723160272351437,0.9693600730610162,0.7269997574779862,0.7687406835352778,0.6608208121896475,0.6430787902968425
ANF,0.001222446368734287,1.0196200030046139,1.0156084061673087,1.0275543037395771,1.062911188808571,1.1196962322178574,1.195308170022469,0.8021303062698114
AON,0.00034432506233737407,0.9958080099619111,0.9166177247865104,0.8241402097430038,0.6334127802891755,0.5826974109110383,0.4937012723960148,0.432783372930658
AOS,0.0004252483051948292,0.9164270379908096,0.8796507221552545,0.851975113429241,0.7756702741614208,0.7187456584969322,0.5686293180497949,0.5378284482135087
APA,0.0009095273621462467,1.0780563219036676,1.1319290992892865,1.2131010883312976,0.9009032322054202,0.6739029891961288,0.6832416795194707,0.6600465023016232
APD,0.00030706961721220754,0.8804102295936553,0.8225582718385847,0.7621459117029245,0.667994977502534,0.6449470555443308,0.4929661879772169,0.34765553454230275
APH,0.0004619065436327583,0.9520501478419919,0.9116449239896962,0.9216419214334253,0.7126712974434318,0.6146249295887637,0.4560371823774354,0.32869303296746155
ARE,0.00036944284266219663,0.881624402488607,0.8606614761213457,0.8930549745843613,0.7376729713508454,0.7503482199397062,0.7279122934665808,0.6711281707819425
ASH,0.00045724430361204337,1.0297918614819002,1.0873405652856334,1.2698932999672634,1.5798252120588134,1.7733136403465388,1.4067649511973366,1.138653977438401
ATI,0.0011452696446694432,1.0069848515313793,1.036004666471044,1.0727010965915196,1.1146968087413547,1.1360993764388876,1.2586934111312373,1.3598701475272978
ATO,0.00019633999892787178,0.8332775794749456,0.7660766013058996,0.6763223749508326,0.4894530249411723,0.41227660793931276,0.32329096998816215,0.2823170015661956
AVY,0.0003407243822098273,0.8929086730165929,0.8489549572140245,0.8439065187593142,0.751507360707768,0.7804120224197624,0.7387330631291306,0.6812271100329174
AXP,0.0005003115563616866,0.8765492964508274,0.8098388501744399,0.7711832334522316,0.7407019196944177,0.8031877973480999,0.8157427106296548,0.6546865490924434
AZO,0.0003079552952739438,0.9148029734316652,0.8994171167178907,0.8624238438373427,0.7540679199653386,0.6569414634312059,0.6727582593299318,0.5935742662377191
BA,0.0004926049611629728,1.102368866807399,1.0657723137705584,1.0845843881626216,1.0423862199994975,1.0266979301708579,1.0909697291753593,0.9953059167530742
BAC,0.0007567512750251018,0.9907230610163521,0.8958799921942605,0.8611040213641563,0.9331834744325054,0.9419448753337623,0.8471859296830494,0.7982528213134906
BALL,0.0003033801097515048,0.9632858322439034,0.9001461722755095,0.8604408002421531,0.7500346700241043,0.7268932600643134,0.7309269290458402,0.8098949748861588
BAX,0.00028364645165625144,0.9152764069676314,0.8446693796125628,0.83829177937174,0.8138330239290419,0.7982228367029089,0.9214662472547177,0.9938403381787648
BBWI,0.0007621768258795327,1.0225657938043062,0.9941291406394203,1.0315695732426353,1.008284460283422,0.9943295801061994,1.0802624110917125,1.130382831468569
BBY,0.0008107834319923278,0.9460854740202267,0.9224207475619465,0.933460930753412,0.9347073066562364,0.8204226994838301,0.6660487432873622,0.48255306928872843
BC,0.0008875448947986453,1.0278545759757798,1.0546216584978405,1.1139737170184005,1.0287478821827738,1.0265204472460536,1.0228303632134121,1.0251222467932581
BDX,0.00022493628624643898,0.8484526405005064,0.7710325620528526,0.7121896957721221,0.5215628539213308,0.4321381963353677,0.37952801809240444,0.36842574359546426
BEN,0.0004734478311356206,0.8740672514765434,0.8318552331751505,0.8113228986008384,0.7512373340513379,0.739087750152693,0.7159052539334503,0.5989949528933053
BF-B,0.00021881413962481075,0.8878552496258805,0.8665218362084475,0.8608081146514349,0.6325523876956063,0.5882640804837046,0.5780192691991913,0.5642711632842243
BIIB,0.0008616468105976168,0.8981617886754711,0.8311804128751417,0.7477702334997716,0.6772635110388312,0.5685944307387674,0.5115758133034013,0.45590557254988723
BIO,0.00040630040057481535,0.9486936837269637,0.8725558691015098,0.8578674396115632,0.8069129884171902,0.7215015749904976,0.711181830005545,0.8034345827899695
BKNG,0.0013870899866598712,1.0855093692679751,1.1037509265642285,1.148971912055384,1.4142219896457975,1.64148708422873,1.2880515633278051,0.8969336326604238
BKR,0.0006550592632230334,0.9343214461797106,0.8957563496776719,0.9145253772920783,0.8605727345035987,0.7665077713584145,0.6685935746616096,0.6270590685716501
BLK,0.0004466624479922775,0.8762603499807274,0.8022446801151851,0.786325434906033,0.7121599130704106,0.7685862986798996,0.5826010721679715,0.45751899611241076
BMY,0.0002981522309801617,0.9357568030670661,0.9119882187310936,0.8913533146993934,0.7801355127358495,0.7801088026673126,0.8011474738295365,0.8122231163192715
BRK-B,0.00019007247362790822,0.9345327138868011,0.8113099179216176,0.7368553885696276,0.5790253204581417,0.5562628550446314,0.5485946300854799,0.37479651018773585
BRO,0.0002595875698881951,0.9496355623418525,0.9210117259453967,0.9022798372432819,0.7027469543598228,0.6955167607731182,0.692860302364233,0.7545624381095729
BSX,0.0004836836236005585,0.9200825532374487,0.8708748410364442,0.7999301666731827,0.771023290290703,0.8212335947117021,0.9220788083820738,1.299619443695191
BWA,0.0005182189269758569,0.9992583799589463,0.976560663459445,0.9142682478497717,0.8585917341103556,0.8410178030589599,0.7987699141440232,0.6444446147523938
BXP,0.0004247508250730713,0.7906908554732808,0.7208308845312077,0.7048820152511394,0.6947519062529796,0.7235553808430614,0.7395582630391767,0.7003735712217347
C,0.0008561005647506248,1.0619863641258636,1.0161871525243789,0.9128434469859935,0.9163650444574252,0.97652593234767,1.045917900454425,1.2241821165803857
CAG,0.00022428738589610746,0.9782021933156234,0.9837215937687326,1.0217247889974523,0.8643025913102438,0.7021919337110025,0.6092534135091955,0.42449123221967167
CAH,0.00033823507386281635,0.9485239523005751,0.9164937289056576,0.8795082881001757,0.7793692229591042,0.7452093834730249,0.7503906921050325,0.84349519534413
CB,0.00038367202591009785,0.9191320988756173,0.8245473499703205,0.7029230697195122,0.5534640828727274,0.45505587047361723,0.3427790382272017,0.26296912198807826
CCEP,0.0003649971326165691,0.981217137851674,1.0231760950288793,1.0108365916186852,0.83888969914135,0.7944112806645864,0.7269461522178896,0.5328812849237162
CCI,0.0007548891759426002,1.0656724517154532,1.0426667937975937,0.96707343075604,0.9120968103951068,1.0246724438194277,1.3178063383993832,1.3997191875866424
CCK,0.0008716836116607046,0.9931729622451754,1.0382357260796657,1.077635146631785,0.9939465517444971,0.9026942434237635,0.711077367177263,0.394219158433201
CCL,0.0008529178097523728,0.9934230868477822,0.9493086442792639,1.0127387045530318,0.910012920317208,0.7773547915316549,0.7352154639532208,0.5855135041383106
CCU,0.0003128020797144666,1.012452248146425,0.9875509280273441,0.9615042058493326,0.9397783257603229,0.9188652038610019,0.9386291172475405,0.8528309976079717
CDNS,0.000665343987763771,0.9163431174502317,0.8457014260270821,0.8134646845639191,0.7262189728456463,0.7972573170979116,0.8939149336591479,1.0339010853494912
CHD,0.000218940832045509,0.8708976079081845,0.7948592687278032,0.752920215060603,0.5939845409211926,0.485403798024573,0.32649519738250404,0.271812699871534
CHRW,0.0003790448885960371,0.8607561232235176,0.7838255386190883,0.7186743530832378,0.4950006798753171,0.44560977822587816,0.337723908743455,0.34147291607499974
CI,0.0005347364862724323,0.9587946143447121,0.9494151139426135,0.9278754660737624,0.9419385097109725,0.9521040559080761,0.898309093958606,0.8101073921326364
CIEN,0.0015080831993461942,0.9894680334929542,0.9519805050775706,0.9414482026208638,0.9390412630219042,1.0026080302446736,1.1103996706996802,1.0616472771886094
CINF,0.00033017114155393614,0.7817349227645596,0.7713882602264563,0.7690866036911466,0.6354274923634389,0.5758586645016863,0.5494712956862303,0.44752508299006444
CL,0.0001818772443569746,0.8805101849612635,0.7868868557679514,0.7158392239288335,0.5236601845728266,0.3842613667591568,0.3228027748654766,0.2567794390236848
CLF,0.001627422260770851,1.0262677892012577,1.0282394075891386,1.0287188872888413,1.0471575034362353,1.1499513497886211,1.2458263920972632,1.2298142686736506
CLX,0.00022589142064072,0.8971147429892818,0.806689535319509,0.8086295861723148,0.5986660022881936,0.4581191201767779,0.374080563963145,0.32903620768550396
CMCSA,0.0004041129079968674,0.8250641891090923,0.7256871063560422,0.6647599880192178,0.545835158522442,0.5885775496557043,0.5952634194167029,0.5623301342070665
CMI,0.0005561955188434825,0.9015613019406074,0.866251211775215,0.8669567500206531,0.8993838694824777,0.9641236247278069,0.8407308106216842,0.6496531118819427
CMS,0.0003328248605764945,1.0459367023508193,1.0917404489213465,1.2142845867622207,1.1411070770244194,1.010486767158216,1.2011237212501142,1.326142461511707
CNP,0.00048286561706327056,0.9871490628154852,0.925024663998466,0.868613837113571,0.7261480527111764,0.7431717873799902,0.8235531650753355,0.795838177232293
CNX,0.0011323374267477755,1.0032447168114962,0.9343923262258581,0.8410916066341729,0.8764299289548575,0.9686887139134303,0.9159695830131476,0.7132873603096445
COF,0.000855289318983134,0.8879641737111884,0.8114693474661208,0.8316887788736457,0.7836775718726877,0.7741897788041021,0.6585204235666117,0.5477965730526966
COO,0.00041479267127844,0.9940569403603944,0.9558521287732966,0.9676945414742678,0.9908266866990011,0.8763348697488653,0.8653472589962776,0.989874322385067
COP,0.0004394892640973259,0.9281104494293595,0.9397083751027412,0.945928413680777,0.8275080291343699,0.7402117100719945,0.8406561677134582,0.8915816211830696
COR,0.0003362630226512353,0.915581638386404,0.8722565469902266,0.8402322283745575,0.7774481222917392,0.7578020476313401,0.7652419447293463,0.7565308835853676
COST,0.0002948686453799225,0.8999643493913712,0.8260220490934302,0.7787661500265263,0.6523772012671044,0.5696602295796656,0.4861471505981607,0.40409360827604385
CPB,0.00021368710574456892,0.8827100153656248,0.8162219903558403,0.7635409576093704,0.6314588187722208,0.5766367929672368,0.5298806168635186,0.4603479411915631
CPRT,0.00045096515388579495,0.9236329951927708,0.9198732050105446,0.9230504530619841,0.7781308946181525,0.8132210091618162,0.7974903824728812,0.5490747513530537
CPT,0.0003691719703143045,0.8158217734775509,0.7501337481661934,0.7010516794255333,0.5836604836470495,0.6516477068359212,0.6922912083985613,0.6828681563624304
CSCO,0.0005262141461509464,0.8565385914874468,0.8017860884084083,0.7910339805572354,0.7520264841606024,0.8109568603550462,0.9389977209232281,0.7338833577794193
CSGP,0.0006425474139494046,0.9564376654608188,0.9115436678514631,0.9092704842510317,0.74323842527352,0.6005716649977456,0.5167400811913981,0.531004016840014
CSR,0.0003227325646963968,0.7339856280501512,0.6540450786777705,0.5926847300923225,0.45506802482812314,0.3733999017776829,0.3422431512892174,0.25581506302143914
CSX,0.0004081258299873789,0.9028342033836689,0.8524170440950047,0.8097239284973315,0.7260677612609995,0.79000429237091,0.6812238594171582,0.5292503993903984
CTAS,0.00035696990575192214,0.8790567590284117,0.8331222643193544,0.8289605405268642,0.6651986325423287,0.5072735185255955,0.4804017960315545,0.6518801162666681
