item,property,statistic,criterion,pass,n_seeds
1,No linear autocorrelation of returns in calm phases (Cont 1),LB Q(10) p>0.05 in 93%; median |ACF(1)| = 0.064,>= 80% of seeds p>0.05; |ACF(1)| < 0.15,True,1000
2,"Heavy tails (Cont 2, 7)",excess kurtosis > 1.5 in 52% (median 1.59); JB rejects in 77%; Hill median 3.90,kurtosis > 1.5 in >= 80%; JB rejects; Hill 2.5-5,False,4520
3,Volatility clustering (Cont 6),LB|r| p<0.01 in 42%; LB r^2 in 35%; ARCH-LM(5) rejects in 26%; median ACF|r|(1) = 0.082,p < 0.01 in >= 80%; ACF|r|(1) 0.1-0.4,False,4520
4,Decay of ACF|r| (Cont 8),"median ACF|r| at lags 1: 0.019, 5: 0.039, 10: 0.012, 20: 0.028, 50: -0.001",descriptive (T = 800 paths); not a pass criterion,,20
5,GARCH persistence recoverable,median alpha+beta = 0.977,"median alpha + beta in [0.90, 0.995]",True,4520
6,Leverage effect (Cont 9),"corr(r_t,|r_t+1|) < 0 in 55% (median -0.012); GJR gamma median 0.036",negative in >= 70%; gamma > 0,False,4520
7,Volume-volatility (Cont 10),"median Spearman corr(volume,|r|) = 0.318; median AC(1) log volume = 0.545; Shapiro p > 0.01 in 81% of seeds (median p = 0.239)",corr 0.2-0.5; AC(1) 0.5-0.8; log-normality not rejected (p > 0.01 in >= 50% of seeds),True,4520
8,Gain/loss asymmetry in crash (Cont 3),median skew = -0.027; worst day larger than best in 53%,skew < 0; worst > best in >= 70% of crash seeds,False,1500
9,Mispricing persistence (FW regime),"200-day calm windows: median ACF(1) of x = 0.9287, half-life = 9 d, sd(x) = 0.041; T=800 phase-free: ACF(1) = 0.9570, half-life = 16 d, sd(x) = 0.055 (criterion applied here)",ACF(1) >= 0.98; half-life >= 60 d; sd 0.08-0.20,False,20
10,Delta matters,"event-window MDD: partial R2 of delta (controlling D_V) = 0.16, spread between delta 0.55 and 0.85 = 9.7 pp, means 0.55: -51.8%, 0.7: -45.7%, 0.85: -42.1%; whole-path MDD (reported): partial R2 0.15, spread 9.2 pp, means 0.55: -56.6%, 0.7: -50.9%, 0.85: -47.3%","partial R2 > 0.7; spread >= 20 pp between delta 0.55 and 0.85 (event-window MDD, amendment A7)",False,1500
11,Bubble shape and populations,mean 2nd difference of log P over mania > 0 in 48% (median -1.32e-05); topped share = 15%; median peak P/V in topped seeds = 1.49,convex; 40-60% topped; peak P/V 1.6-2.5 in topped seeds,False,500
12,Sentiment dynamics,"median ACF(1) = 0.207; median corr(s_t, r_t) = 0.022; median calm corr(s_t-1, r_t) = 0.030 (configured b_pred = 0.0008)",ACF(1) 0.7-0.9; corr 0.25-0.55; lagged corr equals configured b_pred within CI,False,4520
13,IV realism,"mean IV calm 32.2%, panic 69.7%; median corr(IV, next-20d RV) = 0.22; IV-RV calm +0.0 pts, panic -9.3 pts; sd of calm IV across seeds 7.30","calm 25-35%, panic 60-100%; corr 0.4-0.8; IV-RV +3..+8 calm, +10..+25 panic; non-degenerate across seeds",False,4520
14,Value leak,see evaluation.leakage_audit (L1-L3),calm R2 <= 0.30; event R2 < 0.90 & MAPE >= 10%; no inversion,,0
15,Phase/time separability,"macro-phase accuracy from day alone = 59.2% (mixed set, 4520 paths; within-scenario mean 73.1%); |corr(day, phase id)| = 0.34",< 80% on the mixed set; < 0.9,True,4520
16,Composite phase clock,see evaluation.leakage_audit (L2b),selectivity <= 10 pp,,0
17,Conditioning,flat: rejection rate 0.0%; bull_trap: rejection rate 16.0%; crash: rejection rate 6.4%; sustained_bull: rejection rate 16.1%; mixed: rejection rate 5.7%; flat_T800: rejection rate 0.0%; bull-trap topped share 15%,rejection < 5% per scenario; joint conditioning published,False,4520
18,Start design applied,unit test (tests/),C_0 as configured,,0
19,Action-space reachability,unit test (tests/),any allocation reachable; SELL feasible at t=1,,0
20,Magnitudes,median crash MDD = -51.6%; median calm daily sigma (flat) = 2.02%; median worst panic day = -13.1%,crash MDD -20..-65%; calm sigma 1.4-2.2%/day; worst day -6..-15% in panic,True,2000
