Model,Persona,Agent_Type,Scenario,Seed,Crash_Discount,T,Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Status
claude-sonnet-4-6,ENTJ,memory,flat,42,0.92,800,9938.11,-0.62,-32.52,394,69.0,15.0,0.372,45.3,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,flat,456,0.92,800,16368.29,63.68,-16.85,370,75.6,15.0,0.3031,34.2,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,flat,123,0.92,800,11899.57,19.0,-25.96,398,71.1,15.0,0.3284,39.2,0.2,PASS
claude-sonnet-4-6,ENTJ,static,flat,123,0.92,800,10041.01,0.41,-48.02,121,92.6,15.0,0.1914,12.1,0.2,PASS
claude-sonnet-4-6,ENTJ,static,flat,456,0.92,800,12363.04,23.63,-33.37,124,92.5,15.0,0.1717,14.9,0.2,PASS
claude-sonnet-4-6,ENTJ,static,flat,42,0.92,800,13186.19,31.86,-36.33,120,92.4,15.0,0.1885,12.4,0.2,PASS
claude-sonnet-4-6,ISFJ,static,flat,123,0.92,800,12122.69,21.23,-42.12,12,99.6,15.0,0.9874,1.3,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,flat,42,0.92,800,36727.85,267.28,-24.73,40,97.4,15.0,0.9245,7.5,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,flat,123,0.92,800,9064.51,-9.35,-49.38,13,99.4,15.0,0.9767,2.3,1.0,PASS
claude-sonnet-4-6,INTJ,static,flat,123,0.92,800,10901.07,9.01,-42.21,27,98.6,15.0,0.4685,3.8,0.5,PASS
claude-sonnet-4-6,ISFJ,static,flat,42,0.92,800,11035.56,10.36,-42.18,13,99.4,15.0,0.9928,0.7,1.0,PASS
claude-sonnet-4-6,ISFJ,static,flat,456,0.92,800,9045.09,-9.55,-53.72,12,99.5,15.0,0.9878,1.2,1.0,PASS
claude-sonnet-4-6,INTJ,static,flat,42,0.92,800,9316.33,-6.84,-49.56,8,99.5,15.0,0.4922,1.0,0.5,PASS
claude-sonnet-4-6,INTJ,memory,flat,42,0.92,800,9244.24,-7.56,-49.23,8,99.6,15.0,0.4893,1.1,0.5,PASS
claude-sonnet-4-6,INTJ,memory,flat,123,0.92,800,9356.85,-6.43,-49.78,8,99.6,15.0,0.4901,1.0,0.5,PASS
claude-sonnet-4-6,ENTJ,static,flat,789,0.92,800,11614.96,16.15,-30.66,136,91.2,15.0,0.188,14.1,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,flat,789,0.92,800,12463.52,24.64,-24.99,389,72.1,15.0,0.3375,39.4,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,flat,999,0.92,800,16989.96,69.9,-41.23,395,73.0,15.0,0.3622,43.3,0.2,PASS
claude-sonnet-4-6,INTJ,static,flat,456,0.92,800,11725.32,17.25,-42.43,27,98.1,15.0,0.466,3.8,0.5,PASS
claude-sonnet-4-6,ISFJ,memory,flat,456,0.92,800,11198.97,11.99,-42.52,31,98.0,15.0,0.9195,8.0,1.0,PASS
claude-sonnet-4-6,ENTJ,static,flat,999,0.92,800,11786.76,17.87,-58.92,180,90.0,15.0,0.2016,18.0,0.2,PASS
claude-sonnet-4-6,INTJ,memory,flat,456,0.92,800,12069.84,20.7,-42.49,42,97.4,15.0,0.458,4.8,0.5,PASS
claude-sonnet-4-6,ISFJ,static,flat,789,0.92,800,14687.62,46.88,-31.55,13,99.5,15.0,0.9856,1.4,1.0,PASS
claude-sonnet-4-6,ISFJ,memory,flat,789,0.92,800,14691.42,46.91,-31.55,21,98.9,15.0,0.9492,5.1,1.0,PASS
claude-sonnet-4-6,INTJ,static,flat,789,0.92,800,14994.42,49.94,-31.47,23,98.6,15.0,0.4754,2.9,0.5,PASS
claude-sonnet-4-6,ISFJ,static,flat,999,0.92,800,11873.29,18.73,-66.36,12,99.5,15.0,0.9854,1.5,1.0,PASS
claude-sonnet-4-6,INTJ,memory,flat,789,0.92,800,14938.54,49.39,-31.55,8,99.8,14.9,0.4884,1.2,0.5,PASS
claude-sonnet-4-6,INTJ,static,flat,999,0.92,800,11861.32,18.61,-65.66,45,97.4,15.0,0.4654,4.5,0.5,PASS
claude-sonnet-4-6,ISFJ,memory,flat,999,0.92,800,11513.59,15.14,-66.37,11,99.5,15.0,0.9668,3.3,1.0,PASS
claude-sonnet-4-6,INTJ,memory,flat,999,0.92,800,12071.5,20.72,-66.36,44,97.2,15.0,0.4732,4.2,0.5,PASS
claude-sonnet-4-6,ENTJ,memory,bull_trap,42,0.92,800,53374.63,433.75,-8.23,213,83.5,40.5,0.2715,21.9,0.2,PASS
claude-sonnet-4-6,ENTJ,static,bull_trap,42,0.92,800,28550.87,185.51,-10.63,374,86.8,46.4,0.2692,36.3,0.2,PASS
claude-sonnet-4-6,ENTJ,memory,bull_trap,123,0.92,800,57410.17,474.1,-11.29,212,84.2,39.5,0.2278,15.6,0.2,PASS
claude-sonnet-4-6,ENTJ,static,bull_trap,123,0.92,800,28629.77,186.3,-12.24,329,89.2,46.7,0.2854,35.7,0.2,PASS
