b,variant,unique_seeds,S_persona,S_directive,S_market,r2,seconds
0,relabelled (as run),5,0.9650085635399093,0.001546284391089752,0.03344515206900116,0.9794950271894693,478.2134084701538
0,copies in one CV group,5,0.9737383518370264,5.202038282505738e-05,0.02620962778014847,0.9658520676348613,477.107399225235
1,relabelled (as run),5,0.969177518805246,0.000992474955090695,0.029830006239663184,0.9794898274678755,476.43352794647217
1,copies in one CV group,5,0.9790513368722014,7.146479784070209e-06,0.02094151664801444,0.9677568654604358,476.23198533058167
2,relabelled (as run),6,0.9690663806351235,0.0007876499756069335,0.03014596938926954,0.9744797528511935,475.5746624469757
2,copies in one CV group,6,0.9756881277089983,1.5086205614412906e-05,0.02429678608538746,0.967322334321758,478.7883336544037
3,relabelled (as run),6,0.9698488387927877,0.0007950785210042038,0.029356082686207922,0.9763063825013663,477.8061103820801
3,copies in one CV group,6,0.9771364917010337,1.239347057494843e-06,0.022862268951908828,0.9689341975853178,368.5240008831024
4,relabelled (as run),5,0.9680913721130866,0.0014814664743037626,0.030427161412609816,0.9797646956781629,369.1994857788086
4,copies in one CV group,5,0.9782207615158388,4.5168611647071254e-05,0.021734069872514236,0.9665637442928234,373.74289536476135
5,relabelled (as run),4,0.9663229994596431,0.0028610780206507077,0.03081592251970621,0.9833935237768396,369.36142086982727
5,copies in one CV group,4,0.9790810834135546,9.942619109554224e-05,0.02081949039534968,0.9644789911008367,299.6991620063782
6,relabelled (as run),5,0.9736183046574935,0.0008964363479042845,0.02548525899460193,0.9800684685343536,374.579384803772
6,copies in one CV group,5,0.9810977887827917,1.0313472836582642e-05,0.01889189774437129,0.9683617923880697,374.0869607925415
7,relabelled (as run),4,0.9643788843159451,0.0024960465697951104,0.03312506911425978,0.9840869287158149,399.22020053863525
7,copies in one CV group,4,0.9801990327769632,3.414769723475002e-05,0.019766819525802257,0.9685153110754677,330.20049571990967
8,relabelled (as run),7,0.9729985647020956,0.0005476641619954004,0.02645377113590917,0.9731612060805714,411.58585572242737
8,copies in one CV group,7,0.9781851663575296,6.5881101145064195e-06,0.021808245532355983,0.969414253160429,415.2025423049927
9,relabelled (as run),6,0.9784384644978592,0.0004989499128091697,0.0210625855893317,0.9754580651347395,415.9421639442444
9,copies in one CV group,6,0.9817887474252611,1.8551918051878278e-05,0.01819270065668688,0.9678775714750997,413.52667570114136
10,relabelled (as run),3,0.9615074460813405,0.0026741770880804286,0.03581837683057912,0.9868522921639983,405.6269040107727
10,copies in one CV group,3,0.9743894004772162,3.4142985305515054e-05,0.02557645653747828,0.9661045062055388,183.42924094200134
11,relabelled (as run),7,0.9772541838533877,0.00016636896551947916,0.022579447181092706,0.9735230361203799,291.8120861053467
11,copies in one CV group,7,0.9771032714720949,1.9414580502323542e-05,0.022877313947402698,0.970287874683726,267.5112283229828
