design,window_start,surrogate_seed,n,r2,S_persona,S_directive,S_market,S_start,S_state,seconds
A_start_at_target,1,0,1200,0.9672776850862085,0.7203320085320469,8.816831397164683e-05,0.040748731025841145,0.2388310921281403,0.0,366.4025866985321
A_start_at_target,1,1,1200,0.9672390204042662,0.688325834368316,9.173675127136896e-05,0.041019930317601525,0.2705624985628112,0.0,367.12321305274963
A_start_at_target,1,2,1200,0.9675632210004657,0.6391654469087567,7.134392204759851e-05,0.04333705298797978,0.317426156181216,0.0,374.2434368133545
A_start_at_target,1,3,1200,0.9673585562088521,0.638726061137348,6.560402629513732e-05,0.040761556609410554,0.32044677822694656,0.0,365.15826630592346
A_start_at_target,1,4,1200,0.9674162455208273,0.7472882223712329,6.533226379713797e-05,0.040372974334358894,0.21227347103061103,0.0,370.3884234428406
A_start_at_target,1,5,1200,0.9674649518466019,0.7087244267669115,8.02510556828366e-05,0.03960729020596013,0.25158803197144547,0.0,364.5426070690155
A_start_at_target,1,6,1200,0.9672289302719548,0.7138410307661024,9.987625879982356e-05,0.04113869967669783,0.2449203932983998,0.0,288.33311653137207
A_start_at_target,1,7,1200,0.9673763981134816,0.6659609996630347,0.00010247491007845256,0.041032804951504756,0.292903720475382,0.0,289.3059434890747
A_start_at_target,1,8,1200,0.9673605086481906,0.7144749884049563,0.0001056125010104346,0.040080095496766034,0.24533930359726722,0.0,292.62302255630493
A_start_at_target,1,9,1200,0.9673182284990877,0.7354096502160781,8.712783544514931e-05,0.04041606182864518,0.22408716011983168,0.0,288.58984422683716
A_start_at_target,26,0,1200,0.9705380241360366,0.9120314286713965,4.875129725303387e-05,0.03481597827785253,0.0531038417534977,0.0,296.6281113624573
A_start_at_target,26,1,1200,0.9707134411868424,0.9205631479929258,5.406101334942451e-05,0.034036732360636035,0.04534605863308887,0.0,295.2569091320038
A_start_at_target,26,2,1200,0.970685105242865,0.9038709673809043,4.969109680357107e-05,0.036427635501224374,0.05965170602106746,0.0,318.9980881214142
A_start_at_target,26,3,1200,0.9707083679303244,0.9128476544370433,4.2624400831865424e-05,0.034367693201812266,0.05274202796031247,0.0,324.105655670166
A_start_at_target,26,4,1200,0.970626594953994,0.9233165768797251,7.201361312410906e-05,0.034011520819754074,0.042599888687396975,0.0,317.82910919189453
A_start_at_target,26,5,1200,0.9707593947443613,0.9184781102875782,4.96675480393588e-05,0.032949086196773135,0.04852313596760931,0.0,326.373854637146
A_start_at_target,26,6,1200,0.9706688982693207,0.9162059325309552,6.13598861242551e-05,0.0347745454929407,0.0489581620899799,0.0,323.974081993103
A_start_at_target,26,7,1200,0.9708067282302165,0.918972002623178,5.763065097492973e-05,0.0340186844479605,0.04695168227788671,0.0,325.92701029777527
A_start_at_target,26,8,1200,0.9707978105633791,0.9092636114080764,5.2853470621041605e-05,0.03520311254928839,0.055480422572014174,0.0,437.5772531032562
A_start_at_target,26,9,1200,0.9705649645261302,0.9031856427822037,4.901662057135236e-05,0.036287981553984675,0.060477359043240475,0.0,442.4024088382721
