[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=False | observables=absent (v2 constants)
# E5.7(b) L1 extended candidate set -- multiple_A_P25-P75

Panel `docs\env_v2\generated\v2_1\_panels\sep_phase5_multiple_A_P25-P75.pkl`, 1600 paths / 320000 rows; in-sample; k log-median-optimal; 500-resample path bootstrap on the within-5 % share.

| candidate | median APE | within 1 % | within 2 % | within 5 % [CI] | above floor |
|---|---|---|---|---|---|
| k*price | 0.0644 | 0.0925 | 0.1844 | 0.4163 [0.4057, 0.4263] | 0.9074 |
| lsq(price+P/PE+F) | 0.0661 | 0.0868 | 0.1707 | 0.4001 [0.3893, 0.4109] | 0.9132 |
| lsq(price+P*DY+F) | 0.0661 | 0.0867 | 0.1710 | 0.3997 [0.3889, 0.4109] | 0.9133 |
| lsq(price+F) | 0.0663 | 0.0871 | 0.1718 | 0.4006 [0.3895, 0.4114] | 0.9130 |
| lsq(price) | 0.0668 | 0.0865 | 0.1704 | 0.3947 [0.3842, 0.4056] | 0.9135 |
| lsq(price+P*DY) | 0.0668 | 0.0860 | 0.1718 | 0.3963 [0.3858, 0.4075] | 0.9140 |
| lsq(price+P/PE) | 0.0668 | 0.0861 | 0.1711 | 0.3963 [0.3857, 0.4077] | 0.9139 |
| lsq(price+P/PE+P*DY) | 0.0668 | 0.0860 | 0.1721 | 0.3963 [0.3859, 0.4076] | 0.9140 |
wrote C:\Users\ayesha.gull01\FinPersona\docs\env_v2\generated\v2_1\e5_7b\multiple_A_P25-P75/l1ext.json in 9 s
