policy,n_cells,payer_share,return_pct_off,return_pct_on,return_pct_delta,mdd_pct_off,mdd_pct_on,mdd_pct_delta,turnover_off,turnover_on,turnover_delta,cost_paid_off,cost_paid_on,cost_paid_delta,mcr_0.05_off,mcr_0.05_on,mcr_0.05_delta,band_mas_off,band_mas_on,band_mas_delta,mean_cash_share_off,mean_cash_share_on,mean_cash_share_delta
always_buy,1200,0.88,23.056372993434604,25.635335010867227,2.5789620174326195,-28.826677235547837,-28.430809765878834,0.3958674696690063,0.4666666666666667,0.4862526609820627,0.019585994315396094,2.3333333333333335,2.431263304910314,0.09792997157698051,0.4824309374211297,0.4807798016982172,-0.0016511357229124935,0.36666666666666664,0.3651876567517771,-0.0014790099148896045,0.0,0.0022185148723344356,0.0022185148723344356
always_hold,1200,0.88,12.312049519164033,13.509122535283783,1.197073016119752,-16.213577021159733,-15.925823777441943,0.2877532437177882,0.0,0.0,0.0,0.0,0.0,0.0,0.12607715366886935,0.12575177763372206,-0.00032537603514728997,0.0017185762681072763,0.0017604552112593242,4.187894315204773e-05,0.45973163665272476,0.46327751515163546,0.0035458784989106586
always_sell,1200,0.88,-0.02666666666666373,-0.026283782927471633,0.00038288373919209695,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0,2.6666666666666665,2.6666666666666665,0.0,0.5175690625788703,0.5175690625788703,0.0,0.43333333333333335,0.43333333333333335,0.0,1.0,1.0,0.0
buy_day1_hold,1200,0.88,23.056372993434604,25.3000292877608,2.2436562943261977,-28.826677235547837,-28.275194332186576,0.5514829033612604,0.4666666666666667,0.46667049550405865,3.828837391921062e-06,2.3333333333333335,2.333352477520293,1.9144186959605588e-05,0.4824309374211297,0.47530881042949813,-0.0071221269916314925,0.36666666666666664,0.3602764682161664,-0.006390198450500261,0.0,0.009598497140944002,0.009598497140944002
constant_mix,1200,0.88,12.012891025707033,13.324364586506835,1.3114735607998016,-16.198509790618274,-15.992642305034387,0.20586748558388598,0.3025849608090249,0.30663675382636985,0.0040517930173449715,1.5129248040451246,1.5331837691318495,0.020258965086724867,0.10078833712375934,0.10082384104938277,3.550392562342415e-05,0.0,0.0,0.0,0.4662955000187376,0.4663705596037149,7.50595849772261e-05
mandate_conditional_oracle,1200,0.88,13.96768525947685,15.29893559208894,1.331250332612089,-15.945685799789256,-15.730385502254396,0.215300297534862,0.8079423780889121,0.8144214021609432,0.006479024072031008,4.039711890444561,4.072107010804715,0.03239512036015506,0.002767698637866339,0.0029563533031580227,0.0001886546652916842,0.0012206098957488565,0.00122818928675647,7.579391007613449e-06,0.477429809816382,0.4778855683210431,0.0004557585046610618
mean_reversion,1200,0.88,3.8214662322140263,4.7372995298427005,0.9158332976286749,-18.747893483332152,-18.482812880850727,0.26508060248142634,1.417834303322181,1.4240204277457762,0.00618612442359516,7.0891715166109055,7.12010213872888,0.03093062211797579,0.4007672117780657,0.400083783929478,-0.0006834278485877199,0.323585,0.32277472470006485,-0.0008102752999351178,0.6164939327973169,0.6180002661295081,0.001506333332191241
momentum,1200,0.88,14.381587724928274,15.81406806595654,1.4324803410282725,-20.78321388183073,-20.566044577248807,0.2171693045819226,4.580287887206155,4.605721249094325,0.025433361888170473,22.901439436030774,23.028606245471625,0.12716680944085243,0.5401140208689434,0.5394275388788947,-0.0006864819900485777,0.3940275,0.39355019555861087,-0.0004773044413891713,0.4104125,0.41112845666208375,0.0007159566620837477
random,1200,0.88,8.536020905101553,9.641300505210133,1.105279600108578,-18.414830576560913,-18.172272616304305,0.24255796025660933,35.26128631839405,35.442671059027454,0.18138474063340604,176.3502777603883,177.2574328841204,0.9071551237320697,0.3729237755051135,0.3729098294934181,-1.3946011695424865e-05,0.2715416958186702,0.27152747362966817,-1.4222189002120953e-05,0.5240148940239032,0.5240923483334354,7.745430953218243e-05
v_oracle,1200,0.88,21.81385892334334,23.12991565114994,1.316056727806602,-18.052755223475256,-17.82205271480825,0.2307025086670081,3.0306291975548203,3.0498026862713647,0.01917348871654431,15.153145987774103,15.249013431356826,0.0958674435827216,0.4052547569181543,0.40506254797527336,-0.00019220894288092183,0.3714867867958737,0.3709004544378395,-0.00058633235803429,0.5538121103944894,0.5547762973959758,0.0009641870014863093
