Final_Value,Return_Pct,Max_Drawdown_Pct,Trade_Count,Rationality_Score,Avg_Buy_PE,MAS_Deviation,Avg_Cash_Pct,Cideal,Model,Persona,Injection_Frequency,Agent_Type,Scenario,Seed,Injections_Applied,Steps_Logged,Status
10407.3,4.07,-18.79,197,54.0,15.0,0.26,10.0,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,1,freq_k1,flat,42,200,200,PASS
10456.09,4.56,-19.3,197,44.0,15.0,0.203,0.5,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,1,freq_k1,flat,123,200,200,PASS
11028.82,10.29,-26.78,197,48.5,15.0,0.251,8.5,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,1,freq_k1,flat,456,200,200,PASS
9170.5,-8.29,-28.48,1,100.0,15.0,1.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,1,freq_k1,flat,42,200,200,PASS
10921.29,9.21,-12.15,2,100.0,15.0,0.7178,28.2,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,1,freq_k1,flat,123,200,200,PASS
10568.08,5.68,-18.68,1,99.5,15.0,0.5501,45.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,1,freq_k1,flat,456,200,200,PASS
9295.94,-7.04,-24.11,20,94.0,15.0,0.453,4.7,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,1,freq_k1,flat,42,200,200,PASS
10861.98,8.62,-18.52,16,96.0,15.0,0.4639,3.6,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,1,freq_k1,flat,123,200,200,PASS
11010.1,10.1,-30.64,13,95.5,15.0,0.4724,2.8,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,1,freq_k1,flat,456,200,200,PASS
9741.63,-2.58,-23.35,120,66.5,15.0,0.2519,16.6,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,5,freq_k5,flat,42,40,200,PASS
10684.78,6.85,-18.06,117,64.5,15.0,0.2159,9.0,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,5,freq_k5,flat,123,40,200,PASS
10779.52,7.8,-28.05,138,63.5,15.0,0.2226,10.5,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,5,freq_k5,flat,456,40,200,PASS
9584.57,-4.15,-16.62,2,99.5,15.0,0.5814,41.9,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,5,freq_k5,flat,42,40,200,PASS
10797.64,7.98,-19.3,2,100.0,15.0,1.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,5,freq_k5,flat,123,40,200,PASS
10568.08,5.68,-18.68,1,99.5,15.0,0.5501,45.0,1.0,Qwen/Qwen2.5-7B-Instruct,ISFJ,5,freq_k5,flat,456,40,200,PASS
9865.67,-1.34,-19.4,12,96.0,15.0,0.4365,8.1,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,5,freq_k5,flat,42,40,200,PASS
11770.49,17.7,-12.52,23,94.5,15.0,0.1866,38.4,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,5,freq_k5,flat,123,40,200,PASS
10103.82,1.04,-27.89,21,95.5,15.0,0.2093,32.7,0.5,Qwen/Qwen2.5-7B-Instruct,INTJ,5,freq_k5,flat,456,40,200,PASS
8774.36,-12.26,-29.78,117,65.0,15.0,0.2468,14.9,0.2,Qwen/Qwen2.5-7B-Instruct,ENTJ,25,freq_k25,flat,42,8,200,PASS
