seed,accepted,reason,sd_r,acf1,iv_mean,sd_x,mean_x,V_growth
282000,True,,0.020480062629256134,-0.057449440554076886,33.7979798629418,0.022828179624559467,0.0017982463821513,1.4645166916297974
282001,False,"sustained_bull: x range [-0.14, 0.15] outside [-0.1, 0.15]",0.029704853865730258,0.08900002093918441,50.63904809439673,0.04922084351405311,-0.004553537280489595,1.01246860345633
282002,True,,0.018046159689828513,0.03829543778266008,31.43876533110759,0.02587837709553037,-0.00011762522172990619,1.40009749097497
282003,True,,0.016566014390887458,0.02233622857926574,30.87982779771047,0.018700626880866364,0.004441441341643102,1.8611326325345094
282004,True,,0.019633101304294104,0.03658207721813998,32.56128208466671,0.020266858293393947,0.0022503837550339086,1.7047179908526635
282005,True,,0.017651925130243287,0.04423817560360326,28.08960925755982,0.021918903045981337,0.008130154352119182,2.2630103861116635
282006,False,sustained_bull: V_T/V_1 1.01 < 1.2,0.019974544450009533,0.037318450713785346,34.641824827529,0.02007348948958721,-0.00018604669524265407,1.0094135491131113
282007,False,"sustained_bull: x range [-0.52, 0.39] outside [-0.1, 0.15]",0.08813736858944277,-0.025046569196731715,116.08829279539404,0.12019617093243405,-0.0013150910305839425,1.195723509800852
282008,False,"sustained_bull: x range [-0.15, 0.19] outside [-0.1, 0.15]",0.024603624521100462,-0.11313920037506783,34.50784163903673,0.03953667525485526,0.0011633426497980495,1.4892765332438471
282009,True,,0.01958727798762448,0.0340482360008476,33.23082149114536,0.02343288389317717,-0.005743989596357239,1.5172094857896734
282010,True,,0.018043311197633232,0.05111511239343678,30.670188148514153,0.02347857157213974,-0.0062496559675693985,1.6931884053059576
282011,True,,0.02406220323710692,-0.04968477621165866,39.41679445549153,0.028812927822691563,-0.00091992356643679,1.5603440669488375
282012,True,,0.020521308706690267,0.02000116883468088,34.590189572028784,0.024763770131741546,0.004486904272395699,1.63730775979114
282013,True,,0.020498635884746597,-0.03506565997525323,34.1657426357893,0.018684225499539308,0.006913979668406994,1.759305465862934
282014,True,,0.02092860023902075,0.019393846909194924,33.85259529854086,0.024248943063134416,-0.0008858860668474264,1.6361655314030836
282015,True,,0.019949136543645458,-0.02943334378769608,33.2891749889749,0.023519945834714177,-0.003656450652639847,1.3413062421001873
282016,False,"sustained_bull: x range [-0.07, 0.33] outside [-0.1, 0.15]",0.029886717942810295,-0.03221089193579356,31.85017577924008,0.04745718192799551,0.012819165214862371,1.4199203005648935
282017,False,"sustained_bull: x range [-0.23, 0.10] outside [-0.1, 0.15]",0.031047190659390992,-0.03919111851785373,40.44748651927076,0.04282514969330789,-0.003342144196716145,1.9633672113166074
282018,True,,0.018653505369467808,-0.1323905179548842,30.871642163926694,0.014978499296967119,0.006165236545929416,1.3955895285292765
282019,True,,0.01841701522989523,0.0010947107007111784,31.770746185262354,0.018901123887995565,0.00877909020014289,1.2883852841333676
282020,True,,0.020938035716756623,-0.06943379513547772,28.33825567444821,0.02268909203579804,0.0012885074944955928,1.5621493609575365
282021,False,sustained_bull: V_T/V_1 1.14 < 1.2,0.020769563853382075,0.018360976390377946,31.64399780562836,0.02307098172115943,-0.0023389976363521474,1.1442772550124074
282022,True,,0.019870554199579782,-0.07618773677770015,29.277816055893826,0.0211479214069185,-0.007945188069925242,1.2200779320746238
282023,True,,0.018688686071957075,0.0157573617987178,29.267345404122388,0.021951633297381448,-0.004780549607303097,1.4810828516727874
282024,True,,0.02336533155961642,-0.06401558417030402,32.64254568689537,0.0247245853591656,0.0024136560863994346,2.1029867263463373
282025,True,,0.019055513482046437,-0.005902328867895988,28.514350513638973,0.01831396494350329,0.007505605924544952,1.7547785682763282
282026,True,,0.025302932472637072,-0.0760843074309701,39.263869546118514,0.03214592316326621,-0.0017044079056406213,2.1486803231947245
282027,False,"sustained_bull: x range [-0.03, 0.34] outside [-0.1, 0.15]",0.03081332970688999,-0.07545333128391295,31.33719998301709,0.04138202241721994,0.01145361819435705,2.102876365352628
282028,False,sustained_bull: V_T/V_1 1.06 < 1.2,0.021699655755982997,0.0006737776870943687,31.09047903460762,0.02940177050168898,-0.004127324780230183,1.064605491427742
282029,False,sustained_bull: V_T/V_1 1.16 < 1.2,0.02216537774325387,0.008034553255125063,33.60039894118504,0.031215349377631256,-0.008891444689862395,1.1611065722097766
282030,True,,0.015138441826511828,0.004228930750608347,25.083216352095043,0.012541882013868376,-0.006686905899965204,1.2880788596098238
282031,False,"sustained_bull: x range [-0.06, 0.34] outside [-0.1, 0.15]",0.031209202748538143,-0.03968480332607507,39.79728423498959,0.049211219826128104,0.011417846294202864,1.9939733983656756
282032,True,,0.01839437146294242,-0.0007343821309881714,31.591614321135253,0.01650111328681398,0.005427304207142058,1.4027192329545293
282033,False,"sustained_bull: x range [-0.16, 0.13] outside [-0.1, 0.15]",0.03153413866794724,0.05798423212717062,40.29508805475846,0.05337260527518565,-0.01195304006449274,1.1884505453517606
282034,False,"sustained_bull: x range [-0.16, 0.14] outside [-0.1, 0.15]",0.02505705015913895,-0.14770853711412207,35.903804182645445,0.043131632080361165,0.01045716757842857,1.1549288092691476
282035,True,,0.018841494327407986,0.045751075944245295,30.060776408333965,0.01926800276085313,0.00799763585745092,1.315244197248158
282036,True,,0.023438355563189846,-0.07923818120405411,35.433650184701975,0.029921069597878106,0.008001949933714215,1.648287800359369
282037,True,,0.018804662948380818,0.0003314402347095992,30.863872712297702,0.023741103804435844,0.008421399913713844,1.5993509443861171
282038,True,,0.0239158583233131,0.05299456378200918,37.755865417628385,0.03182904545923658,0.003918772245087516,2.0044534261736695
282039,True,,0.019481592870147134,0.0020904668019607994,31.878474415528398,0.02353296245932697,-0.007956622538112877,1.6931975771509502
282040,False,"sustained_bull: x range [-0.10, 0.07] outside [-0.1, 0.15]",0.02610558639457127,-0.0032431684876937975,33.589306921958354,0.030694002984069026,-0.0011032647079842494,1.892384632974283
282041,False,sustained_bull: V_T/V_1 1.02 < 1.2,0.020363863644808838,-0.04029648933103806,32.401518679358,0.01857185850261753,-0.0026204470947534617,1.019375391371285
282042,True,,0.01840027580815565,-0.039042962932601066,31.796195142995806,0.016859915464536183,-0.003194552891984318,1.3988563399370815
282043,False,sustained_bull: V_T/V_1 1.03 < 1.2,0.02148464079801796,-0.00442382575899211,32.091657876339035,0.018988986721223785,0.002621202813521636,1.0261464598166017
282044,True,,0.018781903517046165,0.020643120704526598,31.227006814968995,0.0154452167988684,0.008572859628711887,1.3785811346931762
282045,True,,0.019940989439365807,0.10260061285573724,30.254647855041423,0.025744227297001147,0.003371732967318055,1.8976333527423346
282046,True,,0.02198165121084197,-0.02445905418692362,27.24545027046276,0.02298263272513291,-0.007781268433627373,1.836295107733143
282047,True,,0.018938709113664194,-0.1373843662647263,34.499356550309955,0.023659077416085937,-0.0027019236402453816,1.312756627321068
282048,False,"sustained_bull: x range [-0.26, 0.05] outside [-0.1, 0.15]",0.025705983988020674,-0.09475071291421325,34.884350768524,0.03677949625563723,-0.007208325256625331,1.5226934271706325
282049,False,sustained_bull: V_T/V_1 1.03 < 1.2,0.020578731088374245,-0.014696962451408606,33.608961911162986,0.02317002385968065,-0.0016512653189138793,1.0335941013354237
282050,True,,0.018702659751428045,-0.0477595104452256,33.21483536363291,0.022675219186881673,-0.0024941340060530763,1.4100594668003357
282051,True,,0.019677210687534474,-0.1165352830982328,32.367190991010716,0.021215341230942677,0.00450177583280289,1.5737552655828155
282052,False,"sustained_bull: x range [-0.13, 0.08] outside [-0.1, 0.15]",0.02123407924797277,0.013920500816819002,35.23314834021035,0.03057142496842808,-0.0057432530831695375,2.0994774456418375
282053,True,,0.01979044342280721,-0.032546321989267095,31.77961044534907,0.02847403547500241,0.005228168051417557,1.7152730029968646
282054,False,"sustained_bull: x range [-0.13, 0.10] outside [-0.1, 0.15]",0.02669762788247677,0.05522971252886045,37.71150631752809,0.03938409245162698,-0.013848194230941588,1.377961985855257
282055,True,,0.018927023366266036,0.04370124339860404,31.814617794730886,0.02160572849937636,0.006160608838307261,1.5980516444687796
282056,True,,0.01918457410117101,-0.007133883316238312,30.401038744647472,0.02106412452884035,0.001492217738120337,1.5472541672136877
282057,True,,0.022404939381722198,0.03555080830561583,34.486807377592285,0.02552490295657488,-0.004042286070345447,1.7601745445675059
282058,True,,0.017542541961116334,0.025894847028988595,29.046786767709836,0.022161529327359868,0.008934644086782398,2.1153725514017667
282059,True,,0.018864675339720218,0.0406960139491928,35.45237887729711,0.021106491336605745,-0.009204900571586357,1.4523864762858731
282060,True,,0.0251436047397081,-0.03544468760594432,38.63906485795568,0.02546913189716213,-0.008442423716053886,1.4211178991285058
282061,True,,0.019133110176163363,-0.12936954845775997,29.377865765518365,0.02189164659563052,0.003999501777517101,1.9088679884395823
282062,False,"sustained_bull: x range [-0.17, 0.16] outside [-0.1, 0.15]",0.04004889320200922,-0.07414085144640521,56.30397334773755,0.04942683425537747,0.006068163104487196,1.0120635748539906
282063,True,,0.02099272635193514,-0.02588550039057388,33.98266459741736,0.01847016599609494,-0.0008671857265228058,1.574246008389145
282064,False,sustained_bull: V_T/V_1 1.19 < 1.2,0.01779626658333629,0.01678980686263974,28.932410647535654,0.019385974888023925,0.0023954854620159035,1.1873340137821817
282065,False,"sustained_bull: x range [-0.31, 0.27] outside [-0.1, 0.15]",0.060846325778171985,-0.16288265220405418,75.0193103281644,0.08766543546165677,-0.012613290813950802,1.3705333847424157
282066,False,"sustained_bull: x range [-0.13, 0.07] outside [-0.1, 0.15]",0.023125595846121498,-0.027078609510981084,35.22723045561419,0.03430563582854734,-0.0034921970712487736,1.4084819846687775
282067,True,,0.016661547345149512,0.028003978343696324,28.397123840125523,0.01940194691182562,-0.004961611613613249,1.3346115592562555
282068,True,,0.01693224962598736,0.06354602126673402,28.173615708981888,0.018096994683733842,0.003238888085018986,1.397115540742603
282069,True,,0.01748901969220769,-0.06329643400863087,27.15699833063693,0.015177512237852617,-0.003452092214455897,1.6330629042426645
282070,False,"sustained_bull: x range [-0.10, 0.08] outside [-0.1, 0.15]",0.01870068124286112,0.04281695035959663,30.91247015846182,0.02375954869982726,0.0020266128491310247,1.5082038534799536
282071,True,,0.020465792757990483,-0.0034264487032122396,33.339314362972324,0.0215704612852717,0.0059953401328694455,1.8951510069775108
282072,True,,0.022591142653196047,-0.05832686649736546,36.293548694834634,0.026308376016858218,-0.003194336977349903,1.2484544582282724
282073,True,,0.025951157316574495,-0.1071775078386062,34.57528357316982,0.03818297670287863,0.011564759240083796,1.5460829272909606
282074,True,,0.01753336984141915,0.047496006797439476,32.713829698009064,0.02215628613700983,0.0005461626809973752,1.450605790269785
282075,False,"sustained_bull: x range [-0.07, 0.18] outside [-0.1, 0.15]",0.023896959843834994,-0.018401931066683298,37.42115290977512,0.030888026123058823,0.007541144467343459,1.5038959146627728
282076,False,"sustained_bull: x range [-0.12, 0.16] outside [-0.1, 0.15]",0.031779857318482846,-0.09574084799679415,43.687343781169346,0.03949635159122361,0.0043223340018641275,1.224622563724674
282077,False,"sustained_bull: x range [-0.17, 0.09] outside [-0.1, 0.15]",0.026019673238749933,0.057661637998823505,41.04906469543446,0.03742992304215571,-0.008309563633413881,1.3893575921658987
282078,True,,0.016733678740587506,-0.07007829810386071,29.20993007015666,0.015785150892657404,0.0028084510275774377,1.813054671843926
282079,False,"sustained_bull: x range [-0.06, 0.24] outside [-0.1, 0.15]",0.02632095297020015,0.0271120661821735,35.06698108538162,0.036084082892172,0.00779817939015335,1.4320749179833285
282080,False,"sustained_bull: x range [-0.10, 0.10] outside [-0.1, 0.15]",0.02462100119206802,-0.08861610806469712,34.6595270263376,0.03296056636796506,0.0011873534793179219,1.2356774264142085
282081,True,,0.018116105630291687,-0.10015264419558167,27.52918958549295,0.020896679145027353,0.004219630647927933,2.330794205106356
282082,True,,0.020914650260775835,0.03461784964118424,39.33326972839933,0.028223671883888003,0.007536389531429687,1.329422064793301
282083,False,sustained_bull: V_T/V_1 1.14 < 1.2,0.018875086949574297,-0.008959064925334949,30.215497800223428,0.019878864170653286,-0.004853086626533176,1.136175011700024
282084,True,,0.01882951039626255,-0.07756146933625217,33.939127011218176,0.020940054765865898,0.008001249231113361,1.5195196439011243
282085,True,,0.019112522615487175,-0.07728229328772977,27.70755845603821,0.020768775822826865,0.00025231189663557586,1.2467420998523762
282086,True,,0.022520283785259762,-0.12092949370795114,32.18271142106498,0.02639603413061827,0.005496143926873044,1.4967769849736665
282087,True,,0.022604499320912574,-0.01414444540640989,32.206939782262666,0.024978307504038327,0.0005387455287144094,2.248784113818033
282088,True,,0.01935286726490361,0.011418184986456014,34.89564209004759,0.018273610574685926,-0.0026689129378913,1.2238121401193889
282089,True,,0.018489746462582567,-0.05285258754264123,26.113269889640236,0.02313416486790437,0.007030246097746936,1.751441901258659
282090,True,,0.026580499153821175,-0.1894148340111939,32.72435240282127,0.03527251390560284,0.011473411781628806,1.566469014075145
282091,True,,0.022120184819477962,-0.14951808410520562,36.21843220128058,0.02477293994738828,0.002433872900734908,1.263429644348947
282092,True,,0.021538599024245514,-0.1323074226956262,31.031809523215408,0.0194943788911467,0.003455182184391584,1.4336890419824448
282093,False,"sustained_bull: x range [-0.43, 0.05] outside [-0.1, 0.15]",0.03593852678718338,-0.06948528492341674,48.705350695413344,0.05387056560578816,-0.009087318929299381,1.2245681773537613
282094,True,,0.02104302231384141,-0.016017530029955682,34.01067677386492,0.02878725339963733,-0.00019354643488848634,1.538062827384747
282095,False,"sustained_bull: x range [-0.20, 0.12] outside [-0.1, 0.15]",0.037990771883391596,-0.12297300438802895,50.49245368315603,0.04789236623190923,-0.00270646513305425,1.5339978947375628
282096,True,,0.01918893622097349,-0.06097127785764651,30.310566780493062,0.014410451202774425,0.002871023699263767,1.2656243366822815
282097,True,,0.019235807524278413,0.07024210760161105,35.135054296932296,0.02833620860956066,-0.00043837142226624493,1.401994570275271
282098,True,,0.02217869604770123,0.03091008507082084,36.49077536326587,0.024163195783322322,-0.011405690580615977,1.3781028212358473
282099,True,,0.01828347145892383,-0.07140598154673132,30.450935785302928,0.01984411087345161,0.0030223864375390225,1.4271422000237792
282100,True,,0.020570550985928422,-0.039063853550682336,30.76958036418604,0.025007751622748146,0.0034090305530062536,1.6392937841321527
282101,True,,0.02255036996526476,0.06711433499637348,36.95493118674048,0.030808367516111244,0.007890055863149545,1.6814563012096
282102,True,,0.018947663237889722,0.09430991172908959,26.89323279318439,0.027984197390952755,-0.005305049367648417,1.7536192934064523
282103,True,,0.020229342684885524,-0.019071416350125905,31.43528464895199,0.015736952575100376,0.0029146562304730116,2.0739681856724053
282104,True,,0.017977459680597184,0.18730871655144093,30.144006238963748,0.015508848145592894,0.00322168092428227,1.6671921691537679
