[e9_2_pilot] claude-haiku-4-5-20251001|default: 384 runs in the manifest, 0 done, 384 pending, 0 abandoned after 3 non-ok attempts; 15 workers; started 2026-09-11T16:11:32Z
[1/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3011__rep0 -> ok (1124s, fallbacks 0, errors 0); non-ok so far 0; 2.7 runs/h; ETA 141.0 h
[2/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3003__rep0 -> ok (1125s, fallbacks 0, errors 0); non-ok so far 0; 5.4 runs/h; ETA 70.4 h
[3/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3005__rep0 -> ok (1126s, fallbacks 0, errors 0); non-ok so far 0; 8.1 runs/h; ETA 46.8 h
[4/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3014__rep0 -> ok (1136s, fallbacks 0, errors 0); non-ok so far 0; 10.8 runs/h; ETA 35.3 h
[5/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3009__rep0 -> ok (1137s, fallbacks 0, errors 0); non-ok so far 0; 13.4 runs/h; ETA 28.2 h
[6/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3007__rep0 -> ok (1139s, fallbacks 0, errors 0); non-ok so far 0; 16.1 runs/h; ETA 23.5 h
[7/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3012__rep0 -> ok (1142s, fallbacks 0, errors 0); non-ok so far 0; 18.8 runs/h; ETA 20.1 h
[8/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3013__rep0 -> ok (1145s, fallbacks 0, errors 0); non-ok so far 0; 21.4 runs/h; ETA 17.6 h
[9/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3004__rep0 -> ok (1147s, fallbacks 0, errors 0); non-ok so far 0; 24.0 runs/h; ETA 15.6 h
[10/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3002__rep0 -> ok (1151s, fallbacks 0, errors 0); non-ok so far 0; 26.6 runs/h; ETA 14.1 h
[11/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3001__rep0 -> ok (1152s, fallbacks 0, errors 0); non-ok so far 0; 29.3 runs/h; ETA 12.7 h
[12/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3006__rep0 -> ok (1152s, fallbacks 0, errors 0); non-ok so far 0; 31.9 runs/h; ETA 11.7 h
[13/384] default|claude-haiku-4-5-20251001__ISFJ__static__flat__seed3008__rep0 -> ok (1153s, fallbacks 0, errors 0); non-ok so far 0; 34.5 runs/h; ETA 10.7 h
