[e9_2_pilot] gpt-5.4-mini|default: 384 runs in the manifest, 0 done, 384 pending, 0 abandoned after 3 non-ok attempts; 15 workers; started 2026-09-11T16:11:21Z
[1/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3014__rep0 -> ok (385s, fallbacks 0, errors 0); non-ok so far 0; 3.4 runs/h; ETA 114.2 h
[2/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3002__rep0 -> ok (387s, fallbacks 0, errors 0); non-ok so far 0; 6.7 runs/h; ETA 57.1 h
[3/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3001__rep0 -> ok (388s, fallbacks 0, errors 0); non-ok so far 0; 10.0 runs/h; ETA 38.0 h
[4/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3004__rep0 -> ok (391s, fallbacks 0, errors 0); non-ok so far 0; 13.3 runs/h; ETA 28.5 h
[5/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3011__rep0 -> ok (391s, fallbacks 0, errors 0); non-ok so far 0; 16.6 runs/h; ETA 22.8 h
[6/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3006__rep0 -> ok (392s, fallbacks 0, errors 0); non-ok so far 0; 20.0 runs/h; ETA 18.9 h
[7/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3005__rep0 -> ok (392s, fallbacks 0, errors 0); non-ok so far 0; 23.3 runs/h; ETA 16.2 h
[8/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3003__rep0 -> ok (393s, fallbacks 0, errors 0); non-ok so far 0; 26.5 runs/h; ETA 14.2 h
[9/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3012__rep0 -> ok (393s, fallbacks 0, errors 0); non-ok so far 0; 29.8 runs/h; ETA 12.6 h
[10/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3013__rep0 -> ok (395s, fallbacks 0, errors 0); non-ok so far 0; 33.1 runs/h; ETA 11.3 h
[11/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3010__rep0 -> ok (397s, fallbacks 0, errors 0); non-ok so far 0; 36.4 runs/h; ETA 10.3 h
[12/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3007__rep0 -> ok (402s, fallbacks 0, errors 0); non-ok so far 0; 39.6 runs/h; ETA 9.4 h
[13/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3009__rep0 -> ok (402s, fallbacks 0, errors 0); non-ok so far 0; 42.8 runs/h; ETA 8.7 h
[14/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3008__rep0 -> ok (407s, fallbacks 0, errors 0); non-ok so far 0; 46.0 runs/h; ETA 8.0 h
[15/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3015__rep0 -> ok (414s, fallbacks 0, errors 0); non-ok so far 0; 48.9 runs/h; ETA 7.5 h
[16/384] default|gpt-5.4-mini__ISFJ__static__bull_trap__seed3001__rep0 -> ok (318s, fallbacks 0, errors 0); non-ok so far 0; 41.3 runs/h; ETA 8.9 h
[17/384] default|gpt-5.4-mini__ISFJ__static__bull_trap__seed3002__rep0 -> ok (318s, fallbacks 0, errors 0); non-ok so far 0; 43.8 runs/h; ETA 8.4 h
[18/384] default|gpt-5.4-mini__ISFJ__static__bull_trap__seed3003__rep0 -> ok (320s, fallbacks 0, errors 0); non-ok so far 0; 46.3 runs/h; ETA 7.9 h
[19/384] default|gpt-5.4-mini__ISFJ__static__flat__seed3016__rep0 -> ok (326s, fallbacks 0, errors 0); non-ok so far 0; 48.9 runs/h; ETA 7.5 h
