[e9_2_pilot] gpt-5-mini|default: 384 runs in the manifest, 0 done, 384 pending, 0 abandoned after 3 non-ok attempts; 15 workers; started 2026-09-11T16:11:10Z
[1/384] default|gpt-5-mini__ISFJ__static__flat__seed3011__rep0 -> ok (2290s, fallbacks 0, errors 0); non-ok so far 0; 1.2 runs/h; ETA 318.1 h
[2/384] default|gpt-5-mini__ISFJ__static__flat__seed3013__rep0 -> ok (2339s, fallbacks 0, errors 0); non-ok so far 0; 2.4 runs/h; ETA 161.2 h
[3/384] default|gpt-5-mini__ISFJ__static__flat__seed3003__rep0 -> ok (2345s, fallbacks 0, errors 0); non-ok so far 0; 3.5 runs/h; ETA 107.4 h
[4/384] default|gpt-5-mini__ISFJ__static__flat__seed3005__rep0 -> ok (2361s, fallbacks 0, errors 0); non-ok so far 0; 4.7 runs/h; ETA 80.8 h
[5/384] default|gpt-5-mini__ISFJ__static__flat__seed3009__rep0 -> ok (2393s, fallbacks 0, errors 0); non-ok so far 0; 5.8 runs/h; ETA 65.1 h
[6/384] default|gpt-5-mini__ISFJ__static__flat__seed3012__rep0 -> ok (2398s, fallbacks 0, errors 0); non-ok so far 0; 7.0 runs/h; ETA 54.2 h
[7/384] default|gpt-5-mini__ISFJ__static__flat__seed3010__rep0 -> ok (2399s, fallbacks 0, errors 0); non-ok so far 0; 8.1 runs/h; ETA 46.4 h
[8/384] default|gpt-5-mini__ISFJ__static__flat__seed3006__rep0 -> ok (2437s, fallbacks 0, errors 0); non-ok so far 0; 9.2 runs/h; ETA 40.9 h
[9/384] default|gpt-5-mini__ISFJ__static__flat__seed3002__rep0 -> ok (2463s, fallbacks 0, errors 0); non-ok so far 0; 10.2 runs/h; ETA 36.6 h
[10/384] default|gpt-5-mini__ISFJ__static__flat__seed3001__rep0 -> ok (2482s, fallbacks 0, errors 0); non-ok so far 0; 11.3 runs/h; ETA 33.1 h
[11/384] default|gpt-5-mini__ISFJ__static__flat__seed3014__rep0 -> ok (2488s, fallbacks 0, errors 0); non-ok so far 0; 12.4 runs/h; ETA 30.0 h
[12/384] default|gpt-5-mini__ISFJ__static__flat__seed3007__rep0 -> ok (2491s, fallbacks 0, errors 0); non-ok so far 0; 13.5 runs/h; ETA 27.5 h
[13/384] default|gpt-5-mini__ISFJ__static__flat__seed3015__rep0 -> ok (2502s, fallbacks 0, errors 0); non-ok so far 0; 14.6 runs/h; ETA 25.4 h
[14/384] default|gpt-5-mini__ISFJ__static__flat__seed3008__rep0 -> ok (2524s, fallbacks 0, errors 0); non-ok so far 0; 15.6 runs/h; ETA 23.7 h
[15/384] default|gpt-5-mini__ISFJ__static__flat__seed3004__rep0 -> ok (2581s, fallbacks 0, errors 0); non-ok so far 0; 16.5 runs/h; ETA 22.4 h
[16/384] default|gpt-5-mini__ISFJ__static__bull_trap__seed3001__rep0 -> ok (2203s, fallbacks 0, errors 0); non-ok so far 0; 11.0 runs/h; ETA 33.5 h
[17/384] default|gpt-5-mini__ISFJ__static__bull_trap__seed3006__rep0 -> ok (2162s, fallbacks 0, errors 0); non-ok so far 0; 11.6 runs/h; ETA 31.6 h
[18/384] default|gpt-5-mini__ISFJ__static__bull_trap__seed3012__rep0 -> ok (2089s, fallbacks 0, errors 0); non-ok so far 0; 12.2 runs/h; ETA 29.9 h
[19/384] default|gpt-5-mini__ISFJ__static__bull_trap__seed3011__rep0 -> ok (2118s, fallbacks 0, errors 0); non-ok so far 0; 12.9 runs/h; ETA 28.3 h
[20/384] default|gpt-5-mini__ISFJ__static__bull_trap__seed3002__rep0 -> ok (2265s, fallbacks 0, errors 0); non-ok so far 0; 13.6 runs/h; ETA 26.8 h
[21/384] default|gpt-5-mini__ISFJ__static__bull_trap__seed3005__rep0 -> ok (2220s, fallbacks 0, errors 0); non-ok so far 0; 14.2 runs/h; ETA 25.5 h
