[e9_2_pilot] gpt-5|default: 384 runs in the manifest, 0 done, 384 pending, 0 abandoned after 3 non-ok attempts; 15 workers; started 2026-09-11T16:11:12Z
[1/384] default|gpt-5__ISFJ__static__flat__seed3011__rep0 -> ok (2257s, fallbacks 0, errors 0); non-ok so far 0; 1.2 runs/h; ETA 314.3 h
[2/384] default|gpt-5__ISFJ__static__flat__seed3003__rep0 -> ok (2303s, fallbacks 0, errors 0); non-ok so far 0; 2.4 runs/h; ETA 159.2 h
[3/384] default|gpt-5__ISFJ__static__flat__seed3009__rep0 -> ok (2327s, fallbacks 0, errors 0); non-ok so far 0; 3.6 runs/h; ETA 106.7 h
[4/384] default|gpt-5__ISFJ__static__flat__seed3013__rep0 -> ok (2390s, fallbacks 0, errors 0); non-ok so far 0; 4.7 runs/h; ETA 81.5 h
[5/384] default|gpt-5__ISFJ__static__flat__seed3012__rep0 -> ok (2484s, fallbacks 0, errors 0); non-ok so far 0; 5.7 runs/h; ETA 67.0 h
[6/384] default|gpt-5__ISFJ__static__flat__seed3005__rep0 -> ok (2489s, fallbacks 0, errors 0); non-ok so far 0; 6.8 runs/h; ETA 55.8 h
[7/384] default|gpt-5__ISFJ__static__flat__seed3001__rep0 -> ok (2571s, fallbacks 0, errors 0); non-ok so far 0; 7.7 runs/h; ETA 48.9 h
[8/384] default|gpt-5__ISFJ__static__flat__seed3014__rep0 -> ok (2634s, fallbacks 0, errors 0); non-ok so far 0; 8.6 runs/h; ETA 43.5 h
[9/384] default|gpt-5__ISFJ__static__flat__seed3006__rep0 -> ok (2688s, fallbacks 0, errors 0); non-ok so far 0; 9.6 runs/h; ETA 39.2 h
[10/384] default|gpt-5__ISFJ__static__flat__seed3010__rep0 -> ok (2703s, fallbacks 0, errors 0); non-ok so far 0; 10.6 runs/h; ETA 35.3 h
[11/384] default|gpt-5__ISFJ__static__flat__seed3002__rep0 -> ok (2741s, fallbacks 0, errors 0); non-ok so far 0; 11.5 runs/h; ETA 32.4 h
[12/384] default|gpt-5__ISFJ__static__flat__seed3007__rep0 -> ok (2894s, fallbacks 0, errors 0); non-ok so far 0; 12.0 runs/h; ETA 30.9 h
