[e9_2_pilot] claude-opus-5|default: 384 runs in the manifest, 0 done, 384 pending, 0 abandoned after 3 non-ok attempts; 15 workers; started 2026-09-11T16:11:27Z
[1/384] default|claude-opus-5__ISFJ__static__flat__seed3003__rep0 -> ok (1763s, fallbacks 0, errors 2); non-ok so far 0; 1.8 runs/h; ETA 209.6 h
[2/384] default|claude-opus-5__ISFJ__static__flat__seed3008__rep0 -> contaminated (1767s, fallbacks 1, errors 3); non-ok so far 1; 3.6 runs/h; ETA 104.8 h
[3/384] default|claude-opus-5__ISFJ__static__flat__seed3012__rep0 -> ok (1768s, fallbacks 0, errors 2); non-ok so far 1; 5.5 runs/h; ETA 69.7 h
[4/384] default|claude-opus-5__ISFJ__static__flat__seed3011__rep0 -> contaminated (1797s, fallbacks 1, errors 3); non-ok so far 2; 7.2 runs/h; ETA 52.9 h
[5/384] default|claude-opus-5__ISFJ__static__flat__seed3005__rep0 -> contaminated (1812s, fallbacks 1, errors 3); non-ok so far 3; 8.9 runs/h; ETA 42.5 h
[6/384] default|claude-opus-5__ISFJ__static__flat__seed3006__rep0 -> contaminated (1857s, fallbacks 1, errors 4); non-ok so far 4; 10.5 runs/h; ETA 36.1 h
[7/384] default|claude-opus-5__ISFJ__static__flat__seed3013__rep0 -> contaminated (1868s, fallbacks 1, errors 3); non-ok so far 5; 12.1 runs/h; ETA 31.1 h
[8/384] default|claude-opus-5__ISFJ__static__flat__seed3004__rep0 -> ok (1870s, fallbacks 0, errors 2); non-ok so far 5; 13.8 runs/h; ETA 27.2 h
[9/384] default|claude-opus-5__ISFJ__static__flat__seed3014__rep0 -> ok (1880s, fallbacks 0, errors 0); non-ok so far 5; 15.5 runs/h; ETA 24.2 h
[10/384] default|claude-opus-5__ISFJ__static__flat__seed3001__rep0 -> contaminated (1897s, fallbacks 1, errors 4); non-ok so far 6; 17.1 runs/h; ETA 21.9 h
[11/384] default|claude-opus-5__ISFJ__static__flat__seed3010__rep0 -> ok (1903s, fallbacks 0, errors 3); non-ok so far 6; 18.8 runs/h; ETA 19.9 h
[12/384] default|claude-opus-5__ISFJ__static__flat__seed3015__rep0 -> contaminated (1907s, fallbacks 1, errors 3); non-ok so far 7; 20.4 runs/h; ETA 18.2 h
[13/384] default|claude-opus-5__ISFJ__static__flat__seed3009__rep0 -> contaminated (1919s, fallbacks 1, errors 4); non-ok so far 8; 22.0 runs/h; ETA 16.9 h
[14/384] default|claude-opus-5__ISFJ__static__flat__seed3002__rep0 -> contaminated (1929s, fallbacks 1, errors 4); non-ok so far 9; 23.6 runs/h; ETA 15.7 h
[15/384] default|claude-opus-5__ISFJ__static__flat__seed3007__rep0 -> contaminated (1954s, fallbacks 1, errors 5); non-ok so far 10; 25.0 runs/h; ETA 14.8 h
[16/384] default|claude-opus-5__ISFJ__static__bull_trap__seed3001__rep0 -> ok (1083s, fallbacks 0, errors 0); non-ok so far 10; 18.8 runs/h; ETA 19.5 h
[17/384] default|claude-opus-5__ISFJ__static__bull_trap__seed3003__rep0 -> ok (1143s, fallbacks 0, errors 0); non-ok so far 10; 19.4 runs/h; ETA 18.9 h
