[manifest_openrouter_qwen235b] openrouter/qwen/qwen3-235b-a22b-2507|default: 96 runs in the manifest, 0 done, 96 pending, 0 abandoned after 3 non-ok attempts; 10 workers; started 2026-09-12T11:18:32Z
[1/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__bull_trap__seed3004__rep0 -> ok (877s, fallbacks 0, errors 0); non-ok so far 0; 4.0 runs/h; ETA 23.8 h
[2/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__crash_d0.7__seed3001__rep0 -> ok (883s, fallbacks 0, errors 0); non-ok so far 0; 7.9 runs/h; ETA 11.8 h
[3/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__bull_trap__seed3001__rep0 -> ok (901s, fallbacks 0, errors 0); non-ok so far 0; 11.7 runs/h; ETA 8.0 h
[4/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__bull_trap__seed3003__rep0 -> ok (903s, fallbacks 0, errors 0); non-ok so far 0; 15.5 runs/h; ETA 5.9 h
[5/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__flat__seed3003__rep0 -> ok (938s, fallbacks 0, errors 0); non-ok so far 0; 18.7 runs/h; ETA 4.9 h
[6/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__flat__seed3002__rep0 -> ok (942s, fallbacks 0, errors 0); non-ok so far 0; 22.4 runs/h; ETA 4.0 h
[7/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__flat__seed3004__rep0 -> ok (956s, fallbacks 0, errors 0); non-ok so far 0; 25.7 runs/h; ETA 3.5 h
[8/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__bull_trap__seed3002__rep0 -> ok (965s, fallbacks 0, errors 0); non-ok so far 0; 29.1 runs/h; ETA 3.0 h
[9/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__flat__seed3001__rep0 -> ok (985s, fallbacks 0, errors 0); non-ok so far 0; 32.1 runs/h; ETA 2.7 h
[10/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__crash_d0.7__seed3002__rep0 -> ok (987s, fallbacks 0, errors 0); non-ok so far 0; 35.6 runs/h; ETA 2.4 h
[11/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__memory__flat__seed3002__rep0 -> ok (790s, fallbacks 0, errors 0); non-ok so far 0; 22.3 runs/h; ETA 3.8 h
[12/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__sustained_bull__seed3002__rep0 -> ok (921s, fallbacks 0, errors 0); non-ok so far 0; 23.4 runs/h; ETA 3.6 h
[13/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__crash_d0.7__seed3004__rep0 -> ok (941s, fallbacks 0, errors 0); non-ok so far 0; 25.3 runs/h; ETA 3.3 h
[14/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__crash_d0.7__seed3003__rep0 -> ok (959s, fallbacks 0, errors 0); non-ok so far 0; 27.1 runs/h; ETA 3.0 h
[15/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__sustained_bull__seed3003__rep0 -> ok (902s, fallbacks 0, errors 0); non-ok so far 0; 29.0 runs/h; ETA 2.8 h
[16/96] default|openrouter_qwen_qwen3-235b-a22b-2507__ISFJ__static__sustained_bull__seed3004__rep0 -> ok (906s, fallbacks 0, errors 0); non-ok so far 0; 30.8 runs/h; ETA 2.6 h
