[manifest_openrouter_haiku] openrouter/anthropic/claude-haiku-4.5|default: 192 runs in the manifest, 0 done, 192 pending, 0 abandoned after 3 non-ok attempts; 13 workers; started 2026-09-12T11:15:50Z
[1/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__bull_trap__seed3001__rep0 -> ok (614s, fallbacks 0, errors 1); non-ok so far 0; 5.6 runs/h; ETA 34.2 h
[2/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__flat__seed3005__rep0 -> ok (621s, fallbacks 0, errors 0); non-ok so far 0; 11.0 runs/h; ETA 17.2 h
[3/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__flat__seed3003__rep0 -> ok (623s, fallbacks 0, errors 0); non-ok so far 0; 16.5 runs/h; ETA 11.4 h
[4/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__bull_trap__seed3005__rep0 -> ok (627s, fallbacks 0, errors 0); non-ok so far 0; 21.9 runs/h; ETA 8.6 h
[5/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__flat__seed3001__rep0 -> ok (636s, fallbacks 0, errors 0); non-ok so far 0; 27.0 runs/h; ETA 6.9 h
[6/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__flat__seed3007__rep0 -> contaminated (638s, fallbacks 3, errors 9); non-ok so far 1; 32.3 runs/h; ETA 5.8 h
[7/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__flat__seed3004__rep0 -> ok (642s, fallbacks 0, errors 1); non-ok so far 1; 37.4 runs/h; ETA 4.9 h
[8/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__flat__seed3008__rep0 -> ok (647s, fallbacks 0, errors 0); non-ok so far 1; 42.5 runs/h; ETA 4.3 h
[9/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__bull_trap__seed3002__rep0 -> ok (648s, fallbacks 0, errors 0); non-ok so far 1; 47.7 runs/h; ETA 3.8 h
[10/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__bull_trap__seed3003__rep0 -> ok (649s, fallbacks 0, errors 2); non-ok so far 1; 52.9 runs/h; ETA 3.4 h
[11/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__flat__seed3002__rep0 -> ok (652s, fallbacks 0, errors 0); non-ok so far 1; 58.0 runs/h; ETA 3.1 h
[12/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__flat__seed3006__rep0 -> ok (658s, fallbacks 0, errors 0); non-ok so far 1; 62.7 runs/h; ETA 2.9 h
[13/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__bull_trap__seed3004__rep0 -> ok (663s, fallbacks 0, errors 0); non-ok so far 1; 67.4 runs/h; ETA 2.7 h
[14/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__bull_trap__seed3006__rep0 -> ok (622s, fallbacks 0, errors 0); non-ok so far 1; 39.8 runs/h; ETA 4.5 h
[15/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__bull_trap__seed3008__rep0 -> ok (617s, fallbacks 0, errors 0); non-ok so far 1; 42.5 runs/h; ETA 4.2 h
[16/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__bull_trap__seed3007__rep0 -> ok (628s, fallbacks 0, errors 1); non-ok so far 1; 45.0 runs/h; ETA 3.9 h
[17/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__crash_d0.7__seed3003__rep0 -> ok (619s, fallbacks 0, errors 0); non-ok so far 1; 47.5 runs/h; ETA 3.7 h
[18/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__crash_d0.7__seed3001__rep0 -> ok (631s, fallbacks 0, errors 0); non-ok so far 1; 50.3 runs/h; ETA 3.5 h
[19/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__crash_d0.7__seed3005__rep0 -> ok (614s, fallbacks 0, errors 0); non-ok so far 1; 52.9 runs/h; ETA 3.3 h
[20/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__sustained_bull__seed3001__rep0 -> ok (609s, fallbacks 0, errors 0); non-ok so far 1; 55.5 runs/h; ETA 3.1 h
[21/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__crash_d0.7__seed3002__rep0 -> ok (633s, fallbacks 0, errors 0); non-ok so far 1; 58.1 runs/h; ETA 2.9 h
[22/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__crash_d0.7__seed3004__rep0 -> ok (634s, fallbacks 0, errors 0); non-ok so far 1; 60.6 runs/h; ETA 2.8 h
[23/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__crash_d0.7__seed3007__rep0 -> ok (636s, fallbacks 0, errors 0); non-ok so far 1; 62.9 runs/h; ETA 2.7 h
[24/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__crash_d0.7__seed3006__rep0 -> ok (638s, fallbacks 0, errors 0); non-ok so far 1; 65.6 runs/h; ETA 2.6 h
[25/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__crash_d0.7__seed3008__rep0 -> ok (645s, fallbacks 0, errors 0); non-ok so far 1; 67.7 runs/h; ETA 2.5 h
[26/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__sustained_bull__seed3002__rep0 -> ok (642s, fallbacks 0, errors 0); non-ok so far 1; 70.1 runs/h; ETA 2.4 h
[27/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__sustained_bull__seed3003__rep0 -> ok (592s, fallbacks 0, errors 0); non-ok so far 1; 52.3 runs/h; ETA 3.2 h
[28/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__sustained_bull__seed3005__rep0 -> ok (594s, fallbacks 0, errors 0); non-ok so far 1; 53.8 runs/h; ETA 3.0 h
[29/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__sustained_bull__seed3006__rep0 -> ok (618s, fallbacks 0, errors 0); non-ok so far 1; 54.8 runs/h; ETA 3.0 h
[30/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__sustained_bull__seed3007__rep0 -> ok (617s, fallbacks 0, errors 0); non-ok so far 1; 56.7 runs/h; ETA 2.9 h
[31/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__sustained_bull__seed3004__rep0 -> ok (636s, fallbacks 0, errors 1); non-ok so far 1; 58.5 runs/h; ETA 2.8 h
[32/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__static__sustained_bull__seed3008__rep0 -> ok (619s, fallbacks 0, errors 0); non-ok so far 1; 60.3 runs/h; ETA 2.7 h
[33/192] default|openrouter_anthropic_claude-haiku-4.5__ISFJ__memory__flat__seed3005__rep0 -> ok (596s, fallbacks 0, errors 0); non-ok so far 1; 62.1 runs/h; ETA 2.6 h
