[e9_2_pilot] claude-sonnet-5|default: 384 runs in the manifest, 0 done, 384 pending, 0 abandoned after 3 non-ok attempts; 15 workers; started 2026-09-11T16:11:24Z
[1/384] default|claude-sonnet-5__ISFJ__static__flat__seed3008__rep0 -> ok (1372s, fallbacks 0, errors 0); non-ok so far 0; 2.3 runs/h; ETA 168.3 h
[2/384] default|claude-sonnet-5__ISFJ__static__flat__seed3012__rep0 -> ok (1423s, fallbacks 0, errors 0); non-ok so far 0; 4.4 runs/h; ETA 86.6 h
[3/384] default|claude-sonnet-5__ISFJ__static__flat__seed3004__rep0 -> ok (1445s, fallbacks 0, errors 0); non-ok so far 0; 6.5 runs/h; ETA 58.4 h
[4/384] default|claude-sonnet-5__ISFJ__static__flat__seed3013__rep0 -> ok (1447s, fallbacks 0, errors 0); non-ok so far 0; 8.7 runs/h; ETA 43.7 h
[5/384] default|claude-sonnet-5__ISFJ__static__flat__seed3002__rep0 -> ok (1450s, fallbacks 0, errors 0); non-ok so far 0; 10.8 runs/h; ETA 34.9 h
[6/384] default|claude-sonnet-5__ISFJ__static__flat__seed3006__rep0 -> ok (1453s, fallbacks 0, errors 0); non-ok so far 0; 13.0 runs/h; ETA 29.1 h
[7/384] default|claude-sonnet-5__ISFJ__static__flat__seed3003__rep0 -> ok (1497s, fallbacks 0, errors 0); non-ok so far 0; 14.8 runs/h; ETA 25.5 h
[8/384] default|claude-sonnet-5__ISFJ__static__flat__seed3001__rep0 -> ok (1523s, fallbacks 0, errors 0); non-ok so far 0; 16.6 runs/h; ETA 22.6 h
[9/384] default|claude-sonnet-5__ISFJ__static__flat__seed3007__rep0 -> ok (1556s, fallbacks 0, errors 0); non-ok so far 0; 18.4 runs/h; ETA 20.4 h
[10/384] default|claude-sonnet-5__ISFJ__static__flat__seed3010__rep0 -> ok (1598s, fallbacks 0, errors 0); non-ok so far 0; 19.9 runs/h; ETA 18.8 h
[11/384] default|claude-sonnet-5__ISFJ__static__flat__seed3011__rep0 -> ok (1639s, fallbacks 0, errors 0); non-ok so far 0; 21.4 runs/h; ETA 17.4 h
[12/384] default|claude-sonnet-5__ISFJ__static__flat__seed3005__rep0 -> ok (1655s, fallbacks 0, errors 0); non-ok so far 0; 23.2 runs/h; ETA 16.1 h
[13/384] default|claude-sonnet-5__ISFJ__static__flat__seed3009__rep0 -> ok (1663s, fallbacks 0, errors 0); non-ok so far 0; 25.0 runs/h; ETA 14.8 h
[14/384] default|claude-sonnet-5__ISFJ__static__flat__seed3014__rep0 -> ok (2025s, fallbacks 0, errors 0); non-ok so far 0; 22.6 runs/h; ETA 16.4 h
[15/384] default|claude-sonnet-5__ISFJ__static__flat__seed3015__rep0 -> ok (2050s, fallbacks 0, errors 0); non-ok so far 0; 23.9 runs/h; ETA 15.4 h
[16/384] default|claude-sonnet-5__ISFJ__static__bull_trap__seed3003__rep0 -> ok (847s, fallbacks 0, errors 0); non-ok so far 0; 23.0 runs/h; ETA 16.0 h
[17/384] default|claude-sonnet-5__ISFJ__static__bull_trap__seed3002__rep0 -> ok (881s, fallbacks 0, errors 0); non-ok so far 0; 24.1 runs/h; ETA 15.2 h
[18/384] default|claude-sonnet-5__ISFJ__static__bull_trap__seed3004__rep0 -> ok (890s, fallbacks 0, errors 0); non-ok so far 0; 25.4 runs/h; ETA 14.4 h
[19/384] default|claude-sonnet-5__ISFJ__static__bull_trap__seed3008__rep0 -> ok (814s, fallbacks 0, errors 0); non-ok so far 0; 26.5 runs/h; ETA 13.8 h
[20/384] default|claude-sonnet-5__ISFJ__static__bull_trap__seed3001__rep0 -> ok (1003s, fallbacks 0, errors 0); non-ok so far 0; 27.3 runs/h; ETA 13.3 h
