[e9_2_pilot] gpt-5-nano|default: 384 runs in the manifest, 0 done, 384 pending, 0 abandoned after 3 non-ok attempts; 15 workers; started 2026-09-11T16:11:21Z
[1/384] default|gpt-5-nano__ISFJ__static__flat__seed3011__rep0 -> ok (3333s, fallbacks 0, errors 0); non-ok so far 0; 0.9 runs/h; ETA 427.9 h
[2/384] default|gpt-5-nano__ISFJ__static__flat__seed3013__rep0 -> ok (3504s, fallbacks 0, errors 0); non-ok so far 0; 1.7 runs/h; ETA 222.5 h
[3/384] default|gpt-5-nano__ISFJ__static__flat__seed3014__rep0 -> ok (3589s, fallbacks 0, errors 0); non-ok so far 0; 2.5 runs/h; ETA 150.9 h
[4/384] default|gpt-5-nano__ISFJ__static__flat__seed3009__rep0 -> ok (3603s, fallbacks 0, errors 0); non-ok so far 0; 3.4 runs/h; ETA 113.3 h
[5/384] default|gpt-5-nano__ISFJ__static__flat__seed3003__rep0 -> ok (3625s, fallbacks 0, errors 0); non-ok so far 0; 4.2 runs/h; ETA 90.8 h
[6/384] default|gpt-5-nano__ISFJ__static__flat__seed3005__rep0 -> ok (3679s, fallbacks 0, errors 0); non-ok so far 0; 4.9 runs/h; ETA 76.4 h
[7/384] default|gpt-5-nano__ISFJ__static__flat__seed3001__rep0 -> ok (3702s, fallbacks 0, errors 0); non-ok so far 0; 5.7 runs/h; ETA 65.7 h
[8/384] default|gpt-5-nano__ISFJ__static__flat__seed3010__rep0 -> ok (3779s, fallbacks 0, errors 0); non-ok so far 0; 6.4 runs/h; ETA 58.3 h
[9/384] default|gpt-5-nano__ISFJ__static__flat__seed3012__rep0 -> ok (3795s, fallbacks 0, errors 0); non-ok so far 0; 7.2 runs/h; ETA 51.9 h
[10/384] default|gpt-5-nano__ISFJ__static__flat__seed3015__rep0 -> ok (3891s, fallbacks 0, errors 0); non-ok so far 0; 7.9 runs/h; ETA 47.6 h
[11/384] default|gpt-5-nano__ISFJ__static__flat__seed3006__rep0 -> ok (3919s, fallbacks 0, errors 0); non-ok so far 0; 8.6 runs/h; ETA 43.4 h
[12/384] default|gpt-5-nano__ISFJ__static__flat__seed3007__rep0 -> ok (3944s, fallbacks 0, errors 0); non-ok so far 0; 9.3 runs/h; ETA 39.9 h
[13/384] default|gpt-5-nano__ISFJ__static__flat__seed3004__rep0 -> ok (4320s, fallbacks 0, errors 0); non-ok so far 0; 9.3 runs/h; ETA 39.7 h
[14/384] default|gpt-5-nano__ISFJ__static__flat__seed3008__rep0 -> ok (4378s, fallbacks 0, errors 0); non-ok so far 0; 9.9 runs/h; ETA 37.2 h
[15/384] default|gpt-5-nano__ISFJ__static__flat__seed3002__rep0 -> ok (4452s, fallbacks 0, errors 0); non-ok so far 0; 10.5 runs/h; ETA 35.1 h
