[e9_2_pilot] gpt-5.5|default: 384 runs in the manifest, 0 done, 384 pending, 0 abandoned after 3 non-ok attempts; 15 workers; started 2026-09-11T16:11:16Z
[1/384] default|gpt-5.5__ISFJ__static__flat__seed3009__rep0 -> ok (966s, fallbacks 0, errors 0); non-ok so far 0; 2.2 runs/h; ETA 176.6 h
[2/384] default|gpt-5.5__ISFJ__static__flat__seed3003__rep0 -> ok (971s, fallbacks 0, errors 0); non-ok so far 0; 4.3 runs/h; ETA 88.3 h
[3/384] default|gpt-5.5__ISFJ__static__flat__seed3011__rep0 -> ok (1017s, fallbacks 0, errors 0); non-ok so far 0; 6.3 runs/h; ETA 60.4 h
[4/384] default|gpt-5.5__ISFJ__static__flat__seed3013__rep0 -> ok (1043s, fallbacks 0, errors 0); non-ok so far 0; 8.3 runs/h; ETA 45.8 h
[5/384] default|gpt-5.5__ISFJ__static__flat__seed3014__rep0 -> ok (1066s, fallbacks 0, errors 0); non-ok so far 0; 10.2 runs/h; ETA 37.0 h
[6/384] default|gpt-5.5__ISFJ__static__flat__seed3010__rep0 -> ok (1067s, fallbacks 0, errors 0); non-ok so far 0; 12.3 runs/h; ETA 30.8 h
[7/384] default|gpt-5.5__ISFJ__static__flat__seed3001__rep0 -> ok (1070s, fallbacks 0, errors 0); non-ok so far 0; 14.3 runs/h; ETA 26.4 h
[8/384] default|gpt-5.5__ISFJ__static__flat__seed3012__rep0 -> ok (1096s, fallbacks 0, errors 0); non-ok so far 0; 16.1 runs/h; ETA 23.4 h
[9/384] default|gpt-5.5__ISFJ__static__flat__seed3005__rep0 -> ok (1105s, fallbacks 0, errors 0); non-ok so far 0; 18.0 runs/h; ETA 20.8 h
[10/384] default|gpt-5.5__ISFJ__static__flat__seed3006__rep0 -> ok (1112s, fallbacks 0, errors 0); non-ok so far 0; 19.9 runs/h; ETA 18.8 h
[11/384] default|gpt-5.5__ISFJ__static__flat__seed3015__rep0 -> ok (1133s, fallbacks 0, errors 0); non-ok so far 0; 21.7 runs/h; ETA 17.2 h
[12/384] default|gpt-5.5__ISFJ__static__flat__seed3002__rep0 -> ok (1178s, fallbacks 0, errors 0); non-ok so far 0; 23.1 runs/h; ETA 16.1 h
[13/384] default|gpt-5.5__ISFJ__static__flat__seed3007__rep0 -> ok (1183s, fallbacks 0, errors 0); non-ok so far 0; 24.9 runs/h; ETA 14.9 h
[14/384] default|gpt-5.5__ISFJ__static__flat__seed3008__rep0 -> ok (1197s, fallbacks 0, errors 0); non-ok so far 0; 26.7 runs/h; ETA 13.9 h
[15/384] default|gpt-5.5__ISFJ__static__flat__seed3004__rep0 -> ok (1227s, fallbacks 0, errors 0); non-ok so far 0; 28.1 runs/h; ETA 13.1 h
[16/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3001__rep0 -> ok (973s, fallbacks 0, errors 0); non-ok so far 0; 21.8 runs/h; ETA 16.9 h
[17/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3005__rep0 -> ok (931s, fallbacks 0, errors 0); non-ok so far 0; 22.7 runs/h; ETA 16.1 h
[18/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3009__rep0 -> ok (909s, fallbacks 0, errors 0); non-ok so far 0; 23.9 runs/h; ETA 15.3 h
[19/384] default|gpt-5.5__ISFJ__static__flat__seed3016__rep0 -> ok (1060s, fallbacks 0, errors 0); non-ok so far 0; 25.1 runs/h; ETA 14.5 h
[20/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3003__rep0 -> ok (1004s, fallbacks 0, errors 0); non-ok so far 0; 26.3 runs/h; ETA 13.9 h
[21/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3011__rep0 -> ok (911s, fallbacks 0, errors 0); non-ok so far 0; 27.2 runs/h; ETA 13.4 h
[22/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3007__rep0 -> ok (998s, fallbacks 0, errors 0); non-ok so far 0; 28.4 runs/h; ETA 12.7 h
[23/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3013__rep0 -> ok (902s, fallbacks 0, errors 0); non-ok so far 0; 29.6 runs/h; ETA 12.2 h
[24/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3008__rep0 -> ok (1007s, fallbacks 0, errors 0); non-ok so far 0; 30.8 runs/h; ETA 11.7 h
[25/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3002__rep0 -> ok (1100s, fallbacks 0, errors 0); non-ok so far 0; 32.0 runs/h; ETA 11.2 h
[26/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3006__rep0 -> ok (1053s, fallbacks 0, errors 0); non-ok so far 0; 33.2 runs/h; ETA 10.8 h
[27/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3004__rep0 -> ok (1067s, fallbacks 0, errors 0); non-ok so far 0; 34.4 runs/h; ETA 10.4 h
[28/384] default|gpt-5.5__ISFJ__static__bull_trap__seed3012__rep0 -> ok (951s, fallbacks 0, errors 0); non-ok so far 0; 35.6 runs/h; ETA 10.0 h
