candidate,plan_six,ranked,E_O1,E_O2,E_O3,E_oracle,E_scripted,levels_not_defined,level_sigma_V__low,level_sigma_V__high,E_oracle_ci95,E_scripted_ci95,level_half_life__low,level_half_life__high,level_garch_set__low,level_garch_set__high,level_pe_dispersion__low,level_pe_dispersion__high,level_analyst_sd__low,level_analyst_sd__high,level_sentiment_loading__half,level_sentiment_loading__full,level_mu_V__low,level_mu_V__high,level_jump_rate__low,level_jump_rate__high,level_jump_sd__low,level_jump_sd__high,level_sbar__low,level_sbar__high,level_blowoff_g__low,level_blowoff_g__high,level_s_eps__low,level_s_eps__high,level_p_loss__low,level_p_loss__high,level_pe_cap__low,level_pe_cap__high,level_div_c_speed__low,level_div_c_speed__high,level_div_tau__low,level_div_tau__high,level_sent_rho__low,level_sent_rho__high,level_sent_b1__low,level_sent_b1__high,level_vol_rho_v__low,level_vol_rho_v__high,level_vol_beta_absr__low,level_vol_beta_absr__high,level_vol_sd_e__low,level_vol_sd_e__high,level_half_life_unmatched__low,level_half_life_unmatched__high,rank_oracle,rank_scripted,rank_sum,top_six_share_boot
sigma_V,True,True,0.016838312150842756,0.03594063871421055,0.05572196987314435,0.026389475432526652,0.05572196987314435,{},"{'O1': 0.016838312150842756, 'O2': 0.03594063871421055, 'O3': 0.05572196987314435, 'sd_x': 0.08437837330833119, 'sd_r': 0.024623561114630904, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.008843951135038908, 'O2': 0.010116498178009801, 'O3': 0.026529418141112315, 'sd_x': 0.08455458463522772, 'sd_r': 0.026132936352590286, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","[0.017977672845658214, 0.07041270870851947]","[0.04117988934334489, 0.07684848400795638]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,12.0,0.992
half_life,True,True,0.03179564272604782,0.033048538019437364,0.053705665408097604,0.03242209037274259,0.053705665408097604,{},,,"[0.030415129488701086, 0.0758952356591624]","[0.03831696813222761, 0.0731706560612888]","{'O1': 0.03179564272604782, 'O2': 0.033048538019437364, 'O3': 0.034022960143017325, 'sd_x': 0.08262405445694052, 'sd_r': 0.027030284150636585, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.02140430827613588, 'O2': 0.015269431798188508, 'O3': 0.053705665408097604, 'sd_x': 0.08817625940149838, 'sd_r': 0.023215708819943136, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,12.0,0.999
garch_set,True,True,0.11387863693432355,0.07771691241179773,0.08574002567777556,0.09579777467306064,0.08574002567777556,{},,,"[0.08088416091396361, 0.19333911089692446]","[0.06661819606263411, 0.11741897080283739]",,,"{'O1': 0.0545059220657669, 'O2': 0.07771691241179773, 'O3': 0.025893364544701106, 'sd_x': 0.08251578362341344, 'sd_r': 0.02562850840661783, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.11387863693432355, 'O2': 0.06271976633240037, 'O3': 0.08574002567777556, 'sd_x': 0.07401508129118174, 'sd_r': 0.022793878643822187, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 91, 'seeds_median': 96.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 0.9575, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0
pe_dispersion,True,True,0.027188236401936416,0.03922264016416471,0.0,0.033205438283050566,0.0,{},,,"[0.021174746809844058, 0.07215467069340309]","[0.0, 0.0]",,,,,"{'O1': 0.027188236401936416, 'O2': 0.03922264016416471, 'O3': 0.0, 'sd_x': 0.0845559230892987, 'sd_r': 0.025704188845003313, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.01480093677596571, 'O2': 0.017499925110736475, 'O3': 0.0, 'sd_x': 0.0845559230892987, 'sd_r': 0.025704188845003313, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,12.0,19.0,0.068
analyst_sd,True,True,0.03197169253918731,0.023002394218115906,0.0,0.027487043378651606,0.0,{},,,"[0.01667612175729329, 0.057214627165565704]","[0.0, 0.0]",,,,,,,"{'O1': 0.03197169253918731, 'O2': 0.023002394218115906, 'O3': 0.0, 'sd_x': 0.0845559230892987, 'sd_r': 0.025704188845003313, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.009817489004102108, 'O2': 0.008801298195330312, 'O3': 0.0, 'sd_x': 0.0845559230892987, 'sd_r': 0.025704188845003313, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,22.0,0.011
sentiment_loading,True,True,0.004926969438007648,0.0070964604752118965,0.002086941764901536,0.006011714956609772,0.002086941764901536,{},,,"[0.0050535211042254365, 0.019317972732432732]","[0.0012215954288190632, 0.007152009990448397]",,,,,,,,,"{'O1': 0.004926969438007648, 'O2': 0.0070964604752118965, 'O3': 0.0020837101590748387, 'sd_x': 0.084525397124776, 'sd_r': 0.02570493740290179, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.0039023843650696365, 'O2': 0.002881817925623975, 'O3': 0.002086941764901536, 'sd_x': 0.08467667818625468, 'sd_r': 0.025704668275601424, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,9.0,23.0,0.008
mu_V,False,True,0.043582092361155435,0.04785691001763239,0.041355778773913714,0.04571950118939391,0.041355778773913714,{},,,"[0.022159099872185985, 0.09222166246830309]","[0.03148670639258291, 0.05875777460572594]",,,,,,,,,,,"{'O1': 0.043582092361155435, 'O2': 0.04785691001763239, 'O3': 0.03741713115057702, 'sd_x': 0.08455524973055331, 'sd_r': 0.025702988331697155, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.02638424294588888, 'O2': 0.01598131922050424, 'O3': 0.041355778773913714, 'sd_x': 0.08455651643199832, 'sd_r': 0.025705376854920664, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,9.0,0.934
jump_rate,False,True,0.03602524587331945,0.037338965886133425,0.015542994055186736,0.03668210587972644,0.015542994055186736,{},,,"[0.007806464526907174, 0.08368439052794586]","[0.0028626607975975687, 0.04337590732393842]",,,,,,,,,,,,,"{'O1': 0.0030582184940341275, 'O2': 0.0010383143405220234, 'O3': 0.001966607313508252, 'sd_x': 0.08420937727884086, 'sd_r': 0.02563217815546226, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.03602524587331945, 'O2': 0.037338965886133425, 'O3': 0.015542994055186736, 'sd_x': 0.08588594251752855, 'sd_r': 0.02593763228530961, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,12.0,0.638
jump_sd,False,True,0.01984514854555198,0.030997657040791177,0.008869864206106215,0.02542140279317158,0.008869864206106215,{},,,"[0.007493358221019158, 0.05268583688832996]","[0.002124928084549621, 0.022615709787172103]",,,,,,,,,,,,,,,"{'O1': 0.01984514854555198, 'O2': 0.030997657040791177, 'O3': 0.008869864206106215, 'sd_x': 0.08403423648151735, 'sd_r': 0.02555409461194872, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.001340497317348805, 'O2': 0.006588724018286311, 'O3': 0.002683509607716072, 'sd_x': 0.08461380683521731, 'sd_r': 0.02571865450468783, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,7.0,18.0,0.323
sbar,False,True,0.04802677725860472,0.05165174165092438,0.05466375969762397,0.04983925945476455,0.05466375969762397,{},,,"[0.043228152255534225, 0.08440304406419788]","[0.043049491597357215, 0.07365717459517546]",,,,,,,,,,,,,,,,,"{'O1': 0.04802677725860472, 'O2': 0.05165174165092438, 'O3': 0.045808477368527604, 'sd_x': 0.07964657368951969, 'sd_r': 0.02395347264275149, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}","{'O1': 0.04521857687354588, 'O2': 0.0352267181061691, 'O3': 0.05466375969762397, 'sd_x': 0.08942655396178045, 'sd_r': 0.027523275335725964, 'O1_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O2_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'O3_diagnostics': {'cells_used': 12, 'cells_total': 12, 'seeds_min': 100, 'seeds_median': 100.0, 'defined': True}, 'cells_with_a_resolvable_day_theta_0.05': 1.0, 'cells_with_a_resolvable_day_theta_0.002': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,6.0,0.999
