ticker,window,m,m_peak21
A,2008Q4,5.986213670940556,9.811029640857388
A,2011Q3,3.68257029113789,6.794472503339068
A,2018Q4,2.1116666096736108,3.1657166835940322
A,2020Q1,6.578916263029501,17.11622374530453
A,2022H1,3.003629324209398,5.507999317317288
AAPL,2008Q4,2.164160319826882,5.202855598292745
AAPL,2011Q3,2.1102250102317375,4.1271572726995345
AAPL,2018Q4,3.829154736502881,5.124385449720392
AAPL,2020Q1,7.983661553673528,20.014099362273885
AAPL,2022H1,2.5116818803236436,5.2469439494776395
ABT,2008Q4,3.409355374094679,5.643865545663708
ABT,2011Q3,3.259640270137824,6.9822003537621
ABT,2018Q4,3.0581086496198817,4.671798218324404
ABT,2020Q1,9.63417410961493,25.810089632150643
ABT,2022H1,2.5699274505987675,4.27164017535956
ACGL,2008Q4,5.34225375429521,7.6834553459503825
ACGL,2011Q3,4.830944077089533,10.094801055659154
ACGL,2018Q4,2.5959635977424846,3.612908399521216
ACGL,2020Q1,20.181625355442716,55.42377129321788
ACGL,2022H1,1.2733764003336312,1.9088130440330933
ADBE,2008Q4,4.585219260736842,7.495563161824231
ADBE,2011Q3,2.4596132285764596,4.695016536243234
ADBE,2018Q4,5.889992436718509,7.455002156923007
ADBE,2020Q1,9.810463248106965,26.81435483444572
ADBE,2022H1,1.9986496505293838,3.3699331072851417
ADI,2008Q4,3.640043780355326,5.272111167231446
ADI,2011Q3,2.1547035787140087,3.110014816541143
ADI,2018Q4,3.09209809093107,4.871330671422901
ADI,2020Q1,8.352394519299747,21.77175844441721
ADI,2022H1,2.7428676448224967,4.623491635948698
ADM,2008Q4,4.669641154810148,8.553082555459161
ADM,2011Q3,3.0824503971077455,5.785377680632994
ADM,2018Q4,3.1619094209265146,4.2753196872365935
ADM,2020Q1,8.307476983248513,20.83196494271493
ADM,2022H1,2.7017553574047466,5.3065729411139655
ADP,2008Q4,6.790317667949225,11.217919271878415
ADP,2011Q3,4.311480546931636,7.871907105739549
ADP,2018Q4,4.660924288662371,6.87068428344518
ADP,2020Q1,14.393530447291132,38.65424732835836
ADP,2022H1,2.82838808995813,4.96627447081573
ADSK,2008Q4,4.543015324264956,6.180671984624695
ADSK,2011Q3,4.227166433596317,8.771041458167087
ADSK,2018Q4,2.5407362251111594,3.4556660177803202
ADSK,2020Q1,6.038384093165481,15.722552604913185
ADSK,2022H1,1.7905109904560181,3.29308015263503
AEE,2008Q4,10.303806300838295,19.315806530930264
AEE,2011Q3,3.3464318046785024,7.507353357094379
AEE,2018Q4,2.2183790058884387,3.437209151320249
AEE,2020Q1,26.345928875990037,71.58379717729709
AEE,2022H1,1.1894602268691719,2.575364820128188
AEP,2008Q4,6.786549306746442,12.957913668703561
AEP,2011Q3,3.325987067112906,7.551315105685058
AEP,2018Q4,1.5678595713275325,1.9350503529734266
AEP,2020Q1,19.49698605108005,53.925054717717614
AEP,2022H1,1.7456906458912114,3.2558801512447584
AES,2008Q4,6.656685384597286,12.565629665192878
AES,2011Q3,4.138175351274259,8.660908965369511
AES,2018Q4,2.0274087633031552,2.776913896520109
AES,2020Q1,16.471005485605126,46.97625595654563
AES,2022H1,2.2445728124916116,4.372498868578652
AFL,2008Q4,5.237731621303316,7.991855686409075
AFL,2011Q3,4.617557549299008,8.078602370261532
AFL,2018Q4,4.888817448994769,8.505587398353502
AFL,2020Q1,27.929811941739768,78.36340148316745
AFL,2022H1,1.4728242580961768,2.429038995081568
AIG,2008Q4,0.5985026024688898,5.32233673808176
AIG,2011Q3,3.479516807381259,6.285936528807381
AIG,2018Q4,4.224188601108509,5.886383202498098
AIG,2020Q1,25.08131025853712,68.85152951652952
AIG,2022H1,1.7151991000201012,3.074338261553326
AIV,2008Q4,8.3870239058564,12.122675964663674
AIV,2011Q3,3.6360885314859672,7.098172654608926
AIV,2018Q4,2.6092131442581317,4.5537373748848875
AIV,2020Q1,35.66422471118638,101.1632497358377
AIV,2022H1,1.1671506599391586,2.272530818609155
