ticker,top,start,runup,top_date,rv_uncond,rv_calm,m_mania,m_blow-off,m_post-top,calm_over_uncond,mu_mania,mu_blow-off,mu_post-top
A,885,695,2.048848091698137,2003-07-15,0.0002929794183996325,0.0014721774502007574,0.39415197946952013,0.3718878823290408,0.36756859044272355,5.024849384446058,1.9805543314156135,1.8686805966040285,1.8469768054278246
A,1193,695,2.169585616029483,2004-10-04,0.0002929794183996325,0.0014721774502007574,0.22130805983899549,0.40336254088891355,0.3472149891553393,5.024849384446058,1.1120396682549278,2.026836015294255,1.7447030245276514
A,2443,2307,2.3159149787607087,2009-09-21,0.0002929794183996325,0.0019626476835704395,0.6177360796324252,0.8252472810245474,0.13696795024015623,6.698926819812751,4.138168791415637,5.528271143832891,0.9175382753185609
A,2777,2307,3.56511076905602,2011-01-18,0.0002929794183996325,0.0019626476835704395,0.2974082882183016,0.21776668961981405,0.27839334707903024,6.698926819812751,1.992316358380181,1.4588031175560112,1.8649366592051555
A,4456,3958,2.0195964747439996,2017-09-19,0.0002929794183996325,0.0001991819325825398,0.4082354271811712,0.9354748070039622,0.48409864109975104,0.6798495732927212,0.277538680972091,0.6359821483677345,0.32911425458325194
A,5289,5086,2.038655393511588,2021-01-11,0.0002929794183996325,0.0006262801469390741,0.3365677867781418,0.49419300688776513,0.37610532742941605,2.1376250603542726,0.7194557355249293,1.0563993561751184,0.8039721732458689
A,5562,5086,2.310231369392733,2022-02-09,0.0002929794183996325,0.0006262801469390741,0.10718993217045514,0.18035377191850116,0.805547280877745,2.1376250603542726,0.22913188522523953,0.38552874258240677,1.7219580549045097
AAPL,1050,825,2.109754522145349,2004-03-10,0.00034266915975652727,0.0005084832738160096,0.749825495894351,1.4618646324257711,1.0436311532011726,1.483889808400897,1.112658411436776,2.169246029318325,1.548633631964895
AAPL,1309,825,6.661576970814802,2005-03-21,0.00034266915975652727,0.0005084832738160096,0.7165131247213175,2.455355387207405,1.6032159509682584,1.483889808400897,1.0632265233594436,3.6434768350793068,2.3789958103075506
AAPL,1573,1086,5.526768363616209,2006-04-06,0.00034266915975652727,0.0005775730387313435,1.2461942802297032,0.8938109402807869,0.8253557597304054,1.6855121690604422,2.1004756243406835,1.5065292166826225,1.391147176829725
AAPL,1873,1379,3.439372895535264,2007-06-18,0.00034266915975652727,0.0007325218486931676,0.35138445088887643,0.32613715749523403,1.1399985186866566,2.1376941222654464,0.7511524753206226,0.697181484629922,2.436968132787781
AAPL,2139,1641,3.5435163317997986,2008-07-08,0.00034266915975652727,0.0006665552542699465,1.057074837239111,0.9429575355649542,2.3534282470451937,1.9451860060693709,2.0562071807655764,1.83422780249861,4.57785569244068
AAPL,2466,2274,2.6240402079550282,2009-10-22,0.00034266915975652727,0.0020137966928727795,0.2075510378594301,0.13017398126772167,0.1385457754659947,5.876795840931875,1.219735076073393,0.7650059117116905,0.8142052370372389
AAPL,2729,2274,4.074423778194895,2010-11-08,0.00034266915975652727,0.0020137966928727795,0.10007293013202323,0.09929308458622958,0.06985691914075084,5.876795840931875,0.5881081795897402,0.5835251865296508,0.4105348518666788
AAPL,2982,2497,2.1499341286939866,2011-11-08,0.00034266915975652727,0.00025808248568829023,0.6689933017829691,0.7972141247472704,0.9302707471327093,0.7531535253177222,0.5038546636517859,0.600424628486489,0.7006366927029513
AAPL,3749,3343,2.2196629486047192,2014-11-26,0.00034266915975652727,0.0005571428703215589,0.34039288076359675,0.25154304759936047,0.582968708572022,1.6258914887975888,0.5534418876808244,0.4089817001580069,0.9478438615025724
AAPL,4519,4115,2.005240251038972,2017-12-18,0.00034266915975652727,0.0003066449991725831,0.27525497498299445,0.6632588659460029,0.7443594915048476,0.8948718915657891,0.2463179401259262,0.5935317159668797,0.6661063861678919
AAPL,5059,4780,2.3412647558432065,2020-02-12,0.00034266915975652727,0.0005260959424903087,0.25136490743732576,0.29085118434169965,3.7900952275937994,1.5352882729922634,0.385917594630312,0.44654041250572246,5.818888756448703
AAPL,5333,4883,2.9476716898052295,2021-03-16,0.00034266915975652727,0.00041075207851950536,1.3471811912459943,0.8775980821349569,0.5064088048513665,1.198684115055327,1.6148446940478858,1.051962880458193,0.607024190099486
AAPL,5595,5093,3.0122307636050523,2022-03-29,0.00034266915975652727,0.0009830918218866462,0.14069364330571843,0.3671201323089565,0.6835830155770004,2.868924132493134,0.4036393885681567,1.0532398071052376,1.9611478099512862
AAPL,6285,5789,2.0936152228592837,2024-12-26,0.00034266915975652727,0.0005208786924506377,0.4123184485118424,0.9193753115210487,,1.5200629459059918,0.6267499954962992,1.3975083444239242,
ABT,520,44,2.015422196385337,2002-01-31,0.00014340271729219536,,,,,,,,
