ticker,peak,trough,depth,peak_date,trough_date,truncated_stab,rv_uncond,span,decay_half_life_uncond,stress_spell_uncond,rv_calm,m_deterioration,m_panic,m_stabilisation,calm_over_uncond,mu_deterioration,mu_panic,mu_stabilisation,rise,decay_half_life,censored,stress_spell,rv_peak_over_calm
A,43,695,-0.9317610145979381,2000-03-06,2002-10-10,False,0.0002929794183996325,652,14.0,115,,,,,,,,,,,,,
A,5453,5994,-0.42734877366582924,2021-09-03,2023-10-30,False,0.0002929794183996325,541,13.0,150,0.0001041834958739195,2.3546355175010802,2.8730749859061966,3.654062047637162,0.3556000501434888,0.8373085080930237,1.0216656090542469,1.2993846473671942,171.0,18.0,False,200.0,9.114981682862114
AAPL,55,825,-0.8180144136073635,2000-03-22,2003-04-17,False,0.00034266915975652727,770,11.0,21,,,,,,,,,,,,,
AAPL,1516,1641,-0.4079917476276106,2006-01-13,2006-07-14,False,0.00034266915975652727,125,17.0,253,0.0005230598950569591,0.9374447353191315,1.980350163298115,1.0825552062988046,1.5264282768504838,1.43094215197574,3.022862487323716,1.6524428781462044,129.0,17.0,False,248.0,2.2657637066221907
AAPL,2008,2274,-0.6086673369316596,2007-12-28,2009-01-20,False,0.00034266915975652727,266,18.0,30,0.0007820282981470019,0.6388698503877768,5.716800182857608,1.0988792373838339,2.2821671454257726,1.458007782758063,13.046693554281683,2.5078260923479143,196.0,15.0,False,30.0,7.111953339580196
AAPL,3199,3343,-0.43797170555742415,2012-09-19,2013-04-19,False,0.00034266915975652727,144,18.0,21,0.0003169198310812927,0.60618271693473,1.5752628146398542,0.6326468688188834,0.9248565914320099,0.5606320813692494,1.4568921973574096,0.5851076266759665,72.0,18.0,False,21.0,4.163224600972898
AAPL,3870,4115,-0.3044375987472947,2015-05-22,2016-05-12,False,0.00034266915975652727,245,10.0,113,0.0002477430320684388,0.6295909171519729,1.5196330268928102,0.7762915320228368,0.7229802420634083,0.45518179368345657,1.0986646536305138,0.5612434397336447,25.0,10.0,False,123.0,3.61607547223878
AAPL,4718,4780,-0.3851591763166259,2018-10-03,2019-01-03,False,0.00034266915975652727,62,15.0,49,0.0001749413697249482,3.9547002186353315,7.0528690836887735,1.514910941199873,0.5105255747241663,2.0189756019805882,3.6006700424045146,0.7734007789119927,41.0,20.0,False,58.0,7.192693830740243
AAPL,5059,5086,-0.31427261778556925,2020-02-12,2020-03-23,False,0.00034266915975652727,27,13.0,22,0.0002007415265433229,1.2865767907897447,20.659242709552306,3.5495131876480017,0.5858173133699964,0.7536989590246402,12.102542060368616,2.0793662793593244,22.0,13.0,False,22.0,21.682017415817633
AAPL,5536,5789,-0.30912816560399126,2022-01-03,2023-01-05,False,0.00034266915975652727,253,16.0,143,0.0002036216843521673,1.5847824844544742,5.242718487014335,1.1086821249147931,0.5942223820108126,0.9417132228815511,3.115340667565781,0.6588037331596777,203.0,20.0,False,149.0,5.462741110020424
ABT,520,639,-0.45664830366107645,2002-01-31,2002-07-23,False,0.00014340271729219536,119,19.0,52,0.00018102981821224942,1.1605848364918279,13.242104644603431,5.197532771409876,1.2623876425115823,1.4651079556736089,16.7166692641926,6.561301142176805,59.0,19.0,False,52.0,12.837801127235842
ABT,5044,5086,-0.31613349876822927,2020-01-22,2020-03-23,False,0.00014340271729219536,42,15.0,24,0.0001398440401232386,0.880609921174409,22.765732109097073,5.9258058617458325,0.9751840325193724,0.8587567340074268,22.200778441405042,5.778751256184235,24.0,15.0,False,24.0,27.341239363630926
ABT,5531,5982,-0.33876732407629895,2021-12-27,2023-10-12,False,0.00014340271729219536,451,5.0,249,0.0001196620936637788,1.4512783704960441,1.34205075047297,0.9048078689939526,0.8344478816252623,1.2110161619089868,1.1198714057657635,0.7550150095598716,206.0,5.0,False,249.0,5.01264002842197
ACGL,2191,2307,-0.439473045651106,2008-09-19,2009-03-09,False,0.00014047722506645616,116,8.0,123,0.00022491623380810506,1.6461958656433922,9.159262708900362,4.086074965427136,1.6010868217371392,2.6357025064797974,14.664774820048782,6.542160779775425,28.0,4.0,False,123.0,10.14061277522026
ACGL,5063,5122,-0.5383976875158931,2020-02-19,2020-05-13,False,0.00014047722506645616,59,11.0,26,0.00010472801643077286,1.1482744810039334,58.357624136363015,9.146993454535744,0.745515982261386,0.8560569776113305,43.506541480461436,6.819229809996684,27.0,11.0,False,26.0,77.55241435830023
ADBE,214,648,-0.7988731749851239,2000-11-06,2002-08-05,False,0.0003492092615448821,434,20.0,90,0.0018984803739468222,3.371352333384014,2.8495673041421625,0.8184469229279061,5.436512094633607,18.328397735713423,15.491707113441349,4.449496595313222,35.0,19.0,False,79.0,5.368751266503452
ADBE,1963,2303,-0.6670833428700764,2007-10-24,2009-03-03,False,0.0003492092615448821,340,33.0,48,0.00017268057225129277,4.085768030145065,27.70745978963855,8.00255838767568,0.49449024200378777,2.020372421997773,13.701068496688585,3.9571870337711887,242.0,33.0,False,127.0,28.562922361492166
