item,property,statistic,criterion,pass,n_seeds
1,No linear autocorrelation of returns in calm phases (Cont 1),LB Q(10) p>0.05 in 92%; median |ACF(1)| = 0.070,>= 80% of seeds p>0.05; |ACF(1)| < 0.15,True,200
2,"Heavy tails (Cont 2, 7)",excess kurtosis > 1.5 in 63% (median 2.32); JB rejects in 85%; Hill median 3.73,kurtosis > 1.5 in >= 80%; JB rejects; Hill 2.5-5,False,920
3,Volatility clustering (Cont 6),LB|r| p<0.01 in 58%; LB r^2 in 48%; ARCH-LM(5) rejects in 38%; median ACF|r|(1) = 0.171,p < 0.01 in >= 80%; ACF|r|(1) 0.1-0.4,False,920
4,Decay of ACF|r| (Cont 8),"median ACF|r| at lags 1: 0.024, 5: -0.001, 10: 0.005, 20: -0.014, 50: -0.010",descriptive (T = 800 paths); not a pass criterion,,20
5,GARCH persistence recoverable,median alpha+beta = 0.956,"median alpha + beta in [0.90, 0.995]",True,920
6,Leverage effect (Cont 9),"corr(r_t,|r_t+1|) < 0 in 71% (median -0.070); GJR gamma median 0.007",negative in >= 70%; gamma > 0,True,920
7,Volume-volatility (Cont 10),"median Spearman corr(volume,|r|) = 0.253; median AC(1) log volume = 0.754; Shapiro p > 0.01 in 59% of seeds (median p = 0.054)",corr 0.2-0.5; AC(1) 0.5-0.8; log-normality not rejected (p > 0.01 in >= 50% of seeds),True,920
8,Gain/loss asymmetry in crash (Cont 3),median skew = -0.304; worst day larger than best in 75%,skew < 0; worst > best in >= 70% of crash seeds,True,300
9,Mispricing persistence (FW regime),"200-day calm windows: median ACF(1) of x = 0.9577, half-life = 16 d, sd(x) = 0.012; T=800 phase-free: ACF(1) = 0.9916, half-life = 83 d, sd(x) = 0.031 (criterion applied here)",ACF(1) >= 0.98; half-life >= 60 d; sd 0.08-0.20,False,20
10,Delta matters,"event-window MDD: partial R2 of delta (controlling D_V) = 0.77, spread between delta 0.55 and 0.85 = 22.2 pp, means 0.55: -56.7%, 0.7: -45.0%, 0.85: -34.5%; whole-path MDD (reported): partial R2 0.75, spread 21.2 pp, means 0.55: -58.6%, 0.7: -47.5%, 0.85: -37.4%","partial R2 > 0.7; spread >= 20 pp between delta 0.55 and 0.85 (event-window MDD, amendment A7)",True,300
11,Bubble shape and populations,mean 2nd difference of log P over mania > 0 in 86% (median 9.37e-05); topped share = 75%; median peak P/V in topped seeds = 2.23,convex; 40-60% topped; peak P/V 1.6-2.5 in topped seeds,False,100
12,Sentiment dynamics,"median ACF(1) = 0.910; median corr(s_t, r_t) = 0.437; median calm corr(s_t-1, r_t) = 0.050 (configured b_pred = 0.0008)",ACF(1) 0.7-0.9; corr 0.25-0.55; lagged corr equals configured b_pred within CI,False,920
13,IV realism,"mean IV calm 12.5%, panic 16.7%; median corr(IV, next-20d RV) = 0.16; IV-RV calm +2.6 pts, panic +3.5 pts; sd of calm IV across seeds 2.33","calm 25-35%, panic 60-100%; corr 0.4-0.8; IV-RV +3..+8 calm, +10..+25 panic; non-degenerate across seeds",False,920
14,Value leak,see evaluation.leakage_audit (L1-L3),calm R2 <= 0.30; event R2 < 0.90 & MAPE >= 10%; no inversion,,0
15,Phase/time separability,"macro-phase accuracy from day alone = 63.2% (mixed set, 920 paths; within-scenario mean 73.1%); |corr(day, phase id)| = 0.10",< 80% on the mixed set; < 0.9,True,920
16,Composite phase clock,see evaluation.leakage_audit (L2b),selectivity <= 10 pp,,0
17,Conditioning,flat: rejection rate 0.0%; bull_trap: rejection rate 3.8%; crash: rejection rate 1.0%; sustained_bull: rejection rate 2.0%; mixed: rejection rate 1.0%; flat_T800: rejection rate 0.0%; bull-trap topped share 75%,rejection < 5% per scenario; joint conditioning published,True,920
18,Start design applied,unit test (tests/),C_0 as configured,,0
19,Action-space reachability,unit test (tests/),any allocation reachable; SELL feasible at t=1,,0
20,Magnitudes,median crash MDD = -48.5%; median calm daily sigma (flat) = 0.67%; median worst panic day = -3.1%,crash MDD -20..-65%; calm sigma 1.4-2.2%/day; worst day -6..-15% in panic,False,400
