item,property,statistic,criterion,pass,n_seeds
1,No linear autocorrelation of returns in calm phases (Cont 1),LB Q(10) p>0.05 in 81%; median |ACF(1)| = 0.083,>= 80% of seeds p>0.05; |ACF(1)| < 0.15,True,200
2,"Heavy tails (Cont 2, 7)",excess kurtosis > 1.5 in 69% (median 2.35); JB rejects in 90%; Hill median 3.52,kurtosis > 1.5 in >= 80%; JB rejects; Hill 2.5-5,False,920
3,Volatility clustering (Cont 6),LB|r| p<0.01 in 71%; LB r^2 in 64%; ARCH-LM(5) rejects in 52%; median ACF|r|(1) = 0.186,p < 0.01 in >= 80%; ACF|r|(1) 0.1-0.4,False,920
4,Decay of ACF|r| (Cont 8),"median ACF|r| at lags 1: 0.188, 5: 0.157, 10: 0.096, 20: 0.059, 50: 0.003",descriptive (T = 800 paths); not a pass criterion,,20
5,GARCH persistence recoverable,median alpha+beta = 0.967,"median alpha + beta in [0.90, 0.995]",True,920
6,Leverage effect (Cont 9),"corr(r_t,|r_t+1|) < 0 in 69% (median -0.053); GJR gamma median 0.080",negative in >= 70%; gamma > 0,False,920
7,Volume-volatility (Cont 10),"median Spearman corr(volume,|r|) = 0.358; median AC(1) log volume = 0.812; Shapiro p > 0.01 in 48% of seeds (median p = 0.007)",corr 0.2-0.5; AC(1) 0.5-0.8; log-normality not rejected (p > 0.01 in >= 50% of seeds),False,920
8,Gain/loss asymmetry in crash (Cont 3),median skew = -0.098; worst day larger than best in 58%,skew < 0; worst > best in >= 70% of crash seeds,False,300
9,Mispricing persistence (FW regime),"200-day calm windows: median ACF(1) of x = 0.9469, half-life = 13 d, sd(x) = 0.049; T=800 phase-free: ACF(1) = 0.9929, half-life = 98 d, sd(x) = 0.133 (criterion applied here)",ACF(1) >= 0.98; half-life >= 60 d; sd 0.08-0.20,True,20
10,Delta matters,"event-window MDD: partial R2 of delta (controlling D_V) = 0.19, spread between delta 0.55 and 0.85 = 16.2 pp, means 0.55: -58.2%, 0.7: -49.4%, 0.85: -42.0%; whole-path MDD (reported): partial R2 0.17, spread 14.5 pp, means 0.55: -61.8%, 0.7: -53.7%, 0.85: -47.3%","partial R2 > 0.7; spread >= 20 pp between delta 0.55 and 0.85 (event-window MDD, amendment A7)",False,300
11,Bubble shape and populations,mean 2nd difference of log P over mania > 0 in 63% (median 1.31e-04); topped share = 71%; median peak P/V in topped seeds = 2.19,convex; 40-60% topped; peak P/V 1.6-2.5 in topped seeds,False,100
12,Sentiment dynamics,"median ACF(1) = 0.889; median corr(s_t, r_t) = 0.375; median calm corr(s_t-1, r_t) = -0.008 (configured b_pred = 0.0008)",ACF(1) 0.7-0.9; corr 0.25-0.55; lagged corr equals configured b_pred within CI,True,920
13,IV realism,"mean IV calm 37.7%, panic 83.0%; median corr(IV, next-20d RV) = 0.43; IV-RV calm +17.6 pts, panic +46.2 pts; sd of calm IV across seeds 21.52","calm 25-35%, panic 60-100%; corr 0.4-0.8; IV-RV +3..+8 calm, +10..+25 panic; non-degenerate across seeds",False,920
14,Value leak,see evaluation.leakage_audit (L1-L3),calm R2 <= 0.30; event R2 < 0.90 & MAPE >= 10%; no inversion,,0
15,Phase/time separability,"macro-phase accuracy from day alone = 63.4% (mixed set, 920 paths; within-scenario mean 71.7%); |corr(day, phase id)| = 0.10",< 80% on the mixed set; < 0.9,True,920
16,Composite phase clock,see evaluation.leakage_audit (L2b),selectivity <= 10 pp,,0
17,Conditioning,flat: rejection rate 0.0%; bull_trap: rejection rate 7.4%; crash: rejection rate 2.0%; sustained_bull: rejection rate 36.3%; mixed: rejection rate 2.3%; flat_T800: rejection rate 0.0%; bull-trap topped share 71%,rejection < 5% per scenario; joint conditioning published,False,920
18,Start design applied,unit test (tests/),C_0 as configured,,0
19,Action-space reachability,unit test (tests/),any allocation reachable; SELL feasible at t=1,,0
20,Magnitudes,median crash MDD = -54.8%; median calm daily sigma (flat) = 1.44%; median worst panic day = -7.2%,crash MDD -20..-65%; calm sigma 1.4-2.2%/day; worst day -6..-15% in panic,True,400
