item,property,statistic,criterion,pass,n_seeds
1,No linear autocorrelation of returns in calm phases (Cont 1),LB Q(10) p>0.05 in 91%; median |ACF(1)| = 0.075,>= 80% of seeds p>0.05; |ACF(1)| < 0.15,True,200
2,"Heavy tails (Cont 2, 7)",excess kurtosis > 1.5 in 62% (median 2.28); JB rejects in 84%; Hill median 3.69,kurtosis > 1.5 in >= 80%; JB rejects; Hill 2.5-5,False,920
3,Volatility clustering (Cont 6),LB|r| p<0.01 in 58%; LB r^2 in 47%; ARCH-LM(5) rejects in 36%; median ACF|r|(1) = 0.153,p < 0.01 in >= 80%; ACF|r|(1) 0.1-0.4,False,920
4,Decay of ACF|r| (Cont 8),"median ACF|r| at lags 1: 0.034, 5: 0.004, 10: 0.008, 20: -0.012, 50: -0.011",descriptive (T = 800 paths); not a pass criterion,,20
5,GARCH persistence recoverable,median alpha+beta = 0.957,"median alpha + beta in [0.90, 0.995]",True,920
6,Leverage effect (Cont 9),"corr(r_t,|r_t+1|) < 0 in 70% (median -0.065); GJR gamma median 0.015",negative in >= 70%; gamma > 0,False,920
7,Volume-volatility (Cont 10),"median Spearman corr(volume,|r|) = 0.256; median AC(1) log volume = 0.765; Shapiro p > 0.01 in 58% of seeds (median p = 0.042)",corr 0.2-0.5; AC(1) 0.5-0.8; log-normality not rejected (p > 0.01 in >= 50% of seeds),True,920
8,Gain/loss asymmetry in crash (Cont 3),median skew = -0.303; worst day larger than best in 73%,skew < 0; worst > best in >= 70% of crash seeds,True,300
9,Mispricing persistence (FW regime),"200-day calm windows: median ACF(1) of x = 0.9568, half-life = 16 d, sd(x) = 0.014; T=800 phase-free: ACF(1) = 0.9888, half-life = 61 d, sd(x) = 0.031 (criterion applied here)",ACF(1) >= 0.98; half-life >= 60 d; sd 0.08-0.20,False,20
10,Delta matters,"event-window MDD: partial R2 of delta (controlling D_V) = 0.81, spread between delta 0.55 and 0.85 = 22.4 pp, means 0.55: -56.2%, 0.7: -44.6%, 0.85: -33.8%; whole-path MDD (reported): partial R2 0.79, spread 21.3 pp, means 0.55: -58.2%, 0.7: -47.1%, 0.85: -36.8%","partial R2 > 0.7; spread >= 20 pp between delta 0.55 and 0.85 (event-window MDD, amendment A7)",True,300
11,Bubble shape and populations,mean 2nd difference of log P over mania > 0 in 83% (median 7.90e-05); topped share = 64%; median peak P/V in topped seeds = 2.13,convex; 40-60% topped; peak P/V 1.6-2.5 in topped seeds,False,100
12,Sentiment dynamics,"median ACF(1) = 0.907; median corr(s_t, r_t) = 0.425; median calm corr(s_t-1, r_t) = 0.046 (configured b_pred = 0.0008)",ACF(1) 0.7-0.9; corr 0.25-0.55; lagged corr equals configured b_pred within CI,False,920
13,IV realism,"mean IV calm 13.1%, panic 19.0%; median corr(IV, next-20d RV) = 0.21; IV-RV calm +2.9 pts, panic +5.3 pts; sd of calm IV across seeds 3.21","calm 25-35%, panic 60-100%; corr 0.4-0.8; IV-RV +3..+8 calm, +10..+25 panic; non-degenerate across seeds",False,920
14,Value leak,see evaluation.leakage_audit (L1-L3),calm R2 <= 0.30; event R2 < 0.90 & MAPE >= 10%; no inversion,,0
15,Phase/time separability,"macro-phase accuracy from day alone = 63.0% (mixed set, 920 paths; within-scenario mean 73.5%); |corr(day, phase id)| = 0.10",< 80% on the mixed set; < 0.9,True,920
16,Composite phase clock,see evaluation.leakage_audit (L2b),selectivity <= 10 pp,,0
17,Conditioning,flat: rejection rate 0.0%; bull_trap: rejection rate 6.5%; crash: rejection rate 0.7%; sustained_bull: rejection rate 2.0%; mixed: rejection rate 1.0%; flat_T800: rejection rate 0.0%; bull-trap topped share 64%,rejection < 5% per scenario; joint conditioning published,False,920
18,Start design applied,unit test (tests/),C_0 as configured,,0
19,Action-space reachability,unit test (tests/),any allocation reachable; SELL feasible at t=1,,0
20,Magnitudes,median crash MDD = -48.2%; median calm daily sigma (flat) = 0.70%; median worst panic day = -3.2%,crash MDD -20..-65%; calm sigma 1.4-2.2%/day; worst day -6..-15% in panic,False,400
