ticker,peak,total_logV_change,V_fell,share_before_onset,share_onset_to_trough,share_after_trough
AAPL,4718,0.09931165507128137,False,,,
AAPL,5059,0.008583743691390922,False,,,
ABT,5044,0.0825210236880034,False,,,
ACGL,5063,-0.08675092640865456,True,-0.0,-1.456379710078223,2.456379710078223
ADI,5064,-0.20097267342005543,True,-0.0,0.587755366247169,0.412244633752831
ADP,5063,0.02943935545068177,False,,,
ADSK,4006,0.0,False,,,
ADSK,5063,0.3700183591124162,False,,,
AEP,5062,-0.1468471686002948,True,-0.0,0.7139820646528491,0.2860179353471509
AIV,5065,-1.101078381163303,True,-0.0,0.21902351453136104,0.7809764854686391
AIV,5503,0.0,False,,,
AJG,5061,0.2802420651870854,False,,,
ALB,2855,0.22208478996596748,False,,,
ALB,5508,-0.9558345990131212,True,1.2301624630997754,0.6062184756473425,-0.8363809387471178
ALL,5061,0.40794342412263207,False,,,
AMAT,5063,0.08931552547447996,False,,,
AMAT,6167,-0.010315277711833382,True,-0.0,-2.185968261498768,3.185968261498768
AMD,5063,0.8167611365271226,False,,,
AME,2845,-0.059592097202245675,True,-0.0,0.13926012347794844,0.8607398765220515
AME,5035,0.09676755193499442,False,,,
AMT,5060,0.17170525583889695,False,,,
AMZN,4022,1.254773019423392,False,,,
AMZN,4697,0.46710367554594523,False,,,
ANF,6149,0.41713740505355723,False,,,
AON,5063,0.11510422344635707,False,,,
AOS,2906,0.7910431971736118,False,,,
APD,5061,0.028820438535491544,False,,,
APD,5500,0.12225731605130408,False,,,
APH,5041,-0.03871451218069066,True,5.735435949410691e-15,0.39536650264986983,0.6046334973501244
ARE,5061,0.7073318155519015,False,,,
ATO,5062,0.04683129968409938,False,,,
AVY,5054,0.9098644334286266,False,,,
AXP,5063,-0.22767186093895697,True,-0.0,0.15621058120933126,0.8437894187906687
AZO,5016,0.029657713172332123,False,,,
BBY,4690,0.10939859440710675,False,,,
BBY,5064,0.31481073984003327,False,,,
BEN,2895,0.11102187920908824,False,,,
BF-B,5045,0.005602255548669888,False,,,
BIO,4697,0.20958048476658941,False,,,
BKNG,3985,0.10237988751968796,False,,,
BLK,5059,0.04045495469231364,False,,,
BRO,5064,0.29623467091072664,False,,,
BWA,2830,0.3933437475758197,False,,,
BWA,3069,-0.016000341346440683,True,-3.963779588465138,1.3877491743288695e-14,4.963779588465124
CB,5054,0.01372448242556601,False,,,
CCK,5061,0.03857227478624026,False,,,
CDNS,5063,0.8445468270153138,False,,,
CHD,5615,-0.10931308997365008,True,0.16384978753091814,0.3367755236961075,0.4993746887729743
CINF,5610,-1.7063896794743774,True,-0.0,1.0,-0.0
CMCSA,5042,-0.06429435070539702,True,-0.7778353778516914,-6.907126442335854e-15,1.7778353778516982
CMI,2848,0.48011303707846054,False,,,
CMI,3071,0.0508756706604534,False,,,
CMI,4996,-0.16598513747426047,True,-2.675475748055624e-15,0.6575990138154445,0.34240098618455816
COF,5044,-0.794112084744734,True,-0.0,0.02804721907271204,0.971952780927288
COO,5044,-0.026840043789813084,True,-1.654577068978602e-14,-0.0,1.0000000000000167
COP,5643,0.22252797727199525,False,,,
COST,5602,0.02382956283298343,False,,,
CPRT,4702,0.23159260580073737,False,,,
CPRT,5063,-0.020000666706669445,True,-0.0,-2.572829097657841,3.572829097657841
CPT,5065,0.29657101986902745,False,,,
CSGP,5489,-1.7828308384837532,True,-0.0,1.0000000000000004,-4.981843484688068e-16
CSX,2895,-0.3447065008959369,True,0.4416923534410627,-0.0,0.5583076465589373
CSX,5064,-0.011976191046715545,True,-0.0,0.5985617172146165,0.4014382827853835
CTAS,5063,0.035757999574780985,False,,,
CTSH,2848,0.1123035698917576,False,,,
D,5073,0.278379679789468,False,,,
DDS,2903,0.06397529949497205,False,,,
DDS,5811,-0.019610453570540365,True,-0.0,-0.870488816062998,1.870488816062998
