seed,scenario,attempts,rejected,accepted,script_r2,n_event_days,topped,max_x,sd_x
241000,bull_trap,1,0,True,0.007612194666783651,113,False,0.3797469130897785,0.13658271346347567
241001,bull_trap,1,0,True,0.0013358655617845862,146,False,0.4042540003839122,0.1455576183499579
241002,bull_trap,1,0,True,0.007270981031477982,101,False,0.36192741500978093,0.1278558986942172
241003,bull_trap,1,0,True,0.019950910186048866,100,False,0.46032750022795266,0.18771851337084483
241004,bull_trap,1,0,True,0.00474614764425418,96,False,0.3869942057194345,0.124500022473422
241005,bull_trap,1,0,True,3.3197143897640353e-06,127,False,0.35178520730831636,0.10741720726759332
241006,bull_trap,1,0,True,0.0003988939464456181,117,False,0.36918545544769843,0.13860221056523103
241007,bull_trap,1,0,True,0.00027361090385875296,114,False,0.4007837362376077,0.1712279855236303
241008,bull_trap,1,0,True,0.31646055163914594,139,True,0.315002071054397,0.11156438584078576
241009,bull_trap,1,0,True,0.085203310982443,142,True,0.4155665963853194,0.13794255820161225
241010,bull_trap,1,0,True,0.026208764801298443,149,True,0.5173217258005193,0.16612412183292286
241011,bull_trap,1,0,True,0.06025052196708906,97,False,0.3093628895368256,0.14087785498332997
241012,bull_trap,1,0,True,0.02210984741573828,127,False,0.3811319817213769,0.13467005759677153
241013,bull_trap,1,0,True,0.0018420950458967501,140,False,0.4082504371383527,0.1278225552100107
241014,bull_trap,1,0,True,0.006474554274482665,123,False,0.3977114579469727,0.11016781432328981
241015,bull_trap,1,0,True,0.01279543642109228,131,False,0.3950857149844903,0.14354285539147207
241016,bull_trap,1,0,True,0.030145092845220937,119,False,0.3036860326955589,0.12904461863988045
241017,bull_trap,1,0,True,0.0032597896476501366,146,False,0.44104836566607464,0.1354716363381006
241018,bull_trap,2,1,True,0.0009353096016692678,121,False,0.4802907332864061,0.16680641457604026
241019,bull_trap,1,0,True,1.0218243858361389e-05,99,False,0.3471132024921502,0.14836764797565496
241020,bull_trap,1,0,True,0.4481652629581931,94,True,0.3200272802570835,0.10550821837502745
241021,bull_trap,1,0,True,0.010445582421012298,120,False,0.42293676339098185,0.15297768268735717
241022,bull_trap,2,1,True,0.009880801894511296,103,False,0.3280925936516585,0.10230443092771654
241023,bull_trap,1,0,True,0.0016318014214408063,114,False,0.3608874734310635,0.09545493791199826
241024,bull_trap,1,0,True,0.0033847068531652025,133,False,0.3846522086466858,0.1171978949119408
241025,bull_trap,1,0,True,0.0036513521757123384,146,False,0.3833648079351934,0.13518020961164484
241026,bull_trap,2,1,True,0.004665427079512665,131,False,0.4546168456906854,0.1667164567522493
241027,bull_trap,1,0,True,0.0871540822770052,102,True,0.3957205086373126,0.10500304352120633
241028,bull_trap,1,0,True,5.4162763866495724e-06,124,False,0.47481923929576686,0.1425665305791752
241029,bull_trap,1,0,True,0.0006842390662498205,106,False,0.3451817841215198,0.12187101500528086
