seed,scenario,attempts,rejected,accepted,script_r2,n_event_days,depth,duration,rise,sd_x
240000,crash,1,0,True,0.0025005943968857427,95,-0.4950735680237738,33.0,14.0,0.10605937793485505
240001,crash,1,0,True,0.03123865452975372,133,-0.4499493184052964,63.0,103.0,0.06124835184121246
240002,crash,1,0,True,0.025390173240581862,115,-0.5564500834312678,121.0,130.0,0.08831673328548231
240003,crash,1,0,True,0.05664080429728079,137,,,,0.040437446064646505
240004,crash,1,0,True,0.037792925424617034,98,-0.5082194261016137,27.0,58.0,0.14093542696809175
240005,crash,1,0,True,0.19506725063207261,102,-0.6468071538853802,55.0,25.0,0.11437177695202048
240006,crash,1,0,True,0.05465491779284077,104,-0.6228756309165635,89.0,90.0,0.1481845877719699
240007,crash,1,0,True,0.04826533008793121,136,-0.3335786404526421,23.0,19.0,0.1000882966522247
240008,crash,1,0,True,0.021978178099972507,142,-0.5743349679778331,117.0,70.0,0.17362957588010375
240009,crash,2,1,True,0.05586988936156627,115,,,,0.1503986646226628
240010,crash,1,0,True,0.029386525358235216,132,-0.5364110418623744,71.0,70.0,0.1729161840205183
240011,crash,1,0,True,0.06670390945269482,99,-0.47189226690254626,67.0,19.0,0.055704195552717536
240012,crash,1,0,True,0.00932920083702564,94,,,,0.18472546348135635
240013,crash,1,0,True,0.07175676107894677,133,-0.5952497502381291,98.0,94.0,0.14092411342071587
240014,crash,1,0,True,0.056320550401722194,125,,,,0.09559157650450528
240015,crash,1,0,True,0.03425874198561893,146,-0.35168961214581207,28.0,23.0,0.08283277836533494
240016,crash,1,0,True,0.06922259449664302,92,,,,0.07156449103232812
240017,crash,2,1,True,0.03742373684623052,117,-0.569314584333766,81.0,27.0,0.12857905843010467
240018,crash,1,0,True,0.036946920991216464,141,,,,0.06289099683117089
240019,crash,1,0,True,0.07142171979627518,104,-0.554142473073137,41.0,20.0,0.12072119377951097
240020,crash,1,0,True,0.06884620502612869,104,-0.5079641107905462,96.0,29.0,0.1482685744817164
240021,crash,1,0,True,0.06551682714804893,93,-0.52364493299132,32.0,28.0,0.15260202042939086
240022,crash,1,0,True,0.01623989628153512,141,,,,0.1253307033205788
240023,crash,1,0,True,0.05724616720117323,114,-0.46295253442788586,102.0,110.0,0.09619177917210528
240024,crash,1,0,True,0.0550916095679391,150,-0.37857329928500605,37.0,22.0,0.07327413350502442
240025,crash,1,0,True,0.07020233670499158,126,-0.6111728454224528,117.0,109.0,0.11435840280732797
240026,crash,1,0,True,0.04028276947753834,94,-0.5559547308504653,123.0,114.0,0.09242571678478667
240027,crash,1,0,True,0.005087384698050033,120,,,,0.12114945453425921
240028,crash,1,0,True,0.029935086207096957,127,-0.3681358409032526,61.0,68.0,0.06721292319470185
240029,crash,2,1,True,0.022814504260699024,139,-0.46202970218147155,50.0,29.0,0.0945453785021506
240030,crash,1,0,True,0.047381401942856546,144,-0.42838141256229567,93.0,101.0,0.08196349413184521
240031,crash,1,0,True,0.07270849807455032,95,-0.5448966829088424,39.0,41.0,0.17304238510508554
240032,crash,1,0,True,0.0653898272940455,94,,,,0.1354383060507215
240033,crash,1,0,True,0.06928042518503996,110,-0.5441821499680906,75.0,90.0,0.09320323673847809
240034,crash,1,0,True,0.05269296597876173,141,-0.5262079280615608,96.0,77.0,0.09710750631881324
240035,crash,1,0,True,0.02216657680909778,121,-0.5368820770882949,124.0,85.0,0.14363647681767652
240036,crash,2,1,True,0.051906509213868,91,,,,0.15324314760059038
240037,crash,1,0,True,0.08560910416167683,136,-0.48905111912076504,14.0,14.0,0.09434495413694152
240038,crash,1,0,True,0.09082894546710428,142,-0.39788985907878627,27.0,26.0,0.11248088143472289
240039,crash,1,0,True,0.016417019470649354,128,-0.4937755340339345,80.0,93.0,0.08686755325915022
240040,crash,1,0,True,0.036480133424955874,116,,,,0.10315233067565775
240041,crash,2,1,True,0.012018253328634008,111,-0.3285069606654817,61.0,46.0,0.07221605146101807
240042,crash,1,0,True,0.03588080068545073,101,-0.430488598447085,20.0,19.0,0.05549189485609609
240043,crash,1,0,True,0.03299767260086308,142,-0.6600200892444816,20.0,17.0,0.2363707538174584
240044,crash,1,0,True,0.0397105846193118,108,-0.7452001107259638,92.0,90.0,0.28858905732130374
240045,crash,1,0,True,0.06000401562659422,140,-0.3624710382804308,71.0,41.0,0.071632741354574
240046,crash,2,1,True,0.014247384390078421,128,-0.38305411452542937,71.0,104.0,0.10142263476627474
240047,crash,1,0,True,0.023730150756088357,120,-0.661325734004347,123.0,114.0,0.1745458928982188
240048,crash,1,0,True,0.030401023063283402,134,,,,0.07732155770617191
240049,crash,1,0,True,0.04213727260090481,145,-0.5008877877340676,90.0,59.0,0.10644661819439882
240050,crash,1,0,True,0.04427485292474454,132,-0.5795809028082427,60.0,72.0,0.13622927446243635
240051,crash,1,0,True,0.07040206356566323,100,-0.6084633498805994,78.0,67.0,0.12398362903037113
240052,crash,2,1,True,0.02116040548716698,137,-0.4536603858696836,61.0,40.0,0.07376183031100275
240053,crash,1,0,True,0.03333755774960325,126,-0.4175043409972746,83.0,87.0,0.12979501045908706
240054,crash,1,0,True,0.011466755927015635,121,,,,0.09083177631849486
240055,crash,1,0,True,0.02577127665865063,126,-0.5371993146350703,101.0,114.0,0.11384353102397447
240056,crash,1,0,True,0.041154739296260553,134,-0.41689907837556284,70.0,20.0,0.10120288825247963
240057,crash,1,0,True,0.03963219584731913,132,,,,0.09907523169790804
240058,crash,2,1,True,0.020689895744874537,131,-0.38074371058945555,62.0,63.0,0.09792419235844924
