scope,statistic,n,p10,p25,p50,p75,p90,mean,sd,n_windows_scope
all,lb_p_r,12927,0.023670528407296446,0.143309342392913,0.39225632159192025,0.6800445037636398,0.8665553751042606,0.4213399453405038,0.30443651511480485,12927
all,acf1_r,12927,-0.13858386162129285,-0.0795549459693898,-0.02023692314681786,0.035354256177661345,0.08575680039061895,-0.024457407565025863,0.09110915497177706,12927
all,abs_acf1_r,12927,0.011048095797145266,0.027253208026404983,0.05851937193487718,0.10185485239998501,0.15114845825200807,0.07246874321275154,0.060390099740206496,12927
all,kurtosis,12927,0.4664963378680587,1.0422719356931376,2.17286594307138,4.8604690744089725,10.740907134572574,4.663658259431692,8.076314381173141,12927
all,jb_p,12927,1.015094062197111e-223,4.776589875967156e-48,8.240071078861177e-11,0.0024687679111536384,0.19050477427247017,0.05840496147415093,0.1702553084717709,12927
all,hill,12927,2.3080913984455123,2.822764549086529,3.5563598845796194,4.471703220733777,5.571745619809766,3.806874440811888,1.4214224489434455,12927
all,lb_p_absr,12927,3.6972961591474836e-07,0.005598707540999073,0.1822630516318432,0.569992768079115,0.8353877458729795,0.30703651800992277,0.3237350420479843,12927
all,lb_p_r2,12927,3.1636883368413954e-06,0.02047103062954697,0.4473912837464289,0.9219374167306444,0.9975320678143119,0.47262139922467733,0.40445023051078016,12927
all,arch_lm_p,12927,0.00015470563231251923,0.03243352356680694,0.3950250180202189,0.8583076445399631,0.9823941647196682,0.44721857302161316,0.38683348033246756,12927
all,acf1_absr,12927,-0.025590084293067205,0.02477401374519228,0.08726325798617499,0.1545739797929911,0.23211300338860127,0.09833094543203111,0.10848894468092221,12927
all,acf5_absr,12927,-0.0508844423921959,-0.009241038212743347,0.04271963469435292,0.10466421445146355,0.17165159356079726,0.056146234156442446,0.0974759600305857,12927
all,acf10_absr,12927,-0.062041100309081804,-0.022454705066688434,0.029146290821747245,0.08718148548519307,0.14731496504672514,0.03793197334057196,0.08731259035188446,12927
all,acf20_absr,12927,-0.07153709860131627,-0.03430435644775076,0.009476497228769589,0.05802511962603939,0.107595076170213,0.014166084428168675,0.06984890644086329,12927
all,acf50_absr,12927,-0.08236299919565641,-0.047462109619702486,-0.008975012417781356,0.030201896463543165,0.06965329708217873,-0.007938243380085579,0.06066579045416275,12927
all,garch_alpha,12927,0.0,1.6003966072368426e-12,0.05794978659717188,0.1513751147646666,0.2699141290069553,0.10597558648571068,0.14924314486506957,12927
all,garch_beta,12927,1.2034706093537965e-10,0.5216926060389113,0.825254475267863,0.9614722745768793,0.9949581354478082,0.6899179663014877,0.3362911849363054,12927
all,garch_persistence,12927,0.28927956513718367,0.7294822532905962,0.9298196170581975,0.9867595598865816,0.9999999999772041,0.7958935527871984,0.2800768540305099,12927
all,gjr_gamma,12927,-0.10078122409632996,-2.086825612357652e-11,0.05978949110810697,0.17743940470820663,0.33534964818940977,0.09325134629723299,0.27903055382041647,12927
all,leverage_corr,12927,-0.14724961673140255,-0.09333696977646047,-0.03808145844688586,0.01819170756019452,0.06983105676473692,-0.03838110305489182,0.08688687445704807,12927
all,volume_absr_spearman,12927,0.1869179149196647,0.25417170586546617,0.3255728835017502,0.3965059558635591,0.45959331558486743,0.3248021828328232,0.10761746048762216,12927
all,logvolume_acf1,12927,0.3727990975936531,0.43792994939929974,0.5084455732117013,0.5766395988494539,0.6420168500156488,0.5074448757295376,0.10823429258954134,12927
all,logvolume_shapiro_p,12927,2.2273650751308778e-07,3.6007187610379796e-05,0.0036951767127263863,0.09602914362931761,0.42192136377170975,0.10722641408772425,0.21000463582914014,12927
all,skew,12927,-1.0436321236489052,-0.46212463039799345,-0.06928671207660363,0.2866978537485086,0.7473156413625021,-0.1348666299575591,1.0446900381776736,12927
all,worst_day,12927,-0.15553380151863638,-0.09879667092107702,-0.06515905489151708,-0.04547552574020086,-0.03463794018625972,-0.08444774040922647,0.06684678595542987,12927
all,best_day,12927,0.033573727782555275,0.04431788146313553,0.06436897775825567,0.09699070833751677,0.14280507131551837,0.07945158034444959,0.0536890930063462,12927
all,worst_over_best,12927,0.5710678830814168,0.7712884375903102,1.0308820058387018,1.372092962589119,1.8507832635997639,1.1636442549020285,0.6503367957708966,12927
all,mdd,12927,-0.43626675581660024,-0.3014586321271843,-0.19549518861201565,-0.13015808965919362,-0.09650714432636105,-0.2361780185592755,0.1455670591182107,12927
all,daily_sigma,12927,0.010755766455496208,0.013225117668217108,0.017467668043776044,0.024559943183512865,0.034108483734886404,0.020801634495798468,0.011793603865950256,12927
2000-07,lb_p_r,4170,0.035794306791684015,0.14473949214868811,0.37892559583734586,0.6632403479738356,0.8559843886095456,0.41228403144489356,0.29707590620078883,4170
2000-07,acf1_r,4170,-0.14235157680281238,-0.08125917330248686,-0.015239017598428405,0.04323791061443747,0.0975275675246646,-0.019848815384227312,0.09494095245643347,4170
2000-07,abs_acf1_r,4170,0.011386447429598488,0.028467441791919457,0.062254230548745675,0.10748270433910419,0.15759913218483845,0.07568086712570136,0.06065382860684471,4170
2000-07,kurtosis,4170,0.3521180787469584,0.8729261553960651,1.951226501842652,4.555205999746494,10.765018928287303,4.629914000404543,8.661211104846597,4170
2000-07,jb_p,4170,7.584392039223306e-225,3.6530814516792967e-42,7.522342545857963e-09,0.01122110253374279,0.29210638456695015,0.0739730562461002,0.18976017031916198,4170
2000-07,hill,4170,2.3504898994361074,2.869245214034871,3.6539347093111143,4.596304668273806,5.786922611533254,3.914477020514661,1.48928371113113,4170
2000-07,lb_p_absr,4170,4.8760727886874554e-05,0.013970720799005533,0.2018037637980855,0.5838873060473008,0.8301598582024773,0.31473613647017656,0.3210799992020634,4170
2000-07,lb_p_r2,4170,0.0001172304987888726,0.03799976977276421,0.4540520804598538,0.9074671286346723,0.997328568267639,0.47545123599421657,0.3968256798034996,4170
2000-07,arch_lm_p,4170,0.000950284967294384,0.04524305252017122,0.3986850438920544,0.8414586319132971,0.9800313426836541,0.44664423102506434,0.3790111011177731,4170
2000-07,acf1_absr,4170,-0.02696636778773903,0.02482762464631405,0.08884048716134664,0.15350896726154806,0.21829759254293926,0.09285492192292404,0.09761802194640948,4170
2000-07,acf5_absr,4170,-0.05470293934419595,-0.013980800573530322,0.03749112383624034,0.09328942278078256,0.14602089661379292,0.042624010123666664,0.08047851012688223,4170
2000-07,acf10_absr,4170,-0.0658658024116314,-0.025579948331480952,0.022958183865870327,0.07224436534643879,0.12275135122752527,0.0263738308498931,0.07581266517963357,4170
2000-07,acf20_absr,4170,-0.07535314409407508,-0.03778413838029249,0.004339470406839784,0.048764105272017674,0.09341027497401219,0.007066698899624053,0.06623324795515648,4170
2000-07,acf50_absr,4170,-0.07349294703521614,-0.04064351644918099,-0.0033757066357930467,0.03556325645698496,0.07479261338098886,-0.0013238748272870902,0.05836875428280058,4170
2000-07,garch_alpha,4170,0.0,7.088746600336946e-12,0.06078109659736418,0.15259932780969612,0.2831361058245599,0.10969462577100718,0.1532933189961498,4170
2000-07,garch_beta,4170,3.4706291768226897e-13,0.455720563289013,0.816368845598741,0.9554968779451906,0.993982262420227,0.6685164561232508,0.3494020070970128,4170
2000-07,garch_persistence,4170,0.25809543505935617,0.6801106376218844,0.9162011304025812,0.9798175877584114,0.9967274434489917,0.778211081894258,0.2860746636262738,4170
2000-07,gjr_gamma,4170,-0.10775312929637965,-1.1124022900383271e-10,0.056090299076694605,0.17002131069636675,0.34723700348160225,0.09270457161953982,0.2855379511195599,4170
2000-07,leverage_corr,4170,-0.13407061867128442,-0.08284521466637557,-0.02524443287200859,0.030938568856948505,0.0815743463443017,-0.026316139647585602,0.08733139092610345,4170
2000-07,volume_absr_spearman,4170,0.16362032659071624,0.23250905652828088,0.30280365981841684,0.37363138887564573,0.4276382333965343,0.29913460524557933,0.10366617848975582,4170
2000-07,logvolume_acf1,4170,0.33755634295409037,0.4061004054644064,0.4755786637617091,0.5413403552613472,0.604729465710505,0.47231755946542525,0.10877683897374558,4170
2000-07,logvolume_shapiro_p,4170,7.200292220897994e-07,0.00010431374078605486,0.008697494325361802,0.15127201894865816,0.5088834398063081,0.13218830068530502,0.23156744431951756,4170
2000-07,skew,4170,-1.0053947968337023,-0.3212863337181931,0.05444298327592742,0.3814969920116916,0.8061930869784355,-0.06347190718885073,1.0998528047695857,4170
2000-07,worst_day,4170,-0.16170560370311604,-0.10100229428878793,-0.06765527676854366,-0.04510144098086816,-0.03300088279186162,-0.08752322632401799,0.07443570329357309,4170
2000-07,best_day,4170,0.03449039458169332,0.04724812068884168,0.06946315854197649,0.10066413415805464,0.14562292781960146,0.08212772538589569,0.05102713609576203,4170
2000-07,worst_over_best,4170,0.5542636334619907,0.7348162750716386,0.9750042912492081,1.3240834295465982,1.8524770077121402,1.1398928967744024,0.7242448611413821,4170
2000-07,mdd,4170,-0.43788552978582784,-0.30475682257583014,-0.2000737154448483,-0.13510892076505676,-0.09619947533670666,-0.24010802500461886,0.14870816203435935,4170
2000-07,daily_sigma,4170,0.0108216822400715,0.0137556173520119,0.01898413709341128,0.026148649675964718,0.03535347337755213,0.02184246292591459,0.012095065569106169,4170
2008-12,lb_p_r,2502,0.011201273103340988,0.08773949110856474,0.3089883275883527,0.6146631135369857,0.8316080222111264,0.3699022903635839,0.3023112404373246,2502
2008-12,acf1_r,2502,-0.16326303261732902,-0.10632776752816121,-0.045854163490816814,0.008753041289629778,0.060465770481609366,-0.050698294279149916,0.08868750378602269,2502
2008-12,abs_acf1_r,2502,0.012651039616345248,0.02977704965050794,0.0660910601348891,0.1136831458129551,0.16699680315747864,0.08003943354026236,0.06346609854975462,2502
2008-12,kurtosis,2502,0.3966100012120301,0.9111491683032907,1.8110775337321967,3.2958238482434785,6.667113465662353,3.2796062383111235,5.794550444910082,2502
2008-12,jb_p,2502,8.771739205541212e-88,1.3192100916534734e-22,1.5333579788600702e-07,0.008484715238884458,0.2967397641660547,0.07470792089205279,0.19249006216342748,2502
2008-12,hill,2502,2.521332490145725,3.0692075393025076,3.7768257422506353,4.687323281633038,5.716669445383926,4.02702347467909,1.4395168678183698,2502
2008-12,lb_p_absr,2502,2.8200037063497123e-11,2.0976409725968045e-05,0.0437235140010803,0.4219625538483371,0.7765725938124727,0.23163543617959803,0.307969102968126,2502
2008-12,lb_p_r2,2502,1.2865499324043093e-08,0.00019187487487104301,0.14349765589514102,0.7853032855999491,0.988998148990322,0.36027100336300855,0.3986734667125118,2502
2008-12,arch_lm_p,2502,1.581978712395954e-05,0.0029857584813688634,0.1897326715774667,0.7443469230668334,0.9600010161651016,0.35610246932000694,0.37748627327989237,2502
2008-12,acf1_absr,2502,-0.030359648314998263,0.0173049637809135,0.07671974630051434,0.1489637412940789,0.2241735515253144,0.08857343429062717,0.10082246357797235,2502
