design,design_label,seeds_per_cell,runs_per_model,calls_per_run,stateful,all_models,model,config_tag,rate_source,streams,hours,days,hours_smoke_ratio_adjusted,note
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,claude-fable-5-1,default,smoke,10,22.86203216020266,0.9525846733417774,37.4050956010416,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,claude-fable-5-1,default,smoke,15,15.24135477346844,0.6350564488945184,24.936730400694405,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,claude-haiku-4-5-20251001,default,smoke,10,7.501704675118128,0.312571028129922,12.273711215927488,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,claude-haiku-4-5-20251001,default,smoke,15,5.001136450078752,0.208380685419948,8.182474143951659,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,claude-opus-5,default,smoke,10,17.46825970570246,0.7278441544042692,28.58022067754065,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,claude-opus-5,default,smoke,15,11.645506470468309,0.48522943626951287,19.05348045169377,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,claude-sonnet-5,default,smoke,10,12.828951600313188,0.5345396500130495,20.989742193880133,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,claude-sonnet-5,default,smoke,15,8.552634400208792,0.35635976667536634,13.993161462586757,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,gemini-2.5-flash,thinking0,batch,10,5.052085473826537,0.21050356140943904,5.052085473826537,the contrast P8-16 sized; stage 1 of a staged grid
headline_12cells,"static-memory contrast, default generator, E8.5's 12 persona x scenario cells",19.0,456,200,False,True,gemini-2.5-flash,thinking0,batch,15,3.3680569825510243,0.1403357076062927,3.3680569825510243,the contrast P8-16 sized; stage 1 of a staged grid
