lb_p_r_calm,abs_acf1_r_calm,kurtosis,jb_p,hill,lb_p_absr,lb_p_r2,arch_lm_p,acf1_absr,garch_persistence,gjr_gamma,leverage_corr,volume_absr_spearman,logvolume_acf1,logvolume_shapiro_p,skew,worst_gt_best,acf1_x_calm,half_life_x_calm,sd_x_calm,sent_acf1,sent_corr_r,iv_rv20_corr,iv_calm_mean,mdd,calm_sigma,worst_panic_day,scenario,seed
0.01592337104102325,0.02798895945192096,27.227689876001016,0.0,2.7628425167710504,0.2762342256541872,0.992039558472686,0.9998846687017551,0.030794877962679944,1.0,-0.2913948610150814,0.06566965840079875,0.20511344601796863,0.5840128373687088,0.00013496393144840226,3.3106449406599174,0.0,0.9359621854975982,10.473633271504273,0.054782264034122605,0.2255649410972105,-0.0006120349978134433,-0.12662028051474647,34.38944444444444,-0.31338367157274916,0.024991000247703052,,flat,30000
0.4872841036502803,0.05057819939278076,21.393134117713128,0.0,2.5995272731568506,0.08627664480332811,0.9790671356542338,0.9999208138453588,0.046392688995603434,1.0,-0.23255352029532206,0.058450127044374765,0.21976092584132786,0.5783981253901359,0.0001239313931325338,2.7772495797655115,0.0,0.9108553249691864,7.42356482034071,0.032754941156119,0.2233242162885808,-0.014418104483788005,-0.10138593881412165,34.045161290322575,-0.3006025985051578,0.016220135322624354,,bull_trap,30000
,,1.0418704248293258,8.73440010895922e-05,2.6566063400631235,0.8907757872953294,0.8999408955472162,0.9246757840585766,0.05178544443429644,0.9617452865181596,0.08783948544725084,-0.05245782488311631,0.395788031064413,0.4801461284244148,0.08910723202144782,0.5405401578815208,0.0,,,,0.24558516085154888,0.007957690179439012,-0.2575144224249409,25.221052631578946,-0.22286109362606954,,,bull_trap,31000
,,27.228178260054698,0.0,2.5243929124449624,0.14551571995122828,0.9885912041627143,0.9998846898300288,0.029969461283926954,1.0,-0.26945365662543375,0.060940102766360034,0.20438404141921732,0.5838997968757305,0.00011821277734311234,3.3106971142709924,0.0,,,,0.22705976289083912,9.475048330081296e-05,-0.1245026698188388,,-0.26303927976753627,,,sustained_bull,30000
0.4872841036502803,0.05057819939278076,5.772915853444401,4.2876630155566964e-64,2.8616348905547495,5.268913752852697e-12,0.10751270906167948,0.3829581924954413,0.25410434652367203,1.0,0.17235975447313556,-0.0016970794247841345,0.325579412212578,0.6586631708536853,0.00013194384629234554,0.6833269788322264,0.0,0.9108553249691864,7.42356482034071,0.032754941156119,0.2251457796236603,-0.06252822058908376,0.6182956260606175,34.045161290322575,-0.6090343474135751,0.016220135322624354,-0.16051505312389036,crash,3000055
0.4872841036502803,0.05057819939278076,5.370147445744886,5.397886422544381e-56,3.145947560019328,5.842941691917424e-12,0.03185912909417466,0.3071278650415284,0.260832542897233,0.9996944797063624,0.17485228251225687,0.00607906416649964,0.3189797472209533,0.6586891409132511,0.00021662191065506406,0.6813765783107014,0.0,0.9108553249691864,7.42356482034071,0.032754941156119,0.22607377281741386,-0.059850471759941445,0.597350352713035,34.045161290322575,-0.5905297150941595,0.016220135322624354,-0.15624006266903034,crash,3000070
0.4872841036502803,0.05057819939278076,5.091772169584701,9.926502406217288e-51,2.9439043944823995,9.046152780086959e-12,0.009150004899702769,0.23897718564029755,0.2632388423151996,0.9986403168643231,0.17517101817847797,0.010992927276214932,0.31059540124866764,0.6583655537936715,0.0002900833705859526,0.679247008558619,0.0,0.9108553249691864,7.42356482034071,0.032754941156119,0.22859397034192142,-0.05562914078426381,0.5817827987205522,34.045161290322575,-0.5768947220018454,0.016220135322624354,-0.15321225276215866,crash,3000085
,,1.8455180621784377,5.875401809898585e-07,4.136397758439263,0.0010025834571977465,0.00017371170043034722,0.05660741739610806,0.19932996664759794,0.9626958540625433,0.13237027931321338,-0.05790817989709167,0.431356783919598,0.6114308700106141,1.0159065593699663e-05,0.11696524285575498,1.0,,,,0.2564725504868528,0.04709048341929815,0.43204175529899513,25.221052631578946,-0.6745405541462083,,-0.17487698863879686,crash,31000
0.744507782640867,0.058187932350208645,91.20152394570769,0.0,2.1975997914047807,0.8489190219341114,0.9999999986328061,0.9999579037819839,0.03301937548060485,0.9262289934214715,2.4688359944596225e-12,-0.017539788441925858,0.3078407187452413,0.5804274922592034,3.6233541602334726e-14,-7.895959425216752,1.0,0.9545930896909475,14.915977817375545,0.10578245514042242,0.25930960244023044,0.1029375294695396,-0.10926729921578071,47.533333333333324,-0.35593974872421996,0.03367690695045119,,flat,30001
0.8309245806307759,0.08883319857788417,87.16473633048224,0.0,2.8694779708349714,0.8659874709577285,0.9999999984839928,0.9999668479202921,0.032939812350683335,0.9232940968881564,-0.020362637163846637,-0.009939634736108257,0.3294548500076139,0.5829479054951965,5.3120679013067054e-14,-7.626887274237573,1.0,0.9291460224888488,9.43193797722103,0.11930269732332147,0.2630842732996388,0.11604643979772149,-0.138304892336402,66.09029126213592,-0.35593974872421996,0.043798616213663606,,bull_trap,30001
